state,year,gdp
Alaska,1997,25859.1
Alaska,1998,24387.8
Alaska,1999,24920.4
Alaska,2000,26934
Alaska,2001,28660.9
Alaska,2002,29884.5
Alaska,2003,32115.8
Alaska,2004,35389.5
Alaska,2005,40459.9
Alaska,2006,44951.7
Alaska,2007,49456.4
Alaska,2008,55246.7
Alaska,2009,50165.9
Alaska,2010,53654
Alaska,2011,56912.3
Alaska,2012,58320.7
Alaska,2013,57533
Alaska,2014,56587.4
Alaska,2015,51574.2
Alaska,2016,51121.8
Alaska,2017,53550.9
Alaska,2018,54762
Alaska,2019,54549.6
Alaska,2020,51283.4
Alaska,2021,58943.5
Alaska,2022,66271.9
Alaska,2023,68056
Alabama,1997,105381.4
Alabama,1998,110838.8
Alabama,1999,116514.3
Alabama,2000,120522.6
Alabama,2001,123534.5
Alabama,2002,128380.9
Alabama,2003,135212.6
Alabama,2004,148379.1
Alabama,2005,158677.3
Alabama,2006,166048.2
Alabama,2007,172247
Alabama,2008,174665.6
Alabama,2009,170876.5
Alabama,2010,177510.7
Alabama,2011,182896.7
Alabama,2012,188280.7
Alabama,2013,193981.5
Alabama,2014,197064.4
Alabama,2015,203113.3
Alabama,2016,208824.3
Alabama,2017,216615.5
Alabama,2018,226263.8
Alabama,2019,234798.2
Alabama,2020,235325.3
Alabama,2021,260018.4
Alabama,2022,284949.1
Alabama,2023,304935.6
Arkansas,1997,59925
Arkansas,1998,62852
Arkansas,1999,67279
Arkansas,2000,69176.3
Arkansas,2001,71099.6
Arkansas,2002,74453.1
Arkansas,2003,79009.7
Arkansas,2004,85928.6
Arkansas,2005,91133.4
Arkansas,2006,96073.7
Arkansas,2007,98325
Arkansas,2008,100206.7
Arkansas,2009,97783.9
Arkansas,2010,101699.3
Arkansas,2011,105697.6
Arkansas,2012,108836
Arkansas,2013,114021.1
Arkansas,2014,117388.7
Arkansas,2015,118573.6
Arkansas,2016,120987.4
Arkansas,2017,123882.6
Arkansas,2018,129213.8
Arkansas,2019,132625.8
Arkansas,2020,136198.4
Arkansas,2021,154052.5
Arkansas,2022,168605.8
Arkansas,2023,178606.4
Arizona,1997,132694.8
Arizona,1998,144393.2
Arizona,1999,156442.1
Arizona,2000,165735.6
Arizona,2001,172899.6
Arizona,2002,180844.5
Arizona,2003,194318
Arizona,2004,207246.3
Arizona,2005,227997.8
Arizona,2006,246061.1
Arizona,2007,261152.8
Arizona,2008,261005.8
Arizona,2009,244862.2
Arizona,2010,250527
Arizona,2011,261691.4
Arizona,2012,272703.3
Arizona,2013,278679.5
Arizona,2014,286676
Arizona,2015,298942.2
Arizona,2016,313787.1
Arizona,2017,333099
Arizona,2018,353671
Arizona,2019,375376.7
Arizona,2020,388956.7
Arizona,2021,436778.6
Arizona,2022,484052.2
Arizona,2023,522767.2
California,1997,1068048.6
California,1998,1143672.5
California,1999,1239773.5
California,2000,1354791.3
California,2001,1373270.8
California,2002,1419321.8
California,2003,1498578
California,2004,1585081.4
California,2005,1698858.4
California,2006,1812161.6
California,2007,1900220.4
California,2008,1946241.5
California,2009,1879809.5
California,2010,1938603.3
California,2011,2014050.3
California,2012,2108873.1
California,2013,2223300.9
California,2014,2342218.8
California,2015,2487156.4
California,2016,2586485.2
California,2017,2740550.3
California,2018,2899530.9
California,2019,3068629.7
California,2020,3076755.1
California,2021,3423958.3
California,2022,3660415.7
California,2023,3870378.9
Colorado,1997,136624.4
Colorado,1998,149653.7
Colorado,1999,162411.7
Colorado,2000,179303.3
Colorado,2001,185848.9
Colorado,2002,189604.6
Colorado,2003,195137.6
Colorado,2004,203743.3
Colorado,2005,220803.8
Colorado,2006,232853.6
Colorado,2007,248571.6
Colorado,2008,257606.1
Colorado,2009,249817.1
