year,population,state
1997,608.846,Alaska
1998,615.205,Alaska
1999,619.500,Alaska
2000,627.963,Alaska
2001,633.714,Alaska
2002,642.337,Alaska
2003,648.414,Alaska
2004,659.286,Alaska
2005,666.946,Alaska
2006,675.302,Alaska
2007,680.300,Alaska
2008,687.455,Alaska
2009,698.895,Alaska
2010,713.982,Alaska
2011,722.349,Alaska
2012,730.810,Alaska
2013,737.626,Alaska
2014,737.075,Alaska
2015,738.430,Alaska
2016,742.575,Alaska
2017,740.983,Alaska
2018,736.624,Alaska
2019,733.603,Alaska
2020,732.964,Alaska
2021,734.923,Alaska
2022,733.276,Alaska
2023,733.406,Alaska
1997,4320.281,Alabama
1998,4351.037,Alabama
1999,4369.862,Alabama
2000,4452.173,Alabama
2001,4467.634,Alabama
2002,4480.089,Alabama
2003,4503.491,Alabama
2004,4530.729,Alabama
2005,4569.805,Alabama
2006,4628.981,Alabama
2007,4672.840,Alabama
2008,4718.206,Alabama
2009,4757.938,Alabama
2010,4785.514,Alabama
2011,4799.642,Alabama
2012,4816.632,Alabama
2013,4831.586,Alabama
2014,4843.737,Alabama
2015,4854.803,Alabama
2016,4866.824,Alabama
2017,4877.989,Alabama
2018,4891.628,Alabama
2019,4907.965,Alabama
2020,5031.864,Alabama
2021,5050.380,Alabama
2022,5073.903,Alabama
2023,5108.468,Alabama
1997,2524.007,Arkansas
1998,2538.202,Arkansas
1999,2551.373,Arkansas
2000,2678.588,Arkansas
2001,2691.571,Arkansas
2002,2705.927,Arkansas
2003,2724.816,Arkansas
2004,2749.686,Arkansas
2005,2781.097,Arkansas
2006,2821.761,Arkansas
2007,2848.650,Arkansas
2008,2874.554,Arkansas
2009,2896.843,Arkansas
2010,2921.998,Arkansas
2011,2941.038,Arkansas
2012,2952.876,Arkansas
2013,2960.459,Arkansas
2014,2968.759,Arkansas
2015,2979.732,Arkansas
2016,2991.815,Arkansas
2017,3003.855,Arkansas
2018,3012.161,Arkansas
2019,3020.985,Arkansas
2020,3014.348,Arkansas
2021,3028.443,Arkansas
2022,3046.404,Arkansas
2023,3067.732,Arkansas
1997,4552.207,Arizona
1998,4667.277,Arizona
1999,4778.332,Arizona
2000,5160.586,Arizona
2001,5273.477,Arizona
2002,5396.255,Arizona
2003,5510.364,Arizona
2004,5652.404,Arizona
2005,5839.077,Arizona
2006,6029.141,Arizona
2007,6167.681,Arizona
2008,6280.362,Arizona
2009,6343.154,Arizona
2010,6407.342,Arizona
2011,6473.416,Arizona
2012,6556.344,Arizona
2013,6634.690,Arizona
2014,6732.873,Arizona
2015,6832.810,Arizona
2016,6944.767,Arizona
2017,7048.088,Arizona
2018,7164.228,Arizona
2019,7291.843,Arizona
2020,7186.683,Arizona
2021,7272.487,Arizona
2022,7365.684,Arizona
2023,7431.344,Arizona
1997,32217.708,California
1998,32682.794,California
1999,33145.121,California
2000,33987.977,California
2001,34479.458,California
2002,34871.843,California
2003,35253.159,California
2004,35574.576,California
2005,35827.943,California
2006,36021.202,California
2007,36250.311,California
2008,36604.337,California
2009,36961.229,California
2010,37319.550,California
2011,37636.311,California
2012,37944.551,California
2013,38253.768,California
2014,38586.706,California
2015,38904.296,California
2016,39149.186,California
2017,39337.785,California
2018,39437.463,California
2019,39437.610,California
2020,39503.200,California
2021,39145.060,California
2022,39040.616,California
2023,38965.193,California
1997,3891.293,Colorado
1998,3968.967,Colorado
1999,4056.133,Colorado
2000,4326.921,Colorado
2001,4425.687,Colorado
2002,4490.406,Colorado
2003,4528.732,Colorado
2004,4575.013,Colorado
