DATE,STTMINWGAK
1/1/68,2.1
1/1/69,2.1
1/1/70,2.1
1/1/71,2.1
1/1/72,2.1
1/1/73,2.1
1/1/74,2.1
1/1/75,2.1
1/1/76,2.8
1/1/77,2.8
1/1/78,2.8
1/1/79,3.4
1/1/80,3.6
1/1/81,3.85
1/1/82,3.85
1/1/83,3.85
1/1/84,3.85
1/1/85,3.85
1/1/86,3.85
1/1/87,3.85
1/1/88,3.85
1/1/89,3.85
1/1/90,3.85
1/1/91,4.3
1/1/92,4.75
1/1/93,4.75
1/1/94,4.75
1/1/95,4.75
1/1/96,4.75
1/1/97,5.25
1/1/98,5.65
1/1/99,5.65
1/1/00,5.65
1/1/01,5.65
1/1/02,5.65
1/1/03,7.15
1/1/04,7.15
1/1/05,7.15
1/1/06,7.15
1/1/07,7.15
1/1/08,7.15
1/1/09,7.15
1/1/10,7.75
1/1/11,7.75
1/1/12,7.75
1/1/13,7.75
1/1/14,7.75
1/1/15,8.75
1/1/16,9.75
1/1/17,9.8
1/1/18,9.84
1/1/19,9.89
1/1/20,10.19
1/1/21,10.34
1/1/22,10.34
1/1/23,10.85
1/1/24,11.73
