GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "02000","Alaska",8,SAGDP2N,1,"...","All industry total ","Millions of current dollars",25859.1,24387.8,24920.4,26934.0,28660.9,29884.5,32115.8,35389.5,40459.9,44951.7,49456.4,55246.7,50165.9,53654.0,56912.3,58320.7,57533.0,56587.4,51574.2,51121.8,53550.9,54762.0,54549.6,51283.4,58943.5,66271.9,68056.0
 "02000","Alaska",8,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",20701.7,19139.9,19537.0,21327.3,22739.3,23483.5,25300.1,28273.0,32913.1,37039.3,41228.5,46691.4,41121.2,44340.1,47099.8,48142.4,47535.9,46360.5,41198.1,40407.2,42616.9,43356.8,43134.4,39868.5,47482.2,54445.5,55641.9
 "02000","Alaska",8,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",431.0,341.2,363.5,414.3,349.0,313.8,357.2,324.7,369.6,400.4,374.3,446.4,425.9,540.4,623.8,553.4,576.4,545.9,517.0,442.7,439.4,437.8,458.8,398.5,391.7,518.9,498.9
 "02000","Alaska",8,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",25.3,25.1,25.7,29.6,28.4,28.1,19.6,20.6,20.6,18.3,16.9,14.4,16.4,15.6,15.6,20.4,19.3,23.0,22.0,23.5,14.7,15.1,13.8,12.0,17.7,18.9,21.2
 "02000","Alaska",8,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",405.7,316.1,337.8,384.7,320.6,285.7,337.7,304.1,349.0,382.1,357.4,432.0,409.4,524.8,608.2,533.0,557.1,522.9,495.0,419.2,424.7,422.8,445.0,386.4,374.0,500.1,477.7
 "02000","Alaska",8,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",5677.5,3251.3,3236.6,4474.4,4031.5,4558.4,5210.9,7239.8,10371.1,13783.1,16463.7,20379.4,14381.7,15713.7,18307.1,18281.0,16354.4,14208.4,7740.4,6324.3,8150.4,8277.5,6817.3,5375.6,9170.4,12177.3,10181.6
 "02000","Alaska",8,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",4656.0,2184.0,2357.4,3456.8,2868.1,3651.4,4297.9,6118.9,9060.9,11280.4,13295.5,17275.8,11260.5,11906.7,14115.7,14456.9,12576.3,10228.7,4644.3,3951.5,5283.7,5478.9,4163.4,2718.1,6002.4,8584.6,6566.5
 "02000","Alaska",8,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",516.5,490.7,479.1,403.8,279.8,251.1,304.8,455.9,545.7,1303.7,1805.3,1440.9,1597.9,2132.8,2357.6,1875.0,1745.1,1655.6,1215.2,1300.8,1799.2,1607.4,1427.4,1765.2,2329.2,2490.2,2351.5
 "02000","Alaska",8,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",505.1,576.6,400.2,613.8,883.6,656.0,608.2,665.0,764.5,1198.9,1363.0,1662.7,1523.3,1674.3,1833.7,1949.1,2033.0,2324.1,1881.0,1072.0,1067.6,1191.2,1226.5,892.3,838.8,1102.5,1263.7
 "02000","Alaska",8,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",401.2,386.4,418.2,410.6,412.8,397.4,409.1,446.7,448.5,506.2,506.6,541.9,616.7,656.7,743.7,741.8,755.6,780.3,753.7,771.4,791.7,809.5,827.8,926.8,1078.1,1130.1,1056.0
