GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "10000","Delaware",2,SAGDP2N,1,"...","All industry total ","Millions of current dollars",33302.2,37170.6,40446.5,43559.6,46373.8,45865.4,47839.6,51674.1,52048.6,55567.7,56705.6,55250.8,57729.9,58132.2,61379.4,62342.1,62058.2,68606.0,72352.5,70021.5,69555.6,73376.0,78710.5,77520.3,83069.8,92558.2,98068.7
 "10000","Delaware",2,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",30236.0,33913.5,36967.1,39845.4,42438.8,41506.2,43337.5,46973.6,46943.8,50400.5,51134.6,49391.0,51557.0,51980.3,55062.7,56006.7,55663.0,62227.2,65774.4,63296.1,62453.1,65852.3,71085.1,69629.8,74873.8,83915.2,89210.1
 "10000","Delaware",2,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",194.7,229.6,217.0,229.0,290.5,169.8,270.2,402.1,419.6,332.3,344.4,333.7,395.9,378.7,368.4,416.4,582.1,641.3,495.4,439.9,611.5,624.8,552.8,327.6,645.3,1124.3,745.9
 "10000","Delaware",2,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",174.0,207.7,193.7,207.4,274.9,155.0,251.0,380.3,397.9,309.8,325.5,313.6,375.3,353.6,339.9,385.9,551.4,607.0,458.5,401.8,578.0,588.7,517.9,291.8,612.6,1084.5,699.9
 "10000","Delaware",2,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",20.8,21.9,23.3,21.6,15.6,14.8,19.2,21.9,21.7,22.5,18.9,20.1,20.6,25.1,28.5,30.4,30.6,34.3,37.0,38.1,33.6,36.1,34.9,35.8,32.7,39.8,45.9
 "10000","Delaware",2,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",11.8,11.2,11.3,11.8,10.3,9.0,5.1,4.8,1.7,1.3,0.4,0.8,0.7,0.9,0.1,0.5,2.9,3.1,3.5,3.6,5.6,6.6,6.1,6.3,7.9,9.5,9.7
 "10000","Delaware",2,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",3.2,2.9,3.2,3.6,0.4,0.7,0.8,1.2,1.0,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 "10000","Delaware",2,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",6.9,6.7,6.7,6.6,9.9,8.1,4.2,3.6,0.6,0.4,0.4,0.6,0.7,0.1,0.1,0.5,2.8,3.1,3.5,3.6,5.1,5.5,5.0,6.3,7.9,9.5,9.5
 "10000","Delaware",2,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",1.7,1.6,1.4,1.6,(L),0.3,0.1,(L),0.1,(L),(L),0.1,0.0,0.0,0.0,0.0,(L),0.0,0.0,0.0,0.5,1.1,1.1,0.0,0.0,0.0,0.2
 "10000","Delaware",2,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",590.3,571.6,619.5,565.5,580.0,611.0,606.9,656.2,633.4,813.0,837.4,822.6,877.6,958.4,920.6,872.9,886.7,1004.5,1045.6,1053.8,1061.3,1033.1,1055.1,1140.8,1287.8,1481.3,1566.7
 "10000","Delaware",2,SAGDP2N,11,"23","  Construction ","Millions of current dollars",1263.8,1371.1,1552.1,1626.1,1620.6,1664.5,1753.5,2106.7,2350.2,2499.7,2327.1,2252.3,1846.5,1589.7,1709.2,1731.9,1850.2,2056.5,2315.1,2449.4,2597.0,2707.5,2954.5,3014.4,3166.2,3371.0,3668.3
 "10000","Delaware",2,SAGDP2N,12,"31-33","  Manufacturing ","Millions of current dollars",3957.4,4059.6,4372.3,4253.3,4181.1,3349.5,3493.3,4651.7,4565.8,4898.2,5279.1,4454.4,4367.6,4057.0,4169.0,3787.3,3879.4,3862.3,4573.4,3728.6,4352.1,4769.3,5370.9,5208.6,5927.6,6594.6,7324.4
 "10000","Delaware",2,SAGDP2N,13,"321,327-339","   Durable goods manufacturing ","Millions of current dollars",1240.4,1495.1,1511.2,1340.9,1121.9,1005.5,997.3,1218.0,1233.3,1314.5,1432.2,1421.5,1254.6,1301.1,1239.2,1387.4,1232.7,1159.9,1239.0,1182.0,1323.8,1414.9,1507.5,1450.9,1474.9,1587.6,1681.3
 "10000","Delaware",2,SAGDP2N,14,"321","    Wood product manufacturing ","Millions of current dollars",51.3,51.4,54.8,39.1,18.9,18.8,22.5,20.0,21.4,20.9,19.1,20.6,18.3,17.3,18.5,18.9,20.4,20.4,21.9,23.8,24.4,19.6,22.7,21.7,28.8,29.5,29.4
 "10000","Delaware",2,SAGDP2N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of current dollars",73.5,84.6,77.4,57.7,54.2,65.9,72.1,106.4,93.6,106.5,81.5,74.1,52.8,64.7,56.0,53.9,42.5,49.2,46.3,62.4,92.5,89.2,95.9,104.3,108.4,113.1,122.1
 "10000","Delaware",2,SAGDP2N,16,"331","    Primary metal manufacturing ","Millions of current dollars",69.7,69.9,68.8,49.3,57.3,57.8,51.9,47.5,49.2,70.2,64.3,81.4,69.4,59.8,73.8,90.7,78.5,34.5,36.2,32.1,35.7,25.6,33.6,23.9,22.1,23.4,25.1
 "10000","Delaware",2,SAGDP2N,17,"332","    Fabricated metal product manufacturing ","Millions of current dollars",140.8,136.9,170.3,151.2,145.8,137.6,131.7,122.7,112.4,134.5,109.3,135.1,146.4,122.5,136.2,152.5,150.2,125.9,118.9,132.6,136.8,146.1,151.5,102.8,88.8,98.3,112.5
 "10000","Delaware",2,SAGDP2N,18,"333","    Machinery manufacturing ","Millions of current dollars",62.0,106.0,80.7,64.0,46.6,32.1,30.6,32.7,45.1,40.2,70.0,67.0,64.3,61.7,65.0,70.1,76.6,90.6,110.1,101.7,109.8,110.3,126.7,170.0,176.7,174.8,194.4
 "10000","Delaware",2,SAGDP2N,19,"334","    Computer and electronic product manufacturing ","Millions of current dollars",365.5,351.4,276.0,264.5,172.8,186.0,299.0,503.0,476.8,394.9,476.1,470.5,452.3,512.0,450.8,643.0,514.9,471.1,480.1,449.8,514.3,563.8,565.1,524.3,514.4,577.1,583.3
 "10000","Delaware",2,SAGDP2N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Millions of current dollars",75.4,61.8,106.1,108.1,130.0,124.8,120.5,85.7,86.6,119.7,140.1,168.4,141.1,143.1,133.8,74.5,79.9,90.6,172.8,89.5,100.2,92.1,114.1,92.2,87.7,113.7,132.2
 "10000","Delaware",2,SAGDP2N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Millions of current dollars",231.8,452.3,484.3,418.0,321.5,208.9,89.9,91.6,83.3,175.7,186.8,104.6,38.6,29.5,24.1,3.7,4.9,5.5,8.9,8.5,9.0,17.2,18.4,6.1,6.3,7.2,8.0
 "10000","Delaware",2,SAGDP2N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Millions of current dollars",15.5,17.1,15.0,10.6,21.6,16.8,14.5,26.8,58.9,57.1,86.0,96.6,83.2,79.4,75.2,73.1,126.7,116.9,76.3,79.9,65.3,103.4,122.8,95.5,86.4,90.1,116.3
 "10000","Delaware",2,SAGDP2N,23,"337","    Furniture and related product manufacturing ","Millions of current dollars",69.1,72.0,78.0,73.1,58.3,46.3,49.4,66.6,81.0,38.0,39.9,27.1,20.4,21.8,23.2,24.3,33.3,36.0,35.4,41.5,52.5,58.7,73.2,106.7,112.1,119.5,119.1
 "10000","Delaware",2,SAGDP2N,24,"339","    Miscellaneous manufacturing ","Millions of current dollars",85.8,91.7,99.8,105.2,95.0,110.4,115.3,115.1,125.1,156.9,159.0,176.0,167.9,189.4,182.4,182.7,104.6,119.4,132.2,160.2,183.5,188.9,183.6,203.4,243.2,240.9,238.8
 "10000","Delaware",2,SAGDP2N,25,"311-316,322-326","   Nondurable goods manufacturing ","Millions of current dollars",2716.9,2564.6,2861.1,2912.4,3059.2,2344.0,2496.0,3433.7,3332.5,3583.7,3846.9,3032.9,3113.0,2755.9,2929.8,2399.9,2646.7,2702.4,3334.4,2546.5,3028.3,3354.4,3863.4,3757.7,4452.7,5007.0,5643.1
 "10000","Delaware",2,SAGDP2N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Millions of current dollars",358.7,385.1,427.3,318.4,486.3,434.1,364.0,357.8,449.5,497.6,579.8,608.5,830.6,680.4,662.6,691.0,807.1,834.9,865.7,873.3,1101.3,1035.9,1012.1,1096.5,1375.9,1309.0,1487.9
 "10000","Delaware",2,SAGDP2N,27,"313-314","    Textile mills and textile product mills ","Millions of current dollars",69.5,72.8,74.3,65.2,61.1,47.8,48.4,51.0,52.7,54.9,63.6,70.5,72.3,61.3,53.4,54.7,52.2,57.5,54.9,61.9,57.6,56.8,56.5,58.3,58.9,62.9,59.5
