GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "15000","Hawaii",8,SAGDP2N,1,"...","All industry total ","Millions of current dollars",37701.7,37503.0,38970.4,41089.4,42500.2,44949.5,48420.7,52625.7,57211.8,60848.0,64106.0,65545.5,64464.3,66739.3,68801.1,71645.6,74598.5,77043.0,81410.2,84287.2,87436.4,90933.5,93240.2,84885.8,93400.4,103153.1,110265.4
 "15000","Hawaii",8,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",29942.0,29527.6,30555.3,32494.2,33562.6,35253.5,37946.2,41349.1,45198.7,48089.5,50746.1,51385.9,49873.3,51615.9,53019.0,55540.2,58400.4,60145.1,64071.3,66219.3,69194.8,72695.7,74780.3,65997.9,73762.4,83296.0,89025.3
 "15000","Hawaii",8,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",334.0,335.5,360.9,357.5,355.6,382.1,412.8,426.1,426.6,441.3,419.5,426.8,453.1,476.9,555.0,535.8,545.4,490.1,508.7,451.1,492.8,435.7,402.7,366.1,462.2,579.4,567.3
 "15000","Hawaii",8,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",281.9,284.8,302.9,302.7,305.4,328.0,355.4,373.8,379.0,382.8,368.2,377.0,398.4,421.2,491.3,466.1,472.4,413.5,422.8,360.2,397.3,344.0,309.3,274.7,363.7,473.9,456.5
 "15000","Hawaii",8,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",52.2,50.7,58.0,54.8,50.1,54.1,57.4,52.3,47.6,58.5,51.3,49.8,54.7,55.7,63.7,69.7,73.1,76.5,85.9,90.9,95.5,91.7,93.4,91.3,98.4,105.5,110.7
 "15000","Hawaii",8,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",34.9,35.0,39.6,42.2,38.7,34.0,37.8,41.2,40.7,63.7,93.1,98.4,102.3,87.8,71.7,70.2,61.9,58.0,56.1,59.7,55.1,68.0,62.9,73.4,82.4,90.5,91.8
 "15000","Hawaii",8,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.4,0.6,0.5,0.5,0.5,0.5,0.0,0.0,0.1,(L),0.0,0.0,0.0
 "15000","Hawaii",8,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",34.9,35.0,39.6,42.2,38.7,34.0,37.5,40.9,40.4,63.5,92.4,97.5,101.4,87.1,70.8,69.0,60.8,57.0,55.1,58.9,54.6,67.4,62.5,72.8,82.0,89.4,90.7
 "15000","Hawaii",8,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.2,0.7,0.5,0.7,0.3,0.5,0.6,0.6,0.5,0.5,0.3,0.4,0.6,0.4,0.5,0.3,1.1,1.1
 "15000","Hawaii",8,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",867.1,792.6,865.0,916.7,897.5,826.2,910.3,1028.5,1053.6,1252.7,1286.2,1451.8,1428.3,1698.4,1981.8,2047.8,2059.1,2091.7,1872.0,1803.9,1848.5,1879.3,1862.4,1928.9,2069.2,2375.6,2175.8
