GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "18000","Indiana",3,SAGDP2N,1,"...","All industry total ","Millions of current dollars",170924.6,185336.3,193659.9,204147.3,205325.1,213419.6,225349.3,239278.5,247428.3,259030.3,273340.8,277774.5,264925.0,284685.8,292373.8,301277.4,313466.9,329360.9,333163.8,342716.6,357535.8,377376.9,384838.7,378633.6,425863.8,473492.9,499503.1
 "18000","Indiana",3,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",154006.9,167728.8,175091.5,184500.1,185168.4,192550.2,203480.7,216280.2,223412.0,230735.8,247555.4,250682.3,237175.5,256686.7,264282.2,273088.8,285480.3,298771.2,301862.9,310419.1,323635.7,341678.7,348593.0,341074.4,388039.7,433709.4,457695.5
 "18000","Indiana",3,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",2617.6,2107.9,1480.4,1881.6,2065.3,1888.2,2562.0,3326.1,2179.0,2474.6,3191.4,4025.0,3111.0,3277.3,4675.8,4119.9,7326.8,5366.3,3789.0,3767.2,3931.8,3969.9,3136.0,4180.6,6888.3,8602.0,8062.0
 "18000","Indiana",3,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",2125.0,1543.6,937.6,1242.5,1391.0,1293.1,2080.8,3044.0,1857.7,2052.3,2822.2,3664.1,2811.6,2893.8,4355.2,3798.3,6963.0,4912.3,3259.0,3248.9,3426.0,3492.2,2587.3,3647.2,6365.4,8088.3,7503.3
 "18000","Indiana",3,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",492.6,564.4,542.7,639.0,674.3,595.1,481.2,282.2,321.3,422.3,369.2,360.8,299.4,383.4,320.6,321.5,363.8,454.0,530.1,518.3,505.7,477.7,548.7,533.4,522.9,513.7,558.6
 "18000","Indiana",3,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",661.8,767.5,774.7,678.5,830.4,814.1,862.1,830.0,924.7,1053.5,1174.3,1232.6,1367.4,1528.9,1683.3,1679.9,1713.2,1544.9,1311.1,1218.1,1392.9,1303.4,1133.3,1085.1,1287.0,1838.5,1962.8
 "18000","Indiana",3,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",9.2,4.7,4.8,7.1,6.3,7.6,9.8,15.8,23.9,30.9,41.5,61.2,41.9,48.0,58.2,68.2,74.3,74.1,39.2,33.4,37.6,37.3,28.4,14.7,35.6,54.8,46.0
 "18000","Indiana",3,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",645.5,756.1,764.1,664.6,811.5,793.4,841.7,801.3,885.2,1010.5,1116.7,1145.4,1305.0,1457.0,1594.7,1574.2,1581.2,1388.8,1212.2,1138.5,1279.8,1198.5,1032.7,999.5,1170.9,1654.0,1792.0
 "18000","Indiana",3,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",7.1,6.7,5.8,6.8,12.6,13.1,10.7,13.0,15.6,12.2,16.1,26.0,20.6,23.8,30.4,37.4,57.8,82.0,59.7,46.2,75.5,67.6,72.2,70.8,80.5,129.8,124.7
 "18000","Indiana",3,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",4014.4,3763.4,4147.2,4002.0,3956.7,3790.8,3852.3,4203.3,4346.7,4904.2,4713.0,5057.4,5555.9,6191.0,6365.3,6372.7,6609.6,6871.2,6630.1,6772.7,6720.9,6761.5,7086.4,7171.8,7882.2,8808.2,7901.9
