GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "33000","New Hampshire",1,SAGDP2N,1,"...","All industry total ","Millions of current dollars",38122.5,40747.7,42292.4,45604.9,47037.3,49109.6,51609.7,54545.7,56914.6,60152.7,61984.8,62095.3,63052.2,65310.8,66557.3,68412.0,70897.4,73455.1,77385.8,79759.7,81179.6,83859.4,87868.2,88527.7,99092.6,106488.0,114100.8
 "33000","New Hampshire",1,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",33707.0,36213.7,37517.5,40567.3,41685.7,43506.6,45608.3,48284.5,50307.7,53186.4,54623.3,54411.1,55365.0,57254.0,58591.2,60469.2,62755.9,65042.2,68940.3,71212.5,72452.7,74943.9,78709.4,79220.8,89540.8,96559.7,103672.0
 "33000","New Hampshire",1,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",132.0,136.8,152.4,155.8,151.4,146.8,171.5,192.3,161.6,171.0,165.0,181.8,150.0,166.9,192.1,228.2,249.1,244.2,254.5,232.6,249.4,217.2,227.3,227.7,231.0,344.0,295.6
 "33000","New Hampshire",1,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",76.1,78.2,81.7,82.4,80.0,76.8,86.4,107.6,97.6,92.5,98.8,124.7,93.7,102.0,112.8,137.9,166.2,146.1,150.6,124.3,133.2,124.2,121.4,103.5,105.4,218.6,147.8
 "33000","New Hampshire",1,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",55.8,58.7,70.7,73.4,71.4,70.0,85.1,84.6,63.9,78.5,66.2,57.1,56.2,64.9,79.4,90.3,82.9,98.1,103.9,108.4,116.1,93.1,105.9,124.3,125.6,125.4,147.8
 "33000","New Hampshire",1,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",11.2,20.0,24.8,30.3,34.8,48.4,49.4,52.7,61.7,85.0,107.0,94.2,68.9,71.6,51.5,67.9,54.6,64.2,64.3,94.8,87.5,159.0,150.4,131.3,124.2,164.3,229.3
 "33000","New Hampshire",1,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 "33000","New Hampshire",1,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",8.2,16.4,19.8,25.1,34.6,48.3,49.0,52.3,61.4,83.1,96.2,84.1,61.7,63.5,40.7,58.8,45.2,56.2,56.6,88.0,78.9,149.6,139.9,121.8,112.9,150.1,225.0
 "33000","New Hampshire",1,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",2.9,3.7,5.0,5.2,0.3,0.1,0.3,0.4,0.4,1.9,10.8,10.1,7.1,8.1,10.2,9.2,9.4,8.0,7.6,6.8,8.6,9.4,10.4,9.6,11.3,14.2,4.4
 "33000","New Hampshire",1,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",901.9,846.0,909.3,865.1,828.6,786.9,866.3,1002.7,979.4,1002.8,982.6,1059.6,1307.6,1352.0,1311.5,1258.9,1279.8,1303.6,1316.2,1282.6,1329.8,1339.4,1304.8,1420.8,1453.7,1681.7,1506.3
 "33000","New Hampshire",1,SAGDP2N,11,"23","  Construction ","Millions of current dollars",1398.1,1633.1,1782.4,2025.1,2292.4,2313.8,2415.7,2715.8,2811.0,2821.5,2580.0,2221.2,2089.9,2024.8,2055.0,2088.0,2069.8,2110.0,2240.0,2379.2,2561.0,2678.6,2903.9,2734.0,3067.0,3463.8,3865.0
 "33000","New Hampshire",1,SAGDP2N,12,"31-33","  Manufacturing ","Millions of current dollars",8562.5,8543.7,7250.2,7684.7,6509.6,6541.6,6908.9,6900.4,6486.9,7071.5,7204.7,6830.5,6699.9,7125.2,7436.0,7158.6,7801.2,7205.0,8180.9,8489.7,8187.4,8334.7,8820.7,8636.6,9210.1,9873.0,10014.4
 "33000","New Hampshire",1,SAGDP2N,13,"321,327-339","   Durable goods manufacturing ","Millions of current dollars",6829.7,6881.0,5416.3,5869.7,4657.0,4895.3,5283.7,5369.7,4935.7,5452.0,5553.1,5216.7,4966.6,5441.2,5836.9,5504.2,6045.3,5383.2,6237.7,6367.2,6104.9,6180.7,6564.6,6342.4,6769.0,7173.1,7117.3
 "33000","New Hampshire",1,SAGDP2N,14,"321","    Wood product manufacturing ","Millions of current dollars",151.4,149.6,167.5,218.2,125.2,172.7,110.5,165.9,194.5,167.9,142.8,114.7,122.0,119.2,114.0,104.1,137.2,134.6,155.4,169.8,174.7,166.6,187.1,184.0,238.2,251.3,247.3
 "33000","New Hampshire",1,SAGDP2N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of current dollars",176.0,205.9,211.8,217.3,197.3,226.8,231.5,244.2,276.5,293.6,248.6,211.8,230.9,235.9,228.0,236.6,248.5,226.5,236.8,263.3,303.6,321.2,343.7,262.6,270.7,276.3,298.7
 "33000","New Hampshire",1,SAGDP2N,16,"331","    Primary metal manufacturing ","Millions of current dollars",202.1,238.4,203.8,221.1,173.8,152.6,169.0,156.1,188.8,166.2,211.4,219.1,177.9,185.7,235.9,312.4,243.7,224.9,235.9,230.9,206.1,243.5,278.4,223.2,177.0,191.5,198.2
 "33000","New Hampshire",1,SAGDP2N,17,"332","    Fabricated metal product manufacturing ","Millions of current dollars",794.4,816.2,907.8,1005.8,917.7,806.8,865.9,877.1,816.7,813.5,821.5,938.3,930.5,1023.2,996.0,1160.9,1368.1,1202.1,1130.7,1341.3,1285.6,1278.6,1309.4,1388.5,1270.7,1573.2,1656.1
 "33000","New Hampshire",1,SAGDP2N,18,"333","    Machinery manufacturing ","Millions of current dollars",550.3,633.1,618.2,616.5,516.5,564.0,504.7,555.3,623.2,668.8,851.1,873.5,694.7,789.4,833.8,682.2,846.8,785.9,806.4,832.9,1023.0,963.0,975.4,922.3,1036.1,1109.7,1197.4
 "33000","New Hampshire",1,SAGDP2N,19,"334","    Computer and electronic product manufacturing ","Millions of current dollars",3765.4,3476.7,2020.3,2217.6,1499.4,1676.3,2167.5,2153.3,1592.9,2014.0,2085.6,1641.8,1708.0,1951.5,2257.4,1939.3,1984.7,1525.1,2109.3,1928.6,1655.7,1722.0,1956.6,1892.3,2170.3,2098.9,1708.9
 "33000","New Hampshire",1,SAGDP2N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Millions of current dollars",511.0,627.2,569.2,639.3,517.1,623.6,548.4,457.6,502.2,576.8,526.6,570.7,467.2,453.7,394.4,435.3,569.9,571.7,789.1,761.8,689.0,679.9,661.6,696.8,642.4,734.4,855.0
 "33000","New Hampshire",1,SAGDP2N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Millions of current dollars",206.1,216.7,218.9,225.8,195.6,154.9,148.0,114.2,82.2,49.9,50.6,36.3,21.7,30.9,39.7,40.9,37.6,110.7,109.5,117.2,113.3,117.7,144.5,127.2,122.6,143.7,163.8
 "33000","New Hampshire",1,SAGDP2N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Millions of current dollars",46.7,48.9,50.9,58.0,64.4,61.5,55.5,83.0,99.8,101.1,114.9,136.0,135.6,140.9,136.9,140.7,150.0,138.9,153.5,171.8,169.0,184.9,190.0,155.9,170.8,174.0,198.4
 "33000","New Hampshire",1,SAGDP2N,23,"337","    Furniture and related product manufacturing ","Millions of current dollars",54.6,67.4,68.2,72.4,43.9,46.8,52.2,50.1,65.4,69.5,62.2,66.7,43.5,42.6,43.0,40.9,46.3,48.5,57.1,53.6,52.4,54.5,55.1,50.6,48.2,52.1,55.7
