GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "34000","New Jersey",2,SAGDP2N,1,"...","All industry total ","Millions of current dollars",307140.9,318104.0,334966.4,360530.4,372819.2,385045.6,399996.5,415490.8,436064.4,457681.5,474539.6,493289.4,481452.7,491229.0,494292.8,516098.2,534212.1,543824.1,565807.7,578651.4,590086.7,619340.2,643317.7,631552.3,695443.2,758288.7,806665.2
 "34000","New Jersey",2,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",274532.6,284211.5,299676.3,323438.3,333067.3,342834.8,355317.8,368123.4,386309.1,406687.7,420708.3,437151.9,423657.0,432927.0,437739.9,459444.8,474774.7,482864.3,504300.9,517699.9,527401.1,554510.2,576701.8,564695.9,627053.7,688126.5,733238.8
 "34000","New Jersey",2,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",590.1,571.2,530.7,655.0,579.5,601.3,646.8,709.1,704.0,794.6,816.3,729.7,740.1,733.2,813.5,825.4,839.6,806.3,898.9,914.5,936.9,920.7,1095.1,1016.2,1215.4,1541.2,1327.6
 "34000","New Jersey",2,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",432.5,441.2,390.8,495.3,435.2,458.5,501.8,570.5,576.2,647.2,669.7,586.7,559.8,562.5,641.3,635.5,663.2,600.0,658.0,619.8,622.1,591.0,762.9,686.8,869.6,1178.6,940.1
 "34000","New Jersey",2,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",157.6,130.0,139.9,159.7,144.2,142.8,145.0,138.6,127.8,147.4,146.6,143.0,180.3,170.8,172.2,189.9,176.4,206.2,240.9,294.7,314.8,329.7,332.2,329.5,345.9,362.7,387.6
 "34000","New Jersey",2,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",195.5,224.9,231.6,258.3,237.5,212.9,210.1,262.1,325.2,329.7,374.2,261.8,303.9,251.9,235.0,277.0,416.9,286.4,376.6,519.8,359.6,313.8,464.3,406.4,480.8,495.0,589.3
 "34000","New Jersey",2,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",3.1,1.5,1.8,3.9,1.8,4.7,4.2,11.5,28.6,13.3,17.0,15.0,34.1,18.3,13.4,13.3,12.3,13.2,15.2,98.0,26.5,19.3,58.8,16.7,18.5,18.2,16.7
 "34000","New Jersey",2,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",187.4,218.3,225.2,248.0,226.9,194.6,198.0,243.1,282.1,302.3,347.3,231.7,250.7,216.7,199.2,240.3,377.0,244.0,323.6,373.8,292.5,255.3,350.9,353.0,434.8,440.7,543.6
 "34000","New Jersey",2,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",5.1,5.1,4.6,6.4,8.8,13.7,7.9,7.5,14.5,14.2,9.8,15.1,19.1,16.8,22.4,23.4,27.6,29.2,37.8,48.0,40.7,39.2,54.6,36.6,27.5,36.0,28.9
 "34000","New Jersey",2,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",6715.1,6256.3,6774.6,6079.1,6027.7,5696.5,6166.7,7417.9,7123.5,7548.0,7882.5,8430.1,9499.1,9518.5,9235.1,8820.1,9689.0,10787.9,11116.1,9854.0,9501.6,9930.0,9755.4,10784.5,11162.8,11606.1,13477.8
 "34000","New Jersey",2,SAGDP2N,11,"23","  Construction ","Millions of current dollars",10573.9,11296.7,12268.6,14063.2,15096.5,15583.9,16009.5,17443.4,18732.3,19657.0,19854.9,18539.6,16528.4,14857.7,14903.7,16575.3,18075.8,19181.7,20144.6,20514.7,21117.5,21592.7,22973.1,22652.5,23829.7,25746.1,27982.4
 "34000","New Jersey",2,SAGDP2N,12,"31-33","  Manufacturing ","Millions of current dollars",45032.0,44135.5,47135.2,49852.9,48438.2,44997.4,47735.9,45757.4,44892.9,47897.0,49495.1,53666.3,45964.2,47072.8,44417.7,43333.4,43266.4,45240.7,44681.0,48078.4,46725.3,55907.4,55061.0,51982.6,57266.2,63125.1,67464.8
 "34000","New Jersey",2,SAGDP2N,13,"321,327-339","   Durable goods manufacturing ","Millions of current dollars",13658.1,13922.0,14222.8,16590.6,14839.9,13888.9,14547.8,13876.3,13886.4,14783.3,14711.1,15742.2,14327.2,14171.3,13954.1,13611.7,14096.6,13509.0,14783.9,15471.0,16684.4,19501.7,18562.6,17073.8,18406.7,19815.5,21356.8
 "34000","New Jersey",2,SAGDP2N,14,"321","    Wood product manufacturing ","Millions of current dollars",211.2,283.1,215.1,262.2,246.9,260.5,268.4,276.4,293.0,260.2,245.7,231.2,165.7,151.8,134.2,132.2,148.0,131.9,153.3,174.9,193.1,183.5,206.1,214.1,238.6,257.8,246.7
 "34000","New Jersey",2,SAGDP2N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of current dollars",1126.4,1180.6,1243.1,1435.5,1259.5,1235.0,1263.7,1250.1,1393.9,1380.9,1283.1,1388.6,1134.1,1105.9,950.0,1212.8,1222.0,1099.4,1218.8,1288.8,1298.8,1562.7,1591.2,1541.6,1772.5,1721.4,1790.4
 "34000","New Jersey",2,SAGDP2N,16,"331","    Primary metal manufacturing ","Millions of current dollars",798.1,768.6,736.4,859.2,869.3,758.4,712.2,1047.4,908.9,939.9,691.8,670.5,454.7,526.0,615.4,671.1,571.9,592.8,553.9,582.0,577.4,626.6,659.1,566.3,579.5,681.0,651.3
 "34000","New Jersey",2,SAGDP2N,17,"332","    Fabricated metal product manufacturing ","Millions of current dollars",2145.1,2163.6,2348.0,2489.0,2222.9,2029.5,2056.9,2029.4,2243.1,2293.8,2286.7,2123.2,1973.3,2009.9,1999.6,1907.4,1939.2,1852.2,1843.7,1917.1,2081.1,2290.7,2561.6,2104.0,2296.8,2736.3,2960.5
 "34000","New Jersey",2,SAGDP2N,18,"333","    Machinery manufacturing ","Millions of current dollars",1700.8,1951.1,1799.2,1710.3,1581.6,1557.7,1580.8,1487.1,1496.0,1569.2,1632.3,1705.8,1487.5,1644.9,1706.7,1594.9,1653.1,1596.0,1614.7,1605.0,1865.0,1850.1,2076.1,1865.2,2040.6,2174.1,2433.0
 "34000","New Jersey",2,SAGDP2N,19,"334","    Computer and electronic product manufacturing ","Millions of current dollars",3150.9,2905.2,2960.2,4490.3,3413.9,2911.2,3454.8,2935.6,3083.0,3213.7,3634.3,4247.7,4088.1,3724.4,4077.9,3555.4,3779.8,3679.9,3725.6,3806.4,4524.0,4809.0,4930.7,4678.6,5172.8,5373.9,5635.4
 "34000","New Jersey",2,SAGDP2N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Millions of current dollars",771.4,631.3,736.9,649.6,598.4,664.8,769.9,902.3,801.9,1106.4,1041.7,1094.2,956.6,947.8,804.7,878.5,985.6,863.8,1130.7,1086.6,968.0,936.1,1002.6,997.1,927.8,1059.8,1157.5
 "34000","New Jersey",2,SAGDP2N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Millions of current dollars",1216.4,1325.7,1346.0,1505.5,1518.1,1144.9,1114.4,802.5,583.0,626.8,494.0,301.4,97.3,136.4,179.2,210.4,206.1,166.6,224.9,232.7,206.1,208.6,208.4,191.9,164.1,174.6,205.1
 "34000","New Jersey",2,SAGDP2N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Millions of current dollars",231.5,239.8,247.4,340.8,312.4,292.2,229.7,234.8,295.3,290.5,340.8,351.5,314.3,282.7,315.2,303.0,398.9,340.7,383.3,445.2,412.7,417.7,408.9,415.7,425.5,561.0,662.4
 "34000","New Jersey",2,SAGDP2N,23,"337","    Furniture and related product manufacturing ","Millions of current dollars",392.6,406.0,412.3,524.5,473.1,482.1,442.1,476.0,522.8,524.1,484.4,450.9,364.4,332.1,340.6,307.4,333.7,378.4,422.4,437.8,459.9,515.3,592.1,526.1,584.1,671.3,737.7
 "34000","New Jersey",2,SAGDP2N,24,"339","    Miscellaneous manufacturing ","Millions of current dollars",1913.6,2066.9,2178.2,2323.6,2343.7,2552.6,2654.9,2434.6,2265.5,2577.9,2576.3,3177.3,3291.2,3309.4,2830.6,2838.5,2858.3,2807.3,3512.5,3894.6,4098.3,6101.3,4325.7,3973.2,4204.3,4404.3,4876.7
 "34000","New Jersey",2,SAGDP2N,25,"311-316,322-326","   Nondurable goods manufacturing ","Millions of current dollars",31373.9,30213.5,32912.4,33262.4,33598.4,31108.6,33188.1,31881.1,31006.6,33113.6,34784.0,37924.1,31637.0,32901.6,30463.5,29721.7,29169.8,31731.8,29897.1,32607.3,30040.9,36405.8,36498.4,34908.8,38859.5,43309.6,46108.0
 "34000","New Jersey",2,SAGDP2N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Millions of current dollars",3911.8,3631.9,4407.0,4261.2,3934.4,3947.5,4133.9,4038.1,3718.1,3651.7,3473.5,3619.5,4227.4,4065.2,3635.3,3815.6,3772.4,3814.4,4155.4,4573.5,4662.3,4583.2,4563.8,4769.1,4999.6,4835.7,5618.7
 "34000","New Jersey",2,SAGDP2N,27,"313-314","    Textile mills and textile product mills ","Millions of current dollars",765.1,834.7,835.0,820.6,680.1,664.1,465.5,545.2,489.3,463.3,393.7,383.6,319.8,303.4,273.5,297.9,299.0,403.5,310.0,344.3,307.4,271.2,337.8,292.0,300.4,319.9,322.0
 "34000","New Jersey",2,SAGDP2N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Millions of current dollars",696.7,632.8,523.3,921.5,702.8,509.0,475.2,572.0,521.4,483.0,437.7,398.6,524.1,353.4,231.2,244.5,268.6,234.0,279.3,312.4,297.2,261.2,220.8,224.0,231.0,259.0,277.1
 "34000","New Jersey",2,SAGDP2N,29,"322","    Paper manufacturing ","Millions of current dollars",1695.0,1456.9,1705.4,1688.4,1393.8,1182.2,1201.4,1247.1,1148.4,1319.1,1396.0,1251.4,1370.7,1135.6,1121.0,1314.0,1220.6,1135.5,1306.5,1279.7,1220.5,1357.9,1281.1,1291.8,1348.7,1473.8,1163.1
 "34000","New Jersey",2,SAGDP2N,30,"323","    Printing and related support activities ","Millions of current dollars",1532.3,1653.1,1742.7,2013.8,1843.2,1729.1,1507.3,1731.4,1844.4,1882.7,1952.2,1866.5,1499.6,1487.2,1404.3,1468.3,1439.9,1393.4,1504.3,1520.4,1487.3,1624.4,1647.7,1448.4,1585.4,1778.3,1811.7
 "34000","New Jersey",2,SAGDP2N,31,"324","    Petroleum and coal products manufacturing ","Millions of current dollars",2962.2,2701.7,3130.5,3890.8,3397.6,2732.6,4499.7,3418.5,3336.6,2892.3,4617.3,7787.9,2097.5,2543.0,3082.9,4404.9,3035.0,4963.4,3682.6,2008.6,2328.9,6376.0,6659.2,2543.0,3119.1,3670.1,3834.6
 "34000","New Jersey",2,SAGDP2N,32,"325","    Chemical manufacturing ","Millions of current dollars",18179.2,17670.5,18883.2,17946.0,20065.0,18759.6,19413.0,18816.9,18424.5,20977.9,20944.6,21422.2,20326.9,21658.1,19334.8,16731.2,17792.7,18543.0,17225.9,21051.9,18217.2,20331.7,20045.6,22669.0,25548.2,28968.2,31047.1
 "34000","New Jersey",2,SAGDP2N,33,"326","    Plastics and rubber products manufacturing ","Millions of current dollars",1631.4,1631.8,1685.3,1720.1,1581.5,1584.6,1492.1,1511.9,1523.8,1443.6,1569.0,1194.4,1271.0,1355.7,1380.5,1445.3,1341.5,1244.5,1433.1,1516.5,1520.0,1600.2,1742.5,1671.6,1727.2,2004.7,2033.7
 "34000","New Jersey",2,SAGDP2N,34,"42","  Wholesale trade ","Millions of current dollars",26468.7,27996.5,28780.5,32704.5,31745.9,31149.7,33381.6,34291.2,35685.1,37092.4,39145.3,39804.4,37447.7,39449.9,40737.7,42723.4,44522.1,46370.8,49187.9,47604.4,48460.2,50880.5,55378.1,54069.2,58715.2,66582.7,66198.0
 "34000","New Jersey",2,SAGDP2N,35,"44-45","  Retail trade ","Millions of current dollars",19809.4,21398.2,22210.0,24114.1,24780.3,25963.7,27144.4,27140.4,27887.5,28685.9,28928.2,28512.4,27472.3,28228.6,28689.8,29111.8,31047.2,32191.0,34328.9,35811.8,37506.9,38592.4,40379.5,40766.1,46933.7,46405.4,51016.4
 "34000","New Jersey",2,SAGDP2N,36,"48-49","  Transportation and warehousing ","Millions of current dollars",10547.9,11066.4,11036.5,11990.4,11509.7,11429.3,11965.5,13066.0,14176.2,15121.7,15059.2,16192.4,15957.0,17352.5,17421.4,16911.9,17708.9,18182.6,19976.3,21314.0,22681.5,23851.6,25040.4,20479.7,26596.0,31300.2,32224.0
 "34000","New Jersey",2,SAGDP2N,37,"481","   Air transportation ","Millions of current dollars",1417.1,1627.9,1753.7,1837.6,1592.4,1550.4,1739.6,2074.8,2273.3,2460.5,2387.6,2731.0,2948.7,4068.5,4231.2,3602.1,4062.0,4200.6,4872.6,5644.6,5556.2,5550.9,5975.0,1862.2,3489.2,5980.7,7318.9
 "34000","New Jersey",2,SAGDP2N,38,"482","   Rail transportation ","Millions of current dollars",139.9,170.1,166.1,162.8,164.1,177.1,180.6,183.2,192.1,206.1,204.1,244.3,242.6,238.3,264.0,302.9,308.3,344.8,353.0,334.8,343.5,367.8,386.1,304.0,322.6,395.6,412.4
 "34000","New Jersey",2,SAGDP2N,39,"483","   Water transportation ","Millions of current dollars",633.3,528.6,438.0,476.4,390.2,349.8,419.9,399.7,523.7,522.0,676.0,1060.7,1167.1,1148.9,813.1,759.5,861.6,615.8,609.3,394.1,492.9,477.6,457.3,288.4,1079.4,711.9,718.0
 "34000","New Jersey",2,SAGDP2N,40,"484","   Truck transportation ","Millions of current dollars",3029.2,3012.6,3217.9,3487.7,3456.2,3423.6,3597.9,3800.8,3874.4,4066.3,3892.9,3729.7,3448.4,3519.0,3684.0,3755.6,3920.0,4149.6,4626.8,4859.5,5379.4,5686.1,5848.4,5668.3,6851.9,7794.1,7681.4
