GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "32000","Nevada",8,SAGDP2N,1,"...","All industry total ","Millions of current dollars",60255.0,65332.2,71825.3,77181.5,80968.6,85541.0,91365.0,104132.0,117165.1,126613.4,132045.4,130570.9,122471.2,125149.0,128638.4,130238.2,133592.5,136918.4,145786.8,153318.0,163199.1,172547.9,184611.1,176296.3,201705.7,227320.6,245978.8
 "32000","Nevada",8,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",53885.0,58347.5,64425.2,69291.4,72567.4,76652.6,81561.1,93403.9,105854.4,114399.9,118938.2,116759.1,108249.7,110405.7,113954.9,115576.4,118548.4,121361.0,129440.4,136233.5,145653.3,154417.4,165497.9,156661.8,181215.9,205693.4,223006.6
 "32000","Nevada",8,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",165.2,186.1,181.3,208.6,211.2,180.0,191.1,243.5,248.8,260.9,222.4,288.0,264.8,284.2,369.3,292.9,294.4,384.1,304.4,250.7,285.1,286.8,345.0,301.2,423.6,570.4,487.2
 "32000","Nevada",8,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",137.4,160.0,150.9,180.7,186.6,154.0,166.0,218.5,223.4,230.1,193.0,253.8,222.9,249.3,330.7,253.2,257.3,342.8,267.4,213.8,246.3,243.6,304.4,257.5,374.5,485.5,387.0
 "32000","Nevada",8,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",27.7,26.1,30.4,27.9,24.6,26.0,25.1,25.0,25.4,30.8,29.4,34.2,41.9,34.9,38.5,39.7,37.1,41.3,37.0,36.9,38.8,43.2,40.6,43.6,49.1,84.9,100.2
 "32000","Nevada",8,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",1401.7,1453.7,1420.2,1431.8,1252.8,1325.2,1478.4,1812.5,2128.9,3277.4,3455.4,4077.9,3898.2,5195.3,6440.3,5735.2,4430.0,3415.7,2606.1,2946.4,4027.7,3464.3,3615.0,4679.4,5174.9,4910.6,4931.3
 "32000","Nevada",8,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",1.5,0.7,0.8,1.3,1.1,1.7,1.5,2.4,2.4,3.2,3.3,4.8,3.6,3.8,4.5,4.5,3.6,3.3,2.3,2.1,2.6,2.7,3.5,1.8,1.8,3.4,3.0
 "32000","Nevada",8,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",1347.9,1412.4,1375.0,1372.2,1203.8,1273.3,1418.9,1732.2,2047.4,3162.3,3324.9,3865.5,3753.3,4963.3,6103.7,5324.4,4098.3,3124.3,2383.6,2799.6,3841.5,3228.6,3331.5,4414.6,4870.8,4503.7,4531.6
 "32000","Nevada",8,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",52.3,40.6,44.4,58.2,47.8,50.1,58.0,77.9,79.1,111.9,127.1,207.6,141.4,228.2,332.1,406.2,328.1,288.0,220.2,144.7,183.6,233.0,279.9,263.0,302.2,403.4,396.7
 "32000","Nevada",8,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",1158.4,1110.0,1283.3,1292.0,1500.6,1559.4,1626.8,1872.7,1738.9,2052.5,2087.2,2131.4,2388.0,2413.7,2304.4,2286.5,2346.1,2457.7,2502.5,2398.0,2383.4,2329.6,2481.5,2471.5,2629.3,3545.9,3434.2
