GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "39000","Ohio",3,SAGDP2N,1,"...","All industry total ","Millions of current dollars",343513.7,361479.3,375797.2,391032.3,395864.2,411191.1,425530.7,447813.3,470179.5,482904.0,497600.1,500916.4,484407.1,500274.2,525456.4,543035.4,566419.9,597152.3,615275.5,627294.7,652187.5,672540.1,702914.8,692683.7,763595.8,832660.7,884834.2
 "39000","Ohio",3,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",304912.9,321618.9,334525.9,347017.6,350564.7,364132.0,376580.9,396881.1,417734.9,428982.2,441556.3,442725.6,425341.0,438416.6,463540.6,479762.3,502049.7,531550.5,548076.7,558397.7,581511.3,599902.9,628318.0,616541.5,684239.0,749523.8,797767.9
 "39000","Ohio",3,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",2787.7,2297.4,1624.9,2048.2,1943.2,1795.1,2048.6,2912.5,2314.0,2441.5,2801.0,2758.3,3000.9,2970.3,4432.5,3792.8,5125.9,4431.3,3173.8,2864.9,3645.6,4155.1,2975.6,3858.9,6074.4,6805.6,7794.8
 "39000","Ohio",3,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",2538.2,2046.2,1373.6,1784.9,1682.4,1539.7,1771.2,2599.0,2028.5,2112.6,2494.3,2447.0,2707.7,2680.6,4092.7,3399.2,4689.5,3928.3,2627.2,2303.4,3053.8,3545.7,2344.7,3192.2,5348.8,5988.7,6934.5
 "39000","Ohio",3,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",249.5,251.2,251.3,263.2,260.8,255.3,277.4,313.5,285.5,328.9,306.7,311.3,293.2,289.7,339.8,393.5,436.5,503.0,546.7,561.5,591.9,609.5,631.0,666.6,725.6,817.0,860.3
 "39000","Ohio",3,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",1172.5,1276.8,1250.1,1521.3,1412.6,1545.5,1666.7,1934.4,2347.0,2692.4,2986.7,3516.1,3154.5,3050.7,3492.7,3107.2,4200.6,5518.0,4794.8,4079.8,4325.6,4698.5,4782.0,3966.9,5755.3,6675.0,6462.8
 "39000","Ohio",3,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",334.2,296.3,314.9,454.0,521.8,739.9,790.8,926.8,1176.7,1262.0,1331.3,1605.2,1193.5,1083.7,1260.9,1177.1,2244.8,3229.0,2647.8,2452.7,2525.9,2728.9,2861.5,2363.5,4122.4,4836.7,4458.5
 "39000","Ohio",3,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",745.4,895.9,860.2,987.6,782.3,688.2,742.0,800.3,891.5,948.4,994.5,1228.9,1469.4,1546.0,1802.7,1488.2,1329.0,1250.4,1337.6,1143.4,1033.6,1016.1,1066.3,1126.0,1169.0,1232.1,1330.9
 "39000","Ohio",3,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",92.9,84.7,75.1,79.8,108.5,117.4,133.8,207.3,278.8,482.1,661.0,682.0,491.6,421.0,429.1,441.8,626.9,1038.6,809.4,483.7,766.1,953.5,854.2,477.4,463.9,606.2,673.3
 "39000","Ohio",3,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",7688.5,7133.1,7758.6,7375.5,7325.1,6811.7,6580.7,6685.7,6495.5,7360.5,8441.6,8788.4,9536.0,10053.6,10191.0,9940.6,10188.2,10589.7,10657.3,10707.4,10643.5,10688.9,10603.9,10914.7,12340.0,13510.3,14821.2
 "39000","Ohio",3,SAGDP2N,11,"23","  Construction ","Millions of current dollars",13149.2,14342.4,15475.8,16256.2,16362.9,16330.4,17017.1,18445.8,19020.9,18706.7,18564.9,17253.3,15962.7,14547.1,15630.0,17242.2,18341.8,19652.9,21053.8,22549.1,25111.1,25804.9,27660.7,28078.2,29212.4,31897.7,34697.6
 "39000","Ohio",3,SAGDP2N,12,"31-33","  Manufacturing ","Millions of current dollars",84165.8,88698.9,87980.8,88558.9,82035.7,83774.2,84158.2,89082.0,91275.7,92877.9,92714.6,86538.6,75295.3,81378.3,91558.9,91900.5,93857.2,103353.7,101995.2,100412.1,102938.7,106587.9,106153.2,97467.5,113147.7,129790.9,134010.5
