GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "41000","Oregon",8,SAGDP2N,1,"...","All industry total ","Millions of current dollars",101418.2,105016.4,107513.2,117057.2,117002.4,120556.1,126822.1,136495.9,143556.3,153779.6,159676.2,164122.9,159330.4,163150.5,169693.8,173856.8,178975.4,187837.6,200592.6,211782.4,225534.5,238466.9,248781.8,251577.7,275653.1,298848.0,318884.1
 "41000","Oregon",8,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",88017.0,91127.2,92724.3,101507.8,100234.7,103181.7,109019.9,118136.0,124564.3,133388.6,138497.4,141827.1,136200.7,139445.9,145050.3,149624.8,154308.1,162085.7,173576.8,183951.8,196397.5,207648.0,216047.8,218278.7,240417.7,261567.7,279480.4
 "41000","Oregon",8,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",2924.7,2652.2,2726.1,2750.5,2671.4,2778.9,3201.1,3537.6,3439.4,3839.7,3595.9,3503.9,3106.4,3073.2,3443.9,3673.1,3977.7,4014.6,4121.1,4185.5,3885.3,4272.8,4034.4,4200.9,4771.8,5689.5,5508.5
 "41000","Oregon",8,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",1727.4,1520.5,1491.7,1553.7,1558.5,1567.8,1836.1,2149.4,2048.3,2301.9,2233.2,2189.6,1897.2,1795.2,2175.6,2266.7,2539.1,2483.9,2486.8,2561.4,2202.8,2349.8,2167.0,2117.2,2612.5,3520.0,3135.1
 "41000","Oregon",8,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",1197.3,1131.6,1234.4,1196.8,1112.8,1211.1,1365.0,1388.2,1391.1,1537.8,1362.7,1314.2,1209.3,1278.1,1268.3,1406.5,1438.6,1530.7,1634.3,1624.1,1682.5,1923.0,1867.5,2083.6,2159.3,2169.5,2373.4
 "41000","Oregon",8,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",106.5,128.3,153.7,150.9,151.9,171.5,184.0,230.7,272.9,317.1,394.3,308.9,291.7,251.0,241.6,200.8,196.8,196.2,177.9,232.6,262.3,274.4,255.3,310.1,387.9,427.6,404.0
 "41000","Oregon",8,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",1.3,0.8,0.8,0.9,0.3,0.2,0.3,0.3,0.7,1.9,2.8,4.4,3.4,5.1,4.3,1.1,1.3,2.3,1.0,0.8,0.0,0.3,0.4,0.2,0.5,0.4,0.4
 "41000","Oregon",8,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",99.1,121.6,147.8,144.0,149.5,169.2,181.5,228.6,269.9,310.1,386.6,299.4,277.3,232.1,215.2,182.4,178.1,179.0,164.0,222.7,252.6,260.3,241.0,298.5,370.6,405.9,381.3
 "41000","Oregon",8,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",6.1,5.9,5.2,5.9,2.1,2.1,2.2,1.8,2.3,5.2,4.9,5.1,11.1,13.7,22.2,17.3,17.3,14.9,12.9,9.1,9.8,13.8,13.9,11.4,16.8,21.2,22.3
 "41000","Oregon",8,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",1558.9,1486.0,1637.5,1618.3,1645.4,1640.0,1614.8,1806.7,1647.7,1893.3,1798.3,2267.5,2249.5,2687.0,3294.6,3018.1,2941.4,2865.6,2678.7,2892.5,2972.0,2789.5,3059.4,3392.4,4004.1,4471.4,4371.5
 "41000","Oregon",8,SAGDP2N,11,"23","  Construction ","Millions of current dollars",5296.9,5429.9,5473.1,5851.4,5526.2,5349.2,5433.8,6112.8,7099.7,8212.1,8769.2,7973.2,6438.9,5414.6,5369.5,6089.4,6580.9,7252.0,7803.0,8926.6,10077.3,11216.9,12129.7,12668.1,13331.5,15040.0,16221.0
 "41000","Oregon",8,SAGDP2N,12,"31-33","  Manufacturing ","Millions of current dollars",19444.9,19962.5,18438.8,21867.7,19320.1,20610.4,22339.7,25682.4,25458.1,26811.6,26339.5,26705.6,24682.6,25356.8,27385.8,26347.2,27048.9,27223.5,28678.0,29039.0,31143.7,31993.1,31424.1,32266.4,34035.9,37375.3,38308.9
 "41000","Oregon",8,SAGDP2N,13,"321,327-339","   Durable goods manufacturing ","Millions of current dollars",15970.7,16199.7,14566.1,17556.5,15245.2,16191.8,18392.6,21285.9,20826.8,21800.6,21430.8,22187.7,19194.7,20382.3,22500.6,21666.8,21804.0,21763.5,22614.5,23028.2,24770.2,25187.3,24849.4,25318.1,26718.9,29874.3,30454.3
 "41000","Oregon",8,SAGDP2N,14,"321","    Wood product manufacturing ","Millions of current dollars",1979.6,1845.6,2045.7,1838.8,1760.5,1801.3,1906.2,2436.9,2424.4,2101.1,1871.4,1559.8,1211.6,1427.2,1580.1,1828.9,2260.6,2076.7,2073.3,2096.9,2378.2,2480.4,2357.9,3099.5,4950.8,5123.0,4895.4
 "41000","Oregon",8,SAGDP2N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of current dollars",349.4,349.1,313.2,314.5,320.1,355.3,314.0,669.7,469.3,474.1,457.1,429.3,332.4,366.9,564.5,459.5,495.6,461.0,570.7,596.7,630.4,638.1,703.8,680.7,735.8,806.0,819.5
