GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "50000","Vermont",1,SAGDP2N,1,"...","All industry total ","Millions of current dollars",15443.4,16197.7,17314.8,18492.9,19467.1,20383.5,21398.5,22986.3,23763.0,24507.1,25025.2,26140.4,26220.0,27478.3,28558.5,29325.6,29477.6,30359.4,31152.4,31840.2,32589.2,33482.6,34760.3,34414.9,37438.8,41011.6,43533.8
 "50000","Vermont",1,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",13425.4,14089.5,15078.1,16104.5,16880.6,17635.4,18438.1,19807.9,20420.0,21005.4,21410.8,22345.1,22368.3,23559.8,24443.0,25231.2,25185.8,26027.4,26697.9,27323.4,27990.8,28736.8,29887.3,29322.6,32173.4,35588.1,37802.4
 "50000","Vermont",1,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",264.1,288.4,290.5,297.5,316.4,255.6,285.0,366.7,373.7,318.3,421.8,434.0,302.9,388.9,487.3,452.0,509.6,561.4,432.6,398.0,421.9,384.8,457.7,381.5,458.5,755.2,532.1
 "50000","Vermont",1,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",208.2,231.5,231.6,232.1,247.2,188.9,222.2,300.0,302.9,232.7,347.1,360.5,229.0,311.9,408.0,376.1,433.8,478.1,347.6,316.9,340.4,302.2,371.8,297.3,374.5,662.2,434.3
 "50000","Vermont",1,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",55.9,56.9,58.9,65.4,69.1,66.7,62.8,66.7,70.8,85.7,74.6,73.5,73.9,77.0,79.3,76.0,75.8,83.3,85.0,81.1,81.5,82.6,85.8,84.2,84.0,93.0,97.8
 "50000","Vermont",1,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",48.6,51.2,56.5,60.0,67.1,72.5,94.8,91.0,119.1,147.3,145.1,154.5,211.4,234.6,231.6,190.5,166.8,162.8,163.3,148.6,175.5,110.8,98.4,153.7,153.4,177.2,210.5
 "50000","Vermont",1,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 "50000","Vermont",1,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",48.0,50.6,56.3,59.9,67.0,72.4,94.6,90.9,119.1,147.2,145.0,154.4,211.4,234.5,229.6,188.3,164.9,161.5,162.0,147.8,173.7,108.8,95.9,151.7,151.6,174.0,209.1
 "50000","Vermont",1,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",(L),0.0,0.2,0.1,0.2,0.1,0.2,0.1,(L),0.1,(L),0.1,0.1,0.1,2.0,2.2,1.9,1.3,1.3,0.7,1.7,2.0,2.4,2.0,1.9,3.2,1.4
 "50000","Vermont",1,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",407.1,402.7,432.0,420.1,422.1,422.8,426.5,496.2,483.9,519.5,551.0,560.1,676.4,750.9,673.2,702.3,741.1,741.8,750.0,630.4,611.1,662.2,651.8,720.0,760.7,888.3,804.7
 "50000","Vermont",1,SAGDP2N,11,"23","  Construction ","Millions of current dollars",599.6,658.5,758.3,862.6,958.3,976.5,1007.7,1136.6,1177.5,1221.6,1181.9,1063.2,1066.8,1052.7,1087.3,1099.8,1070.7,1068.9,1095.4,1155.9,1195.4,1196.9,1239.4,1205.2,1301.7,1431.1,1574.6
 "50000","Vermont",1,SAGDP2N,12,"31-33","  Manufacturing ","Millions of current dollars",2538.9,2502.7,2671.7,2894.8,2985.7,2908.3,2896.7,2949.8,2876.3,3111.6,2685.1,2932.9,2629.7,2991.2,3134.4,3304.1,2688.4,2629.8,2816.8,2696.4,2939.9,3098.0,3160.4,3016.4,3212.5,3469.7,3616.1
 "50000","Vermont",1,SAGDP2N,13,"321,327-339","   Durable goods manufacturing ","Millions of current dollars",1850.0,1830.1,1837.8,2049.0,2319.6,2246.5,2251.6,2270.5,2203.5,2314.8,1862.0,2063.2,1869.5,2212.4,2322.3,2534.1,1885.7,1739.5,1755.9,1652.6,1856.0,1988.6,1971.2,1767.5,2072.4,2322.1,2374.2
 "50000","Vermont",1,SAGDP2N,14,"321","    Wood product manufacturing ","Millions of current dollars",129.8,130.9,108.7,126.6,121.1,133.8,143.9,141.0,154.1,136.0,121.0,116.2,84.7,94.4,97.3,138.3,167.2,167.5,149.6,156.2,148.6,158.8,135.0,136.9,160.6,168.6,152.5
 "50000","Vermont",1,SAGDP2N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of current dollars",98.1,93.1,105.2,109.4,128.5,135.1,120.3,151.9,157.7,143.8,132.6,136.3,119.0,122.2,127.1,129.8,130.1,154.6,133.6,135.0,123.5,129.2,138.5,143.1,157.0,173.0,177.8
 "50000","Vermont",1,SAGDP2N,16,"331","    Primary metal manufacturing ","Millions of current dollars",24.7,16.7,23.3,26.7,33.6,34.8,29.7,35.5,30.1,27.5,23.2,23.0,14.4,16.5,23.7,25.4,20.7,23.6,20.7,19.7,19.7,21.2,24.1,19.3,20.6,22.0,21.4
 "50000","Vermont",1,SAGDP2N,17,"332","    Fabricated metal product manufacturing ","Millions of current dollars",204.0,209.6,203.9,242.2,296.6,171.2,240.0,225.6,121.5,213.0,230.5,222.6,163.7,152.6,163.8,191.1,195.0,208.3,205.5,160.8,145.5,157.2,197.5,179.6,168.8,193.6,201.6
 "50000","Vermont",1,SAGDP2N,18,"333","    Machinery manufacturing ","Millions of current dollars",221.4,260.7,256.3,253.2,279.9,158.3,147.9,155.3,176.7,197.3,195.3,191.7,195.6,231.5,242.3,245.6,259.4,260.0,328.1,313.7,363.4,385.3,369.0,395.8,392.7,409.0,448.0
 "50000","Vermont",1,SAGDP2N,19,"334","    Computer and electronic product manufacturing ","Millions of current dollars",768.6,702.1,658.6,780.0,980.5,997.3,1047.0,1046.5,1019.7,946.5,478.9,773.7,733.2,935.8,1108.7,1318.6,581.1,412.6,408.4,376.2,585.1,682.1,629.0,362.4,628.4,678.3,624.5
 "50000","Vermont",1,SAGDP2N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Millions of current dollars",54.8,61.6,75.9,80.7,85.2,97.2,111.5,102.2,104.6,156.2,157.4,178.4,156.4,183.4,143.2,142.0,171.8,141.6,131.8,116.8,114.4,124.9,104.4,100.1,89.3,109.0,102.7
 "50000","Vermont",1,SAGDP2N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Millions of current dollars",34.6,43.7,54.5,64.9,40.8,45.8,48.7,56.3,52.0,66.2,61.5,46.0,19.2,28.4,33.9,33.0,35.9,41.4,47.4,46.8,46.2,43.0,46.6,40.0,34.1,36.4,38.6
 "50000","Vermont",1,SAGDP2N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Millions of current dollars",116.2,107.2,141.6,166.2,142.2,106.3,73.8,94.3,117.3,120.6,132.9,122.7,116.9,159.6,145.0,121.7,134.0,120.2,119.9,115.2,106.9,94.7,118.7,122.7,135.1,227.9,286.0
 "50000","Vermont",1,SAGDP2N,23,"337","    Furniture and related product manufacturing ","Millions of current dollars",72.5,94.2,111.7,114.7,105.9,196.0,144.6,85.7,87.0,88.9,84.3,56.5,51.1,54.6,57.7,70.9,66.2,67.6,67.9,62.6,74.2,71.7,68.9,66.9,73.8,81.9,78.6
 "50000","Vermont",1,SAGDP2N,24,"339","    Miscellaneous manufacturing ","Millions of current dollars",125.2,110.3,98.1,84.3,105.3,170.6,144.3,176.2,182.9,218.8,244.3,196.2,215.2,233.6,179.7,117.8,124.2,142.2,143.0,149.7,128.5,120.5,139.4,200.7,212.2,222.3,242.6
