GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "53000","Washington",8,SAGDP2N,1,"...","All industry total ","Millions of current dollars",193769.5,209222.5,229678.9,237594.0,237978.2,245629.8,254720.2,267423.9,293402.0,314190.8,341712.3,352460.7,349945.4,363544.2,377518.8,398358.5,416924.1,439851.2,467590.6,489790.2,527169.4,570337.8,608643.4,620132.9,687702.3,742909.5,807864.5
 "53000","Washington",8,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",165558.8,179594.9,198707.3,205356.6,204081.3,209431.5,216613.3,227545.2,250869.1,268416.0,293811.8,300885.7,296205.2,308161.4,321683.0,340582.8,357966.4,378823.0,404779.6,423832.0,458357.4,498093.1,533652.9,542952.7,606950.9,657636.1,717188.5
 "53000","Washington",8,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",3744.8,3695.1,3561.2,3773.8,3542.0,3753.7,4611.3,5087.6,4818.4,5270.5,6178.1,5794.6,5443.6,5840.2,7007.1,7315.4,7266.5,6921.9,7741.2,7106.5,7136.7,7616.9,7732.3,7545.9,7926.8,9447.4,8377.2
 "53000","Washington",8,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",2598.9,2586.4,2284.8,2600.1,2438.1,2588.1,3347.3,3515.2,3161.2,3275.0,4095.1,3645.9,3497.0,3708.4,5006.1,5049.6,5014.6,4621.9,5529.2,4851.5,4826.0,4937.6,5018.0,4696.5,5102.3,6376.7,5119.8
 "53000","Washington",8,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",1146.0,1108.7,1276.3,1173.7,1104.0,1165.6,1264.0,1572.4,1657.2,1995.5,2083.0,2148.7,1946.5,2131.8,2001.0,2265.8,2252.0,2300.0,2212.1,2255.0,2310.6,2679.3,2714.3,2849.4,2824.5,3070.7,3257.4
 "53000","Washington",8,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",325.0,348.4,357.8,332.5,257.4,259.8,319.8,330.7,574.3,820.1,755.9,511.5,516.4,529.6,492.3,373.1,391.0,435.6,393.2,427.4,509.0,572.4,454.8,400.3,497.3,577.2,523.3
 "53000","Washington",8,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",6.0,2.6,1.6,1.7,0.3,0.7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.2,0.7,0.5,3.6,3.6,3.5,3.4,3.5,3.3,3.8,5.1,5.5
 "53000","Washington",8,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",292.2,330.1,341.5,312.0,245.6,249.6,308.4,315.5,561.6,802.3,732.7,488.4,501.4,507.7,462.9,346.6,363.3,406.5,362.6,409.4,474.1,527.0,416.6,371.4,466.2,540.8,474.7
 "53000","Washington",8,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",26.8,15.6,14.7,18.8,11.5,9.5,10.5,15.2,12.7,17.8,23.3,23.1,15.0,21.6,29.1,26.3,27.0,28.6,27.0,14.3,31.4,42.0,34.7,25.6,27.2,31.3,43.1
 "53000","Washington",8,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",2558.9,2451.5,2719.8,2752.4,2892.4,2717.9,2938.9,3162.3,3078.2,3528.0,3313.5,3419.2,3629.1,3842.7,4054.8,4037.7,4092.3,4199.6,4203.3,4319.4,4501.0,4437.2,4758.6,5002.3,5921.6,6734.6,6576.8
