STATE,AVERAGE CORPORATE TAX RT,YEAR,PROGRESSIVE,,
Alabama,6.5,2021,0,,
Alaska,4.7,2021,1,,
Arizona,4.9,2021,0,,
Arkansas,3.6,2021,1,,
California,8.84,2021,0,,
Colorado,4.55,2021,0,,
Connecticut,7.5,2021,0,,
Delaware,8.7,2021,0,,
Florida,4.458,2021,0,,
Georgia,5.75,2021,0,,
Hawaii,5.4,2021,1,,
Idaho,6.925,2021,0,,
Illinois,9.5,2021,0,,
Indiana,5.5,2021,0,,
Iowa,7.65,2021,1,,
Kansas,4,2021,0,,
Kentucky,5,2021,0,,
Louisiana,6,2021,1,,
Maine,6.215,2021,1,,
Maryland,8.25,2021,0,,
Massachusetts,8,2021,0,,
Michigan,6,2021,0,,
Minnesota,9.8,2021,0,,
Mississippi,2.5,2021,1,,
Missouri,4,2021,0,,
Montana,6.75,2021,0,,
Nebraska,6.7,2021,1,,
Nevada,0,2021,0,,
New Hampshire,7.7,2021,0,,
New Jersey,9,2021,0,,
New Mexico,5.35,2021,1,,
New York,6.5,2021,0,,
North Carolina,2.5,2021,0,,
North Dakota,2.86,2021,1,,
Ohio,0,2021,0,,
Oklahoma,6,2021,0,,
Oregon,7.1,2021,1,,
Pennsylvania,9.99,2021,0,,
Rhode Island,7,2021,0,,
South Carolina,5,2021,0,,
South Dakota,0,2021,0,,
Tennessee,6.5,2021,0,,
Texas,0,2021,0,,
Utah,4.95,2021,0,,
Vermont,7.25,2021,1,,
Virginia,6,2021,0,,
Washington,0,2021,0,,
West Virginia,9.5,2021,0,,
Wisconsin,7.9,2021,0,,
Wyoming,0,2021,0,,
Dist. of Columbia,8.25,2021,0,,
Alabama,6.5,2020,0,,
Alaska,4.7,2020,0,,
Arizona,4.9,2020,0,,
Arkansas,3.75,2020,1,,
California,8.84,2020,0,,
Colorado,4.63,2020,0,,
Connecticut,7.5,2020,0,,
Delaware,8.7,2020,0,,
Florida,4.458,2020,0,,
Georgia,5.75,2020,0,,
Hawaii,5.4,2020,1,,
Idaho,6.925,2020,0,,
Illinois,9.5,2020,0,,
Indiana,5.5,2020,0,,
Iowa,9,2020,1,,
Kansas,4,2020,0,,
Kentucky,5,2020,0,,
Louisiana,6,2020,0,,
Maine,6.215,2020,1,,
Maryland,8.25,2020,0,,
Massachusetts,8,2020,0,,
Michigan,6,2020,0,,
Minnesota,9.8,2020,0,,
Mississippi,2.5,2020,1,,
Missouri,4,2020,0,,
Montana,6.75,2020,0,,
Nebraska,6.7,2020,1,,
Nevada,0,2020,0,,
New Hampshire,7.7,2020,0,,
New Jersey,9,2020,0,,
New Mexico,5.35,2020,1,,
New York,6.5,2020,0,,
