,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,7.5,7.5,7.5,7.4,7.4,7.3,7.3,7.2,7.1,7.0,6.9,6.8,Alabama
1994,6.7,6.6,6.4,6.3,6.2,6.1,6.0,6.0,6.0,6.0,5.9,5.9,Alabama
1995,5.9,5.9,5.9,5.9,6.0,6.0,5.9,5.9,5.8,5.7,5.6,5.5,Alabama
1996,5.5,5.4,5.4,5.3,5.3,5.2,5.1,5.0,5.0,5.1,5.1,5.1,Alabama
1997,5.1,5.1,5.1,5.1,5.0,5.0,5.0,4.9,4.8,4.8,4.7,4.6,Alabama
1998,4.5,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.5,Alabama
1999,4.6,4.6,4.7,4.7,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.7,Alabama
2000,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.7,Alabama
2001,4.7,4.8,4.8,4.9,4.9,5.0,5.1,5.3,5.4,5.6,5.8,5.9,Alabama
2002,5.9,6.0,6.0,6.0,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,Alabama
2003,5.9,5.9,5.9,6.0,6.0,6.1,6.1,6.1,6.0,6.0,5.9,5.9,Alabama
2004,5.9,5.9,5.8,5.8,5.7,5.7,5.6,5.5,5.4,5.3,5.2,5.1,Alabama
2005,5.0,4.9,4.7,4.6,4.4,4.4,4.3,4.3,4.3,4.2,4.2,4.2,Alabama
2006,4.1,4.1,4.1,4.1,4.1,4.0,4.0,4.0,3.9,3.9,3.9,3.8,Alabama
2007,3.8,3.8,3.9,3.9,3.9,4.0,4.0,4.1,4.2,4.2,4.3,4.4,Alabama
2008,4.5,4.7,4.9,5.1,5.3,5.6,5.9,6.1,6.5,6.9,7.3,7.8,Alabama
2009,8.4,8.8,9.3,9.6,9.9,10.2,10.4,10.6,10.8,10.9,11.0,11.1,Alabama
2010,11.1,11.0,10.9,10.5,10.3,10.1,10.1,10.0,10.1,10.1,10.2,10.1,Alabama
2011,10.1,10.0,9.9,9.9,9.8,9.8,9.7,9.6,9.4,9.2,8.9,8.7,Alabama
2012,8.5,8.4,8.4,8.4,8.4,8.3,8.2,8.1,7.9,7.8,7.8,7.7,Alabama
2013,7.6,7.6,7.5,7.4,7.3,7.3,7.2,7.2,7.2,7.2,7.2,7.2,Alabama
2014,7.2,7.1,7.1,7.0,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.2,Alabama
2015,6.1,6.1,6.1,6.1,6.1,6.2,6.2,6.2,6.1,6.1,6.1,6.1,Alabama
2016,6.1,6.0,6.0,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.8,5.7,Alabama
2017,5.5,5.2,5.0,4.8,4.6,4.4,4.3,4.2,4.1,4.0,4.0,4.0,Alabama
2018,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.8,3.8,Alabama
2019,3.7,3.6,3.4,3.3,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.1,Alabama
2020,3.2,3.3,3.4,13.8,10.4,8.6,7.5,6.3,5.9,5.2,4.8,4.5,Alabama
2021,4.2,3.9,3.8,3.7,3.5,3.5,3.3,3.2,3.0,2.9,2.8,2.7,Alabama
2022,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,Alabama
2023,2.4,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.7,2.8,2.8,2.8,Alabama
