,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,8.0,7.9,7.9,7.8,7.8,7.8,7.8,7.7,7.7,7.7,7.7,7.8,Alaska
1994,7.8,7.8,7.9,7.8,7.8,7.7,7.6,7.6,7.5,7.4,7.3,7.2,Alaska
1995,7.1,7.1,7.1,7.1,7.2,7.3,7.3,7.4,7.5,7.5,7.6,7.7,Alaska
1996,7.7,7.7,7.6,7.6,7.5,7.4,7.3,7.2,7.2,7.2,7.3,7.4,Alaska
1997,7.4,7.3,7.3,7.2,7.1,7.0,6.9,6.8,6.7,6.6,6.5,6.4,Alaska
1998,6.3,6.2,6.2,6.2,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.4,Alaska
1999,6.5,6.5,6.5,6.6,6.5,6.5,6.4,6.4,6.3,6.3,6.2,6.2,Alaska
2000,6.2,6.2,6.2,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.3,6.3,Alaska
2001,6.2,6.1,6.1,6.1,6.1,6.1,6.2,6.3,6.4,6.5,6.6,6.7,Alaska
2002,6.8,6.9,7.0,7.1,7.2,7.2,7.2,7.2,7.3,7.3,7.4,7.4,Alaska
2003,7.5,7.6,7.6,7.7,7.7,7.8,7.8,7.8,7.7,7.7,7.7,7.6,Alaska
2004,7.6,7.6,7.6,7.6,7.5,7.5,7.4,7.3,7.3,7.2,7.2,7.2,Alaska
2005,7.1,7.0,6.9,6.9,6.8,6.8,6.8,6.9,7.0,7.0,7.0,7.0,Alaska
2006,6.9,6.9,6.8,6.7,6.7,6.7,6.6,6.6,6.5,6.5,6.4,6.3,Alaska
2007,6.3,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.2,Alaska
2008,6.2,6.2,6.3,6.3,6.4,6.5,6.5,6.5,6.6,6.6,6.7,6.9,Alaska
2009,7.2,7.4,7.7,7.9,8.0,8.1,8.1,8.2,8.2,8.3,8.3,8.4,Alaska
2010,8.4,8.4,8.4,8.3,8.2,8.0,7.9,7.9,8.0,8.0,8.1,8.0,Alaska
2011,8.0,7.9,7.8,7.8,7.7,7.7,7.7,7.7,7.7,7.7,7.6,7.5,Alaska
2012,7.5,7.4,7.4,7.3,7.3,7.3,7.2,7.2,7.1,7.1,7.1,7.1,Alaska
2013,7.1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.9,6.9,Alaska
2014,6.9,6.9,6.9,6.9,6.9,6.9,6.8,6.8,6.7,6.5,6.4,6.3,Alaska
2015,6.2,6.3,6.3,6.3,6.3,6.3,6.2,6.2,6.2,6.3,6.3,6.4,Alaska
2016,6.4,6.5,6.5,6.5,6.6,6.6,6.6,6.7,6.7,6.7,6.7,6.7,Alaska
2017,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.4,Alaska
2018,6.4,6.3,6.2,6.1,6.0,5.9,5.9,5.9,5.9,5.9,6.0,6.0,Alaska
2019,6.0,5.9,5.8,5.7,5.6,5.6,5.6,5.6,5.5,5.4,5.3,5.3,Alaska
2020,5.4,5.5,5.5,11.7,11.8,11.2,11.1,8.6,7.9,7.3,7.1,7.1,Alaska
2021,7.0,7.0,7.0,7.0,6.8,6.8,6.4,6.2,5.9,5.7,5.5,5.3,Alaska
2022,5.2,4.8,4.5,4.3,4.2,4.1,4.0,3.8,3.9,4.0,4.0,4.0,Alaska
2023,3.9,3.9,3.8,3.9,4.0,4.1,4.3,4.4,4.5,4.6,4.6,4.6,Alaska
