,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,7.1,7.0,6.8,6.6,6.4,6.2,6.1,6.0,6.0,6.0,6.1,6.1,Arizona
1994,6.2,6.2,6.2,6.3,6.3,6.4,6.4,6.3,6.3,6.1,5.9,5.7,Arizona
1995,5.5,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.2,5.1,5.1,5.1,Arizona
1996,5.2,5.3,5.4,5.4,5.5,5.6,5.6,5.6,5.6,5.6,5.6,5.5,Arizona
1997,5.3,5.2,5.0,4.8,4.6,4.5,4.4,4.4,4.4,4.3,4.3,4.3,Arizona
1998,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.3,4.3,4.3,4.4,Arizona
1999,4.4,4.5,4.6,4.6,4.6,4.6,4.6,4.5,4.4,4.3,4.2,4.2,Arizona
2000,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,4.0,Arizona
2001,4.0,4.1,4.2,4.2,4.3,4.4,4.6,4.8,5.1,5.4,5.7,5.9,Arizona
2002,6.0,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.1,6.1,6.0,Arizona
2003,6.0,5.9,5.9,5.9,5.9,5.9,5.9,5.8,5.7,5.6,5.5,5.4,Arizona
2004,5.4,5.3,5.3,5.2,5.1,5.0,4.9,4.8,4.7,4.7,4.6,4.6,Arizona
2005,4.6,4.6,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.6,4.6,Arizona
2006,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.2,4.2,4.1,4.0,Arizona
2007,3.9,3.9,3.8,3.7,3.6,3.5,3.5,3.5,3.7,3.8,4.0,4.1,Arizona
2008,4.3,4.4,4.6,4.9,5.2,5.5,5.9,6.2,6.6,6.9,7.3,7.7,Arizona
2009,8.2,8.6,8.9,9.2,9.5,9.7,10.0,10.1,10.3,10.4,10.5,10.6,Arizona
2010,10.6,10.6,10.6,10.5,10.4,10.3,10.2,10.2,10.1,10.1,10.0,10.0,Arizona
2011,9.8,9.8,9.7,9.6,9.6,9.6,9.5,9.4,9.3,9.1,9.0,8.8,Arizona
2012,8.7,8.6,8.6,8.5,8.5,8.4,8.3,8.2,8.1,8.1,8.1,8.1,Arizona
2013,8.1,8.1,8.0,8.0,7.9,7.9,7.8,7.8,7.7,7.6,7.5,7.4,Arizona
2014,7.2,7.1,7.0,6.9,6.9,6.8,6.7,6.7,6.7,6.6,6.5,6.4,Arizona
2015,6.4,6.3,6.2,6.2,6.1,6.1,6.1,6.0,6.0,5.9,5.8,5.8,Arizona
2016,5.7,5.6,5.6,5.6,5.5,5.5,5.5,5.4,5.4,5.4,5.3,5.3,Arizona
2017,5.2,5.2,5.1,5.0,5.0,4.9,4.9,4.8,4.9,4.9,4.9,4.9,Arizona
2018,4.9,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.8,4.9,5.0,5.0,Arizona
2019,5.0,5.0,4.9,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.7,4.7,Arizona
2020,4.8,4.8,4.9,13.8,11.2,9.8,8.9,7.9,7.5,7.0,6.7,6.6,Arizona
2021,6.4,6.2,6.0,5.8,5.5,5.3,5.0,4.6,4.3,4.1,3.9,3.7,Arizona
2022,3.7,3.6,3.6,3.6,3.7,3.7,3.8,3.9,4.0,4.0,3.9,3.8,Arizona
2023,3.7,3.7,3.6,3.6,3.7,3.8,3.9,4.1,4.2,4.2,4.2,4.2,Arizona
