,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1993,6.4,6.4,6.3,6.2,6.2,6.2,6.1,6.1,6.0,5.9,5.9,5.9,Arkansas
1994,5.8,5.8,5.7,5.7,5.6,5.5,5.4,5.4,5.3,5.2,5.0,4.9,Arkansas
1995,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.9,5.0,5.0,Arkansas
1996,5.0,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,Arkansas
1997,5.2,5.2,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.0,5.1,Arkansas
1998,5.1,5.1,5.1,5.1,5.1,5.0,5.0,5.1,5.1,5.0,5.0,4.9,Arkansas
1999,4.7,4.6,4.6,4.5,4.5,4.6,4.6,4.5,4.5,4.5,4.4,4.4,Arkansas
2000,4.3,4.3,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.2,4.2,Arkansas
2001,4.3,4.4,4.5,4.5,4.6,4.7,4.7,4.8,5.0,5.1,5.2,5.3,Arkansas
2002,5.4,5.5,5.5,5.4,5.4,5.3,5.2,5.2,5.2,5.2,5.3,5.4,Arkansas
2003,5.4,5.5,5.6,5.7,5.8,5.9,6.0,6.0,5.9,5.8,5.8,5.7,Arkansas
2004,5.7,5.7,5.7,5.7,5.7,5.6,5.5,5.5,5.5,5.5,5.5,5.4,Arkansas
2005,5.4,5.3,5.3,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.2,5.2,Arkansas
2006,5.1,5.1,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,Arkansas
2007,5.3,5.3,5.3,5.3,5.4,5.5,5.5,5.5,5.5,5.5,5.4,5.2,Arkansas
2008,5.1,5.0,4.9,5.0,5.0,5.1,5.3,5.4,5.6,5.9,6.3,6.7,Arkansas
2009,7.0,7.4,7.6,7.8,7.9,7.9,7.9,7.8,7.8,7.8,7.9,7.9,Arkansas
2010,7.9,7.9,7.9,7.8,7.8,7.7,7.7,7.8,7.9,7.9,8.0,8.0,Arkansas
2011,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.9,7.8,7.7,7.5,Arkansas
2012,7.4,7.3,7.3,7.3,7.3,7.3,7.3,7.2,7.2,7.2,7.2,7.2,Arkansas
2013,7.2,7.2,7.2,7.2,7.2,7.1,7.1,7.1,7.0,6.9,6.7,6.6,Arkansas
2014,6.5,6.3,6.2,6.0,6.0,5.9,5.8,5.7,5.7,5.6,5.6,5.5,Arkansas
2015,5.5,5.4,5.4,5.3,5.2,5.1,4.9,4.8,4.6,4.5,4.4,4.3,Arkansas
2016,4.2,4.1,4.0,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.8,Arkansas
2017,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.8,Arkansas
2018,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.6,3.7,3.7,3.7,Arkansas
2019,3.7,3.6,3.5,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,Arkansas
2020,3.5,3.6,4.9,10.1,8.9,7.9,7.3,6.4,6.0,5.4,5.2,5.0,Arkansas
2021,4.9,4.8,4.7,4.5,4.4,4.2,3.9,3.7,3.5,3.4,3.3,3.2,Arkansas
2022,3.2,3.2,3.2,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.2,3.1,Arkansas
2023,3.0,2.9,2.8,2.8,2.9,3.0,3.2,3.4,3.6,3.7,3.7,3.7,Arkansas
