,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,9.8,9.7,9.7,9.6,9.6,9.6,9.5,9.5,9.4,9.4,9.3,9.3,California
1994,9.3,9.2,9.1,9.0,8.9,8.7,8.6,8.5,8.4,8.2,8.0,7.9,California
1995,7.8,7.8,7.8,7.8,7.9,8.0,8.0,8.0,7.9,7.9,7.9,7.9,California
1996,7.8,7.8,7.7,7.6,7.5,7.4,7.2,7.1,7.1,7.0,7.0,7.0,California
1997,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.2,6.2,6.1,6.1,6.1,California
1998,6.0,6.0,6.0,6.0,5.9,5.9,6.0,6.0,6.0,5.9,5.8,5.7,California
1999,5.6,5.5,5.5,5.4,5.3,5.3,5.2,5.2,5.1,5.1,5.0,5.0,California
2000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.9,4.8,4.8,4.8,4.8,California
2001,4.8,4.8,4.9,5.0,5.1,5.2,5.4,5.6,5.9,6.1,6.3,6.5,California
2002,6.6,6.7,6.7,6.7,6.8,6.8,6.8,6.7,6.8,6.8,6.8,6.9,California
2003,6.9,6.9,6.9,7.0,7.0,7.0,7.0,7.0,6.9,6.8,6.7,6.6,California
2004,6.6,6.5,6.5,6.4,6.4,6.3,6.2,6.1,6.0,5.9,5.9,5.8,California
2005,5.8,5.7,5.6,5.5,5.4,5.3,5.3,5.3,5.2,5.2,5.2,5.1,California
2006,5.0,5.0,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,California
2007,4.9,5.0,5.0,5.1,5.1,5.2,5.3,5.4,5.5,5.7,5.7,5.8,California
2008,5.9,6.0,6.2,6.4,6.7,7.0,7.3,7.6,8.0,8.4,8.8,9.3,California
2009,9.9,10.4,10.8,11.2,11.4,11.7,11.8,12.0,12.1,12.3,12.4,12.5,California
2010,12.6,12.6,12.6,12.5,12.5,12.4,12.3,12.4,12.4,12.4,12.4,12.4,California
2011,12.3,12.2,12.1,12.0,12.0,12.0,12.0,11.9,11.8,11.6,11.5,11.3,California
2012,11.2,11.0,11.0,10.9,10.8,10.7,10.5,10.3,10.2,10.0,9.9,9.8,California
2013,9.7,9.5,9.4,9.3,9.2,9.1,9.0,8.9,8.8,8.6,8.5,8.4,California
2014,8.2,8.1,8.0,7.8,7.7,7.6,7.5,7.4,7.3,7.2,7.1,6.9,California
2015,6.8,6.7,6.6,6.5,6.4,6.3,6.2,6.0,5.9,5.8,5.8,5.7,California
2016,5.7,5.6,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.4,5.4,California
2017,5.2,5.1,5.0,5.0,4.9,4.9,4.8,4.8,4.7,4.6,4.5,4.5,California
2018,4.4,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.3,4.3,California
2019,4.3,4.3,4.2,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.1,4.2,California
2020,4.3,4.4,5.5,16.1,15.8,13.8,13.2,11.9,10.0,9.3,9.0,9.0,California
2021,8.7,8.6,8.4,8.3,7.9,7.8,7.4,7.0,6.5,6.1,5.7,5.5,California
2022,5.2,4.8,4.4,4.2,4.1,4.0,3.9,3.8,4.0,4.2,4.3,4.4,California
2023,4.5,4.5,4.5,4.5,4.5,4.6,4.7,4.8,5.0,5.1,5.1,5.1,California
