,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,6.0,6.0,5.8,5.7,5.5,5.4,5.3,5.1,5.0,5.0,4.9,4.9,Colorado
1994,4.8,4.7,4.6,4.5,4.3,4.2,4.0,3.9,3.8,3.7,3.6,3.6,Colorado
1995,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.2,4.2,4.2,4.2,4.2,Colorado
1996,4.2,4.2,4.3,4.3,4.3,4.3,4.3,4.2,4.1,4.0,3.9,3.9,Colorado
1997,3.8,3.6,3.5,3.4,3.3,3.2,3.2,3.2,3.2,3.2,3.3,3.4,Colorado
1998,3.5,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.7,3.6,3.4,3.3,Colorado
1999,3.1,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.0,3.0,2.9,2.9,Colorado
2000,2.8,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.7,2.7,2.7,Colorado
2001,2.7,2.8,2.9,3.1,3.3,3.4,3.7,4.0,4.4,4.8,5.2,5.5,Colorado
2002,5.7,5.8,5.8,5.7,5.7,5.6,5.6,5.6,5.6,5.6,5.7,5.8,Colorado
2003,5.9,6.0,6.1,6.2,6.3,6.3,6.3,6.2,6.1,6.0,6.0,5.9,Colorado
2004,5.8,5.8,5.7,5.6,5.6,5.5,5.5,5.5,5.5,5.5,5.4,5.4,Colorado
2005,5.4,5.4,5.3,5.3,5.2,5.1,5.0,4.9,4.9,4.9,4.8,4.7,Colorado
2006,4.6,4.5,4.4,4.4,4.4,4.4,4.3,4.3,4.2,4.1,3.9,3.8,Colorado
2007,3.7,3.5,3.5,3.4,3.4,3.5,3.6,3.7,3.9,4.0,4.1,4.1,Colorado
2008,4.2,4.2,4.3,4.4,4.5,4.7,4.8,5.0,5.2,5.4,5.7,6.1,Colorado
2009,6.6,7.0,7.4,7.7,8.0,8.1,8.1,8.1,8.2,8.3,8.4,8.6,Colorado
2010,8.8,9.0,9.1,9.1,9.0,9.0,9.1,9.2,9.3,9.4,9.4,9.3,Colorado
2011,9.1,8.9,8.8,8.7,8.7,8.7,8.7,8.6,8.6,8.6,8.5,8.4,Colorado
2012,8.4,8.3,8.3,8.3,8.2,8.2,8.1,7.9,7.8,7.6,7.5,7.4,Colorado
2013,7.3,7.2,7.1,7.0,6.9,6.8,6.8,6.7,6.5,6.4,6.2,6.1,Colorado
2014,6.0,5.8,5.6,5.4,5.2,5.0,4.8,4.6,4.5,4.4,4.3,4.2,Colorado
2015,4.1,4.1,4.1,4.0,3.9,3.8,3.7,3.6,3.5,3.4,3.4,3.3,Colorado
2016,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.1,3.0,3.0,2.9,2.7,Colorado
2017,2.6,2.5,2.4,2.4,2.4,2.5,2.6,2.7,2.8,2.8,2.8,2.8,Colorado
2018,2.9,2.9,2.9,3.0,3.0,3.1,3.1,3.1,3.2,3.2,3.1,3.1,Colorado
2019,3.0,2.9,2.8,2.6,2.6,2.5,2.5,2.5,2.5,2.6,2.7,2.8,Colorado
2020,3.0,3.2,3.3,11.2,11.7,11.2,6.5,6.2,6.3,6.2,6.2,6.4,Colorado
2021,6.3,6.3,6.2,6.2,5.9,5.9,5.6,5.3,4.9,4.6,4.4,4.2,Colorado
2022,4.0,3.6,3.3,3.1,3.0,2.8,2.7,2.6,2.8,2.9,3.0,3.0,Colorado
2023,3.0,3.0,3.0,3.0,3.1,3.1,3.2,3.2,3.3,3.3,3.3,3.3,Colorado
