,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,8.6,8.5,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.3,8.3,8.3,District of Columbia
1994,8.3,8.3,8.2,8.1,8.0,7.9,7.8,7.7,7.7,7.7,7.7,7.8,District of Columbia
1995,7.9,8.1,8.3,8.5,8.7,8.8,8.9,8.9,8.9,8.8,8.8,8.7,District of Columbia
1996,8.7,8.6,8.6,8.6,8.6,8.6,8.5,8.3,8.2,8.2,8.1,8.1,District of Columbia
1997,8.0,7.9,7.9,7.9,7.9,8.0,8.1,8.2,8.3,8.4,8.5,8.6,District of Columbia
1998,8.7,8.7,8.7,8.6,8.5,8.4,8.3,8.3,8.2,8.0,7.8,7.6,District of Columbia
1999,7.4,7.2,7.0,6.9,6.8,6.7,6.5,6.4,6.2,6.1,5.9,5.8,District of Columbia
2000,5.7,5.7,5.7,5.6,5.6,5.6,5.6,5.7,5.7,5.7,5.8,5.9,District of Columbia
2001,5.9,6.0,6.1,6.1,6.2,6.3,6.4,6.6,6.8,7.0,7.1,7.1,District of Columbia
2002,7.2,7.2,7.1,7.1,7.0,7.0,6.9,6.8,6.8,6.8,6.9,7.0,District of Columbia
2003,7.0,7.1,7.2,7.3,7.3,7.4,7.4,7.4,7.3,7.3,7.3,7.3,District of Columbia
2004,7.4,7.6,7.8,7.9,8.1,8.2,8.3,8.4,8.4,8.4,8.3,8.2,District of Columbia
2005,8.1,7.9,7.7,7.5,7.2,7.0,6.7,6.6,6.4,6.3,6.3,6.2,District of Columbia
2006,6.2,6.2,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.4,6.3,6.2,District of Columbia
2007,6.1,6.1,6.0,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,6.0,District of Columbia
2008,6.0,6.1,6.2,6.3,6.4,6.6,6.8,7.0,7.2,7.5,7.9,8.2,District of Columbia
2009,8.7,9.0,9.4,9.7,9.9,10.1,10.3,10.5,10.6,10.6,10.6,10.6,District of Columbia
2010,10.5,10.3,10.2,10.0,9.8,9.7,9.7,9.7,9.8,9.9,9.9,9.9,District of Columbia
2011,10.0,10.0,10.1,10.3,10.4,10.5,10.5,10.4,10.3,10.1,9.9,9.8,District of Columbia
2012,9.6,9.5,9.3,9.2,9.1,9.0,8.8,8.7,8.6,8.6,8.6,8.7,District of Columbia
2013,8.7,8.7,8.7,8.6,8.5,8.5,8.5,8.4,8.3,8.2,8.1,8.0,District of Columbia
2014,7.9,7.9,7.8,7.8,7.8,7.8,7.7,7.7,7.6,7.6,7.5,7.4,District of Columbia
2015,7.4,7.3,7.2,7.2,7.0,6.9,6.8,6.8,6.7,6.6,6.6,6.5,District of Columbia
2016,6.4,6.3,6.2,6.1,6.1,6.1,6.2,6.2,6.3,6.3,6.3,6.3,District of Columbia
2017,6.3,6.2,6.2,6.2,6.2,6.1,6.1,6.1,6.0,6.0,5.9,5.9,District of Columbia
2018,5.9,5.8,5.8,5.8,5.7,5.6,5.5,5.5,5.5,5.6,5.7,5.8,District of Columbia
2019,5.9,5.9,5.8,5.7,5.6,5.4,5.4,5.3,5.2,5.2,5.2,5.4,District of Columbia
2020,5.5,5.7,5.8,11.2,8.8,8.6,8.6,8.4,8.4,8.1,7.9,7.7,District of Columbia
2021,7.3,7.1,7.0,7.1,7.1,7.3,7.1,7.0,6.6,6.5,6.3,6.1,District of Columbia
2022,6.0,5.6,5.2,4.9,4.7,4.4,4.2,4.0,4.2,4.4,4.6,4.8,District of Columbia
2023,4.9,5.0,5.0,4.9,4.8,4.8,4.7,4.8,4.9,4.9,4.9,4.9,District of Columbia
