,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,4.8,4.7,4.7,4.7,4.8,4.9,4.9,5.0,5.0,5.1,5.1,5.2,Delaware
1994,5.2,5.2,5.2,5.1,5.0,4.8,4.7,4.5,4.4,4.2,4.1,4.0,Delaware
1995,4.0,4.0,4.0,4.1,4.2,4.2,4.3,4.3,4.4,4.4,4.6,4.7,Delaware
1996,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5.0,5.1,5.1,5.1,5.0,Delaware
1997,4.9,4.8,4.7,4.4,4.2,4.1,3.9,3.7,3.5,3.4,3.2,3.3,Delaware
1998,3.4,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.4,3.3,3.2,Delaware
1999,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,Delaware
2000,3.4,3.4,3.5,3.5,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,Delaware
2001,3.6,3.6,3.5,3.4,3.3,3.3,3.4,3.5,3.6,3.8,3.9,4.0,Delaware
2002,4.2,4.3,4.4,4.4,4.4,4.3,4.3,4.2,4.1,4.1,4.2,4.3,Delaware
2003,4.4,4.5,4.5,4.6,4.6,4.6,4.6,4.5,4.4,4.4,4.3,4.2,Delaware
2004,4.1,4.1,4.2,4.2,4.2,4.3,4.3,4.4,4.4,4.4,4.5,4.5,Delaware
2005,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.5,4.5,4.4,Delaware
2006,4.3,4.1,4.0,4.0,4.0,4.0,3.9,3.9,3.8,3.7,3.6,3.6,Delaware
2007,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.6,3.7,3.7,3.8,Delaware
2008,3.9,4.0,4.1,4.2,4.5,4.7,5.0,5.3,5.6,6.0,6.3,6.8,Delaware
2009,7.2,7.6,7.9,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9.0,Delaware
2010,9.1,9.0,9.0,8.8,8.7,8.6,8.6,8.5,8.5,8.5,8.4,8.2,Delaware
2011,8.1,7.9,7.8,7.7,7.7,7.7,7.6,7.6,7.5,7.4,7.2,7.1,Delaware
2012,7.0,7.0,7.0,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,Delaware
2013,7.1,7.0,7.0,6.9,6.8,6.7,6.6,6.5,6.3,6.2,6.1,6.1,Delaware
2014,6.0,6.0,5.9,5.8,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.1,Delaware
2015,5.0,4.9,4.9,4.9,4.9,4.8,4.8,4.7,4.7,4.7,4.6,4.6,Delaware
2016,4.5,4.5,4.4,4.4,4.4,4.5,4.5,4.5,4.6,4.6,4.7,4.7,Delaware
2017,4.7,4.6,4.6,4.6,4.5,4.5,4.5,4.4,4.4,4.3,4.3,4.2,Delaware
2018,4.1,4.0,3.9,3.8,3.8,3.7,3.6,3.6,3.5,3.5,3.5,3.5,Delaware
2019,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.6,Delaware
2020,3.6,3.6,5.0,13.1,13.4,12.7,7.5,7.3,7.5,5.1,5.3,5.6,Delaware
2021,5.7,5.8,5.9,5.9,5.9,5.8,5.6,5.4,5.2,5.0,4.8,4.7,Delaware
2022,4.6,4.4,4.3,4.2,4.2,4.2,4.1,4.1,4.2,4.2,4.2,4.1,Delaware
2023,4.1,4.0,3.9,3.8,3.8,3.9,3.9,4.0,4.1,4.1,4.1,4.1,Delaware
