,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,6.1,6.0,5.9,5.8,5.7,5.7,5.6,5.6,5.6,5.6,5.6,5.6,Georgia
1994,5.6,5.5,5.4,5.3,5.2,5.1,5.0,4.9,4.8,4.7,4.6,4.5,Georgia
1995,4.5,4.5,4.6,4.7,4.8,4.9,4.9,4.9,4.9,4.8,4.7,4.6,Georgia
1996,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.5,4.6,4.7,4.8,4.8,Georgia
1997,4.8,4.8,4.7,4.6,4.5,4.5,4.4,4.3,4.3,4.3,4.3,4.3,Georgia
1998,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.0,Georgia
1999,4.0,4.0,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.6,Georgia
2000,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.4,3.4,3.4,Georgia
2001,3.5,3.5,3.6,3.7,3.7,3.8,4.0,4.2,4.4,4.7,4.9,5.1,Georgia
2002,5.2,5.3,5.3,5.4,5.4,5.3,5.3,5.3,5.3,5.3,5.3,5.3,Georgia
2003,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.2,5.0,4.9,4.8,4.7,Georgia
2004,4.7,4.7,4.8,4.8,4.9,5.0,5.1,5.2,5.3,5.4,5.5,5.6,Georgia
2005,5.7,5.8,5.8,5.8,5.8,5.7,5.7,5.7,5.7,5.6,5.5,5.4,Georgia
2006,5.3,5.2,5.2,5.1,5.1,5.1,5.1,5.1,5.0,5.0,4.9,4.8,Georgia
2007,4.8,4.7,4.7,4.7,4.8,4.8,4.9,4.9,5.0,5.1,5.2,5.3,Georgia
2008,5.5,5.6,5.8,6.0,6.2,6.4,6.6,6.9,7.4,7.9,8.3,8.8,Georgia
2009,9.2,9.6,10.0,10.2,10.4,10.6,10.7,10.8,10.8,10.9,10.9,10.8,Georgia
2010,10.8,10.8,10.8,10.7,10.6,10.5,10.5,10.6,10.6,10.7,10.7,10.6,Georgia
2011,10.5,10.4,10.3,10.3,10.3,10.3,10.2,10.2,10.1,9.9,9.8,9.6,Georgia
2012,9.5,9.4,9.3,9.3,9.2,9.1,9.0,8.9,8.8,8.7,8.7,8.6,Georgia
2013,8.6,8.6,8.5,8.4,8.3,8.2,8.1,8.0,7.9,7.8,7.7,7.6,Georgia
2014,7.5,7.4,7.4,7.4,7.3,7.3,7.2,7.1,7.0,6.8,6.7,6.6,Georgia
2015,6.5,6.4,6.3,6.3,6.2,6.1,6.0,5.9,5.9,5.8,5.8,5.7,Georgia
2016,5.7,5.7,5.6,5.5,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.3,Georgia
2017,5.2,5.1,5.0,4.9,4.8,4.8,4.7,4.6,4.6,4.5,4.5,4.4,Georgia
2018,4.3,4.2,4.1,4.1,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,Georgia
2019,3.8,3.8,3.7,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.5,Georgia
2020,3.5,3.6,3.7,12.4,9.8,8.4,7.6,6.7,6.4,5.5,5.3,5.1,Georgia
2021,4.8,4.6,4.4,4.3,4.1,4.0,3.9,3.7,3.5,3.4,3.3,3.2,Georgia
2022,3.1,3.1,3.0,3.0,3.0,3.1,3.1,3.2,3.2,3.3,3.3,3.3,Georgia
2023,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,Georgia
