,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,4.6,4.5,4.4,4.3,4.3,4.2,4.2,4.2,4.3,4.4,4.5,4.7,Hawaii
1994,4.9,5.0,5.1,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.2,5.1,Hawaii
1995,5.0,5.1,5.2,5.3,5.5,5.6,5.7,5.7,5.8,5.8,5.8,5.8,Hawaii
1996,5.9,5.9,6.0,6.0,5.9,5.9,5.8,5.8,5.9,5.9,6.0,6.0,Hawaii
1997,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.9,5.9,5.8,5.8,5.7,Hawaii
1998,5.7,5.7,5.7,5.8,5.8,5.9,5.9,6.0,6.0,5.9,5.8,5.7,Hawaii
1999,5.6,5.5,5.5,5.4,5.3,5.3,5.2,5.1,5.0,4.9,4.8,4.7,Hawaii
2000,4.6,4.5,4.4,4.4,4.3,4.3,4.2,4.2,4.1,4.0,4.0,4.0,Hawaii
2001,4.1,4.1,4.2,4.2,4.1,4.1,4.1,4.2,4.3,4.5,4.7,4.7,Hawaii
2002,4.7,4.5,4.4,4.2,4.1,4.0,3.9,3.9,3.8,3.7,3.7,3.7,Hawaii
2003,3.7,3.7,3.8,3.9,4.0,4.1,4.1,4.1,4.0,3.9,3.8,3.8,Hawaii
2004,3.7,3.6,3.5,3.4,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3.1,Hawaii
2005,3.0,3.0,2.9,2.8,2.8,2.7,2.8,2.8,2.8,2.8,2.8,2.7,Hawaii
2006,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.5,2.4,2.3,2.3,2.3,Hawaii
2007,2.4,2.4,2.5,2.6,2.6,2.7,2.7,2.8,2.9,3.0,3.0,3.1,Hawaii
2008,3.1,3.1,3.2,3.4,3.6,3.8,4.0,4.3,4.5,4.8,5.1,5.5,Hawaii
2009,5.9,6.2,6.5,6.6,6.7,6.8,6.8,6.8,6.9,6.9,6.9,6.9,Hawaii
2010,6.9,6.9,6.9,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,Hawaii
2011,6.8,6.7,6.7,6.7,6.8,6.9,7.0,7.0,7.0,6.9,6.8,6.7,Hawaii
2012,6.6,6.5,6.4,6.3,6.2,6.1,5.9,5.7,5.5,5.3,5.2,5.1,Hawaii
2013,5.0,4.9,4.9,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.6,Hawaii
2014,4.6,4.5,4.4,4.4,4.4,4.3,4.2,4.1,4.1,4.0,3.9,3.9,Hawaii
2015,3.8,3.8,3.7,3.6,3.5,3.4,3.3,3.3,3.2,3.2,3.1,3.1,Hawaii
2016,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.8,2.8,2.7,2.7,Hawaii
2017,2.6,2.6,2.5,2.5,2.4,2.3,2.1,2.0,1.9,1.9,1.9,1.9,Hawaii
2018,2.1,2.1,2.2,2.2,2.3,2.4,2.4,2.5,2.6,2.6,2.7,2.8,Hawaii
2019,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.4,2.3,2.3,Hawaii
2020,2.2,2.2,2.1,22.5,20.8,17.4,15.6,13.1,13.4,11.4,10.6,10.2,Hawaii
2021,9.5,9.1,8.4,7.7,6.8,6.3,5.4,4.7,4.0,3.3,3.2,3.1,Hawaii
2022,3.1,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,Hawaii
2023,3.1,3.0,2.9,2.9,2.8,2.8,2.8,2.9,3.0,3.0,3.0,3.0,Hawaii
