,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,6.3,6.3,6.4,6.3,6.3,6.2,6.1,6.0,5.9,5.8,5.7,5.6,Idaho
1994,5.6,5.5,5.4,5.4,5.4,5.4,5.5,5.5,5.6,5.6,5.6,5.5,Idaho
1995,5.5,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.6,5.6,5.6,Idaho
1996,5.6,5.6,5.6,5.5,5.4,5.4,5.3,5.3,5.3,5.3,5.4,5.4,Idaho
1997,5.4,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.1,5.1,5.2,5.2,Idaho
1998,5.3,5.3,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,Idaho
1999,5.2,5.1,5.1,5.1,5.1,5.1,5.1,5.0,4.9,4.9,4.8,4.7,Idaho
2000,4.6,4.6,4.6,4.6,4.6,4.7,4.7,4.7,4.7,4.7,4.7,4.7,Idaho
2001,4.7,4.7,4.8,4.8,4.9,5.0,5.0,5.1,5.3,5.4,5.6,5.7,Idaho
2002,5.8,5.8,5.8,5.8,5.7,5.6,5.5,5.5,5.4,5.5,5.5,5.5,Idaho
2003,5.5,5.6,5.6,5.6,5.7,5.7,5.7,5.7,5.6,5.5,5.4,5.2,Idaho
2004,5.2,5.1,5.0,5.0,4.9,4.9,4.9,4.8,4.8,4.7,4.6,4.5,Idaho
2005,4.3,4.2,4.2,4.1,4.1,4.0,4.0,3.9,3.9,3.8,3.7,3.7,Idaho
2006,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.1,Idaho
2007,3.0,2.9,2.9,2.8,2.8,2.9,3.0,3.1,3.2,3.3,3.2,3.2,Idaho
2008,3.1,3.1,3.2,4.1,4.7,5.1,5.4,5.6,5.9,6.3,6.7,7.2,Idaho
2009,7.6,7.9,8.2,8.2,8.9,9.1,9.1,9.1,9.1,9.1,9.1,9.1,Idaho
2010,9.1,9.1,9.0,8.9,8.8,8.7,8.6,8.6,8.6,8.6,8.6,8.5,Idaho
2011,8.5,8.4,8.4,8.4,8.3,8.3,8.2,8.1,8.0,7.9,7.8,7.7,Idaho
2012,7.7,7.6,7.6,7.6,7.5,7.5,7.4,7.3,7.2,7.2,7.1,7.1,Idaho
2013,7.0,7.0,7.0,7.0,7.0,6.9,6.9,6.9,6.9,6.8,6.4,6.0,Idaho
2014,5.6,5.2,4.9,4.6,4.5,4.0,4.0,4.0,4.0,4.0,3.9,3.9,Idaho
2015,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,Idaho
2016,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.5,Idaho
2017,3.5,3.4,3.3,3.2,3.2,3.1,3.1,3.2,3.2,3.2,3.1,3.1,Idaho
2018,3.0,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.9,3.0,3.0,Idaho
2019,3.0,3.0,2.9,2.9,2.8,2.8,2.9,2.9,2.9,2.9,2.8,2.8,Idaho
2020,2.8,2.8,2.7,11.8,9.1,7.5,6.6,5.4,5.0,4.4,4.2,4.2,Idaho
2021,4.1,4.1,4.0,3.9,3.7,3.6,3.5,3.4,3.3,3.1,3.0,2.9,Idaho
2022,2.8,2.7,2.7,2.7,2.7,2.8,2.9,2.9,3.0,3.0,3.0,2.9,Idaho
2023,2.9,2.9,2.9,2.9,2.9,3.0,3.1,3.2,3.3,3.3,3.3,3.3,Idaho
