,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,7.5,7.7,7.8,7.8,7.8,7.8,7.7,7.5,7.3,7.2,7.0,6.8,Illinois
1994,6.6,6.4,6.2,6.1,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.1,Illinois
1995,5.1,5.0,5.1,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.3,Illinois
1996,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.3,5.2,5.1,5.1,5.1,Illinois
1997,5.1,5.0,4.9,4.8,4.7,4.6,4.6,4.6,4.7,4.7,4.8,4.8,Illinois
1998,4.7,4.6,4.5,4.4,4.3,4.3,4.4,4.5,4.5,4.5,4.4,4.3,Illinois
1999,4.2,4.2,4.2,4.3,4.5,4.6,4.6,4.6,4.5,4.5,4.4,4.3,Illinois
2000,4.3,4.3,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.6,4.8,Illinois
2001,4.9,5.1,5.2,5.2,5.2,5.3,5.3,5.4,5.6,5.8,6.0,6.2,Illinois
2002,6.3,6.4,6.5,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,Illinois
2003,6.6,6.6,6.6,6.7,6.8,6.8,6.9,6.9,6.9,6.8,6.6,6.5,Illinois
2004,6.4,6.3,6.3,6.3,6.2,6.2,6.1,6.1,6.1,6.1,6.0,6.0,Illinois
2005,6.0,6.0,5.9,5.9,5.9,5.8,5.7,5.6,5.6,5.5,5.4,5.3,Illinois
2006,5.1,5.0,4.8,4.7,4.6,4.5,4.4,4.4,4.4,4.4,4.4,4.5,Illinois
2007,4.6,4.6,4.7,4.8,4.9,5.0,5.1,5.2,5.3,5.5,5.5,5.6,Illinois
2008,5.6,5.7,5.8,5.9,6.1,6.4,6.6,6.7,6.9,7.1,7.4,7.9,Illinois
2009,8.4,8.9,9.4,9.8,10.0,10.3,10.4,10.6,10.8,11.0,11.2,11.4,Illinois
2010,11.4,11.3,11.2,10.9,10.7,10.4,10.2,10.1,10.0,9.9,9.8,9.7,Illinois
2011,9.6,9.5,9.5,9.6,9.8,9.9,10.0,10.1,10.0,9.9,9.7,9.5,Illinois
2012,9.3,9.1,9.0,9.0,9.0,9.1,9.0,9.0,9.0,9.0,9.0,9.1,Illinois
2013,9.2,9.3,9.3,9.3,9.2,9.2,9.2,9.1,9.0,8.8,8.7,8.6,Illinois
2014,8.4,8.1,7.9,7.6,7.4,7.2,7.0,6.8,6.6,6.5,6.3,6.2,Illinois
2015,6.1,6.1,6.0,6.0,6.0,6.0,5.9,5.9,5.9,5.9,6.0,6.1,Illinois
2016,6.2,6.2,6.2,6.1,6.0,5.9,5.8,5.8,5.7,5.7,5.6,5.4,Illinois
2017,5.3,5.1,5.0,4.9,4.9,4.9,5.0,5.0,4.9,4.9,4.8,4.7,Illinois
2018,4.6,4.5,4.4,4.3,4.3,4.2,4.3,4.3,4.4,4.4,4.5,4.6,Illinois
2019,4.6,4.5,4.4,4.2,4.0,3.8,3.8,3.7,3.7,3.7,3.6,3.6,Illinois
2020,3.7,3.9,5.1,18.1,14.7,12.6,11.4,9.7,9.0,8.1,7.8,7.6,Illinois
2021,7.2,7.0,6.8,6.7,6.5,6.4,6.2,5.9,5.5,5.2,5.0,4.8,Illinois
2022,4.7,4.7,4.6,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.6,4.5,Illinois
2023,4.4,4.3,4.2,4.2,4.2,4.3,4.4,4.6,4.7,4.8,4.7,4.7,Illinois
