,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,5.7,5.6,5.6,5.6,5.6,5.7,4.7,4.5,4.4,4.5,4.7,4.8,Indiana
1994,4.8,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.5,4.4,4.3,Indiana
1995,4.2,4.3,4.4,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.5,4.5,Indiana
1996,4.4,4.4,4.3,4.3,4.2,4.0,3.9,3.8,3.7,3.6,3.5,3.5,Indiana
1997,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.4,3.4,3.3,Indiana
1998,3.2,3.1,3.0,2.9,2.9,2.9,3.0,3.0,3.1,3.1,3.0,2.9,Indiana
1999,2.9,2.8,2.8,2.8,2.8,2.9,3.0,3.0,3.1,3.1,3.1,3.1,Indiana
2000,3.1,3.1,3.1,3.1,3.2,3.1,3.0,3.0,2.9,2.9,3.0,3.1,Indiana
2001,3.3,3.5,3.7,3.8,3.9,4.0,4.2,4.4,4.7,4.9,5.2,5.3,Indiana
2002,5.4,5.5,5.4,5.4,5.3,5.2,5.1,5.0,5.0,5.0,5.0,5.0,Indiana
2003,5.0,5.0,5.1,5.2,5.2,5.3,5.4,5.5,5.4,5.4,5.4,5.4,Indiana
2004,5.3,5.5,5.4,5.4,5.3,5.3,5.3,5.3,5.4,5.5,5.5,5.6,Indiana
2005,5.6,5.6,5.5,5.4,5.3,5.3,5.3,5.4,5.4,5.4,5.3,5.2,Indiana
2006,5.1,5.0,4.9,5.0,5.0,5.1,5.1,5.1,5.0,5.0,4.9,4.8,Indiana
2007,4.7,4.6,4.5,4.5,4.5,4.5,4.5,4.6,4.7,4.8,4.8,4.8,Indiana
2008,4.8,4.8,4.9,5.1,5.3,5.5,5.8,6.0,6.4,6.9,7.5,8.3,Indiana
2009,9.0,9.8,10.3,10.7,10.8,10.8,10.7,10.7,10.6,10.6,10.6,10.6,Indiana
2010,10.7,10.7,10.6,10.4,10.3,10.1,10.0,9.9,9.8,9.7,9.5,9.3,Indiana
2011,9.1,8.9,8.8,8.7,8.8,8.9,9.1,9.1,9.1,9.0,8.8,8.6,Indiana
2012,8.4,8.3,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,Indiana
2013,8.2,8.2,8.1,8.0,7.8,7.7,7.5,7.3,7.1,6.9,6.7,6.5,Indiana
2014,6.4,6.3,6.2,6.1,6.1,6.0,5.9,5.8,5.8,5.7,5.6,5.5,Indiana
2015,5.4,5.2,5.1,4.9,4.8,4.7,4.6,4.6,4.5,4.5,4.5,4.6,Indiana
2016,4.6,4.6,4.6,4.6,4.5,4.4,4.4,4.3,4.2,4.1,4.1,4.0,Indiana
2017,3.8,3.7,3.5,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.4,3.3,Indiana
2018,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.6,3.6,Indiana
2019,3.5,3.5,3.4,3.3,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,Indiana
2020,3.3,3.4,3.5,16.8,12.5,10.3,8.9,7.2,6.5,5.6,5.2,5.0,Indiana
2021,4.7,4.6,4.5,4.4,4.2,4.1,3.9,3.7,3.5,3.3,3.1,3.0,Indiana
2022,2.9,2.9,2.8,2.9,2.9,3.0,3.1,3.2,3.2,3.3,3.3,3.3,Indiana
2023,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.5,3.5,3.5,3.5,Indiana
