,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.1,4.0,4.0,3.9,3.9,Iowa
1994,3.9,3.8,3.8,3.7,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.4,Iowa
1995,3.4,3.4,3.5,3.5,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.5,Iowa
1996,3.6,3.6,3.6,3.7,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,Iowa
1997,3.5,3.4,3.3,3.3,3.2,3.1,3.1,3.0,3.0,3.0,2.9,2.9,Iowa
1998,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.8,Iowa
1999,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.5,2.5,Iowa
2000,2.5,2.5,2.5,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.9,3.0,Iowa
2001,3.0,3.1,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.6,3.7,3.8,Iowa
2002,3.9,3.9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.1,4.1,Iowa
2003,4.2,4.3,4.4,4.5,4.5,4.6,4.6,4.6,4.5,4.4,4.4,4.4,Iowa
2004,4.4,4.4,4.4,4.5,4.5,4.5,4.6,4.6,4.6,4.6,4.6,4.6,Iowa
2005,4.6,4.5,4.5,4.4,4.3,4.3,4.2,4.2,4.2,4.2,4.1,4.0,Iowa
2006,3.9,3.8,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,Iowa
2007,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.7,3.7,Iowa
2008,3.7,3.7,3.7,3.8,3.9,4.0,4.1,4.2,4.4,4.6,4.9,5.2,Iowa
2009,5.6,6.0,6.3,6.5,6.6,6.6,6.6,6.6,6.5,6.5,6.5,6.5,Iowa
2010,6.5,6.4,6.3,6.2,6.1,6.0,6.0,6.0,6.0,6.0,6.0,5.9,Iowa
2011,5.9,5.8,5.7,5.7,5.7,5.7,5.7,5.7,5.6,5.5,5.5,5.3,Iowa
2012,5.2,5.2,5.1,5.1,5.1,5.1,5.1,5.0,5.0,5.0,4.9,4.9,Iowa
2013,4.9,4.9,4.9,4.9,4.8,4.8,4.7,4.7,4.6,4.5,4.5,4.5,Iowa
2014,4.4,4.4,4.4,4.3,4.3,4.3,4.2,4.2,4.2,4.1,4.0,3.9,Iowa
2015,3.9,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6,Iowa
2016,3.6,3.6,3.6,3.6,3.6,3.7,3.6,3.6,3.6,3.5,3.5,3.4,Iowa
2017,3.3,3.2,3.2,3.1,3.1,3.1,3.1,3.0,3.0,2.9,2.9,2.8,Iowa
2018,2.8,2.7,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.6,Iowa
2019,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.7,2.7,2.7,Iowa
2020,2.7,2.7,2.6,11.0,8.4,6.8,5.9,5.0,4.6,4.3,4.2,4.2,Iowa
2021,4.2,4.2,4.3,4.3,4.3,4.2,4.0,3.8,3.6,3.3,3.1,2.9,Iowa
2022,2.7,2.6,2.5,2.5,2.6,2.7,2.8,3.0,3.1,3.1,3.1,3.0,Iowa
2023,2.9,2.9,2.8,2.8,2.8,2.9,3.0,3.1,3.1,3.1,3.1,3.0,Iowa
