,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,4.8,4.9,4.9,5.0,5.0,5.0,5.0,5.0,4.9,4.9,4.9,5.0,Kansas
1994,5.0,4.9,4.9,4.8,4.7,4.7,4.7,4.7,4.8,4.8,4.7,4.7,Kansas
1995,4.6,4.6,4.5,4.5,4.5,4.4,4.4,4.3,4.2,4.1,4.1,4.1,Kansas
1996,4.1,4.1,4.2,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.2,Kansas
1997,4.2,4.1,4.0,3.9,3.8,3.7,3.7,3.7,3.6,3.6,3.6,3.6,Kansas
1998,3.6,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.8,3.7,3.6,3.5,Kansas
1999,3.5,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.6,Kansas
2000,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.9,3.9,4.0,Kansas
2001,4.0,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.4,4.5,4.7,4.8,Kansas
2002,5.0,5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,Kansas
2003,5.1,5.2,5.3,5.4,5.6,5.7,5.8,5.8,5.7,5.7,5.7,5.6,Kansas
2004,5.6,5.6,5.6,5.6,5.6,5.5,5.5,5.5,5.4,5.4,5.4,5.4,Kansas
2005,5.4,5.3,5.3,5.2,5.1,5.0,5.0,5.0,4.9,4.9,4.9,4.8,Kansas
2006,4.7,4.6,4.5,4.5,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,Kansas
2007,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.3,4.3,4.3,Kansas
2008,4.3,4.2,4.2,4.2,4.3,4.4,4.5,4.7,4.8,5.0,5.2,5.5,Kansas
2009,5.8,6.1,6.5,6.8,7.0,7.2,7.2,7.3,7.2,7.2,7.2,7.2,Kansas
2010,7.2,7.2,7.1,7.0,6.9,6.8,6.8,6.8,6.8,6.9,6.9,6.8,Kansas
2011,6.8,6.7,6.6,6.5,6.4,6.4,6.3,6.3,6.3,6.2,6.1,6.0,Kansas
2012,5.9,5.9,5.8,5.8,5.8,5.7,5.7,5.6,5.6,5.6,5.6,5.6,Kansas
2013,5.6,5.5,5.5,5.4,5.4,5.4,5.3,5.3,5.2,5.1,5.0,4.9,Kansas
2014,4.8,4.7,4.7,4.6,4.6,4.5,4.5,4.4,4.4,4.3,4.3,4.3,Kansas
2015,4.3,4.4,4.4,4.4,4.3,4.2,4.1,4.0,4.0,3.9,3.9,3.9,Kansas
2016,3.9,3.9,3.9,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.1,4.0,Kansas
2017,3.9,3.8,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.4,Kansas
2018,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,Kansas
2019,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,Kansas
2020,3.1,3.1,3.1,12.1,9.1,7.4,6.7,5.8,5.4,4.9,4.7,4.4,Kansas
2021,4.0,3.8,3.7,3.6,3.6,3.5,3.4,3.3,3.1,2.9,2.7,2.6,Kansas
2022,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.7,2.7,2.8,2.8,2.8,Kansas
2023,2.8,2.8,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,Kansas
