,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,6.6,6.5,6.5,6.5,6.4,6.3,6.2,6.1,5.9,5.8,5.8,5.7,Kentucky
1994,5.6,5.6,5.5,5.4,5.4,5.3,5.3,5.3,5.3,5.2,5.2,5.1,Kentucky
1995,5.1,5.1,5.2,5.3,5.4,5.5,5.6,5.6,5.5,5.5,5.5,5.5,Kentucky
1996,5.4,5.4,5.4,5.4,5.3,5.2,5.2,5.2,5.3,5.5,5.6,5.7,Kentucky
1997,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.1,5.0,4.8,4.7,4.6,Kentucky
1998,4.5,4.4,4.4,4.4,4.5,4.5,4.5,4.6,4.6,4.6,4.6,4.5,Kentucky
1999,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.4,4.3,4.3,4.2,Kentucky
2000,4.1,4.0,4.0,4.0,4.0,4.1,4.1,4.2,4.2,4.3,4.3,4.4,Kentucky
2001,4.5,4.6,4.8,4.9,4.9,5.1,5.2,5.4,5.6,5.7,5.9,5.9,Kentucky
2002,5.9,5.9,5.8,5.8,5.7,5.7,5.7,5.7,5.7,5.8,5.9,5.9,Kentucky
2003,6.0,6.1,6.2,6.3,6.4,6.4,6.4,6.3,6.2,6.1,6.0,5.9,Kentucky
2004,5.8,5.7,5.7,5.7,5.6,5.5,5.4,5.3,5.3,5.3,5.3,5.4,Kentucky
2005,5.5,5.6,5.7,5.7,5.8,5.8,5.9,6.0,6.1,6.1,6.2,6.1,Kentucky
2006,6.0,5.9,5.8,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.6,5.5,Kentucky
2007,5.5,5.4,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.4,Kentucky
2008,5.3,5.4,5.5,5.6,5.9,6.1,6.4,6.7,7.1,7.5,8.1,8.7,Kentucky
2009,9.4,10.0,10.6,10.9,11.1,11.2,11.2,11.1,11.0,10.9,10.9,10.9,Kentucky
2010,10.9,10.8,10.7,10.5,10.3,10.1,10.0,10.0,10.0,10.0,10.0,9.9,Kentucky
2011,9.8,9.6,9.5,9.5,9.5,9.5,9.5,9.4,9.3,9.2,9.0,8.7,Kentucky
2012,8.5,8.4,8.2,8.2,8.2,8.2,8.2,8.2,8.1,8.1,8.1,8.0,Kentucky
2013,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.9,7.8,7.7,7.6,Kentucky
2014,7.5,7.3,7.2,7.0,6.7,6.5,6.3,6.0,5.9,5.7,5.5,5.4,Kentucky
2015,5.3,5.3,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,Kentucky
2016,5.2,5.1,5.1,5.0,4.9,4.9,4.9,5.0,5.0,5.1,5.1,5.1,Kentucky
2017,5.1,5.0,5.0,5.0,4.9,4.9,4.8,4.8,4.6,4.5,4.4,4.3,Kentucky
2018,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,Kentucky
2019,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.0,4.0,4.0,Kentucky
2020,4.1,4.1,4.2,16.8,12.8,5.3,5.8,5.2,5.0,4.8,4.8,4.7,Kentucky
2021,4.6,4.6,4.6,4.6,4.5,4.6,4.6,4.5,4.4,4.3,4.2,4.1,Kentucky
2022,4.0,4.0,3.9,3.9,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.1,Kentucky
2023,4.1,4.0,4.0,4.0,4.1,4.1,4.2,4.2,4.3,4.3,4.3,4.3,Kentucky
