,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,7.5,7.4,7.4,7.4,7.3,7.3,7.3,7.4,7.4,7.6,7.7,7.8,Louisiana
1994,7.9,7.9,7.9,7.8,7.7,7.7,7.7,7.6,7.6,7.5,7.3,7.2,Louisiana
1995,7.1,7.1,7.1,7.0,7.0,6.9,6.8,6.7,6.7,6.6,6.7,6.7,Louisiana
1996,6.7,6.7,6.7,6.6,6.5,6.5,6.4,6.4,6.3,6.3,6.2,6.2,Louisiana
1997,6.2,6.1,6.1,6.1,6.1,6.0,5.9,5.8,5.7,5.6,5.5,5.5,Louisiana
1998,5.4,5.4,5.4,5.5,5.6,5.7,5.7,5.7,5.6,5.5,5.4,5.3,Louisiana
1999,5.2,5.1,5.0,4.9,4.9,4.9,5.0,5.0,5.0,4.9,4.9,4.9,Louisiana
2000,4.9,4.9,4.9,5.0,5.0,5.1,5.2,5.2,5.3,5.4,5.4,5.5,Louisiana
2001,5.5,5.5,5.5,5.4,5.3,5.3,5.4,5.5,5.7,5.9,6.1,6.1,Louisiana
2002,6.2,6.1,6.1,6.0,6.0,5.9,5.9,5.9,5.9,5.9,6.0,6.0,Louisiana
2003,6.1,6.2,6.4,6.5,6.6,6.7,6.6,6.4,6.2,6.0,5.9,5.8,Louisiana
2004,5.8,5.8,5.9,5.9,5.8,5.8,5.7,5.6,5.5,5.5,5.5,5.6,Louisiana
2005,5.6,5.6,5.5,5.5,5.5,5.4,5.5,5.6,11.4,11.4,11.3,6.4,Louisiana
2006,4.9,4.6,4.3,4.0,3.9,3.9,3.9,3.9,4.0,4.0,4.1,4.1,Louisiana
2007,4.1,4.2,4.2,4.3,4.3,4.2,4.1,4.0,3.9,3.9,3.9,4.0,Louisiana
2008,4.1,4.1,4.1,4.2,4.3,4.4,4.6,4.8,5.0,5.2,5.5,5.7,Louisiana
2009,6.0,6.2,6.5,6.8,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.1,Louisiana
2010,7.1,7.2,7.3,7.3,7.4,7.4,7.6,7.7,7.8,7.8,7.8,7.8,Louisiana
2011,7.8,7.7,7.6,7.5,7.4,7.4,7.4,7.3,7.3,7.3,7.3,7.2,Louisiana
2012,7.1,7.1,7.0,7.0,6.9,6.8,6.7,6.6,6.5,6.4,6.5,6.6,Louisiana
2013,6.7,6.8,6.8,6.7,6.7,6.6,6.5,6.4,6.2,6.0,5.9,5.7,Louisiana
2014,5.6,5.6,5.7,5.8,6.0,6.2,6.4,6.6,6.7,6.8,6.8,6.8,Louisiana
2015,6.8,6.7,6.6,6.5,6.4,6.3,6.1,6.1,6.0,6.0,6.0,6.0,Louisiana
2016,6.0,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.0,5.9,Louisiana
2017,5.8,5.7,5.5,5.4,5.2,5.1,4.9,4.8,4.8,4.7,4.7,4.7,Louisiana
2018,4.7,4.7,4.8,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.8,Louisiana
2019,4.7,4.6,4.5,4.4,4.4,4.4,4.6,4.7,4.8,4.8,4.8,4.8,Louisiana
2020,4.8,4.7,6.7,13.5,12.3,11.0,10.4,9.2,8.7,8.0,7.6,7.4,Louisiana
2021,7.0,6.8,6.6,6.4,6.1,5.9,5.5,5.2,4.8,4.5,4.3,4.1,Louisiana
2022,4.0,3.8,3.7,3.6,3.6,3.5,3.5,3.5,3.6,3.6,3.6,3.6,Louisiana
2023,3.7,3.6,3.5,3.4,3.4,3.3,3.4,3.6,3.8,4.0,4.0,4.0,Louisiana
