,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,6.9,6.8,6.7,6.7,6.8,6.8,6.9,6.9,6.9,6.8,6.8,6.8,Maine
1994,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.4,6.2,6.1,Maine
1995,6.0,5.9,5.9,5.9,6.0,6.0,6.0,5.9,5.8,5.8,5.7,5.6,Maine
1996,5.5,5.5,5.5,5.5,5.4,5.3,5.3,5.2,5.1,5.1,5.2,5.3,Maine
1997,5.4,5.4,5.5,5.4,5.3,5.2,5.1,5.0,5.0,5.0,5.0,5.0,Maine
1998,4.9,4.8,4.6,4.5,4.4,4.4,4.4,4.5,4.4,4.3,4.2,4.1,Maine
1999,4.0,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.0,4.0,3.9,3.8,Maine
2000,3.7,3.6,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,Maine
2001,3.2,3.3,3.4,3.6,3.7,3.7,3.8,3.9,4.0,4.1,4.1,4.2,Maine
2002,4.2,4.3,4.3,4.3,4.4,4.4,4.4,4.5,4.5,4.6,4.7,4.9,Maine
2003,5.0,5.1,5.2,5.2,5.3,5.3,5.3,5.2,5.2,5.1,5.0,4.9,Maine
2004,4.8,4.8,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.7,4.7,Maine
2005,4.8,4.9,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.9,4.9,4.8,Maine
2006,4.7,4.6,4.6,4.6,4.6,4.7,4.8,4.8,4.9,4.8,4.8,4.7,Maine
2007,4.6,4.6,4.6,4.6,4.6,4.7,4.7,4.8,4.8,4.8,4.8,4.7,Maine
2008,4.6,4.6,4.7,4.8,4.9,5.1,5.3,5.5,5.7,6.1,6.5,7.0,Maine
2009,7.5,7.9,8.3,8.5,8.5,8.6,8.5,8.5,8.5,8.6,8.6,8.7,Maine
2010,8.7,8.7,8.7,8.6,8.5,8.3,8.3,8.3,8.3,8.3,8.2,8.1,Maine
2011,8.1,8.0,7.9,7.8,7.8,7.8,7.8,7.7,7.6,7.5,7.4,7.3,Maine
2012,7.2,7.2,7.2,7.2,7.3,7.3,7.2,7.2,7.2,7.1,7.1,7.1,Maine
2013,7.1,7.0,7.0,6.9,6.8,6.7,6.7,6.6,6.5,6.4,6.3,6.2,Maine
2014,6.1,6.0,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.2,5.0,Maine
2015,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.1,4.0,4.0,Maine
2016,4.0,3.9,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.5,Maine
2017,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.2,3.1,Maine
2018,3.1,3.0,3.0,3.0,3.1,3.2,3.3,3.3,3.3,3.3,3.3,3.2,Maine
2019,3.1,3.0,2.9,2.8,2.7,2.7,2.8,2.8,2.9,3.0,3.1,3.1,Maine
2020,3.2,3.2,3.2,9.3,9.5,6.6,6.3,4.2,4.0,3.8,3.9,4.2,Maine
2021,4.4,4.7,4.9,5.1,5.0,5.1,4.9,4.8,4.6,4.4,4.2,3.9,Maine
2022,3.7,3.3,3.0,2.8,2.7,2.6,2.6,2.5,2.7,2.8,2.8,2.7,Maine
2023,2.5,2.4,2.4,2.4,2.5,2.6,2.8,3.0,3.2,3.4,3.4,3.4,Maine
