,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.0,5.9,5.8,5.8,5.7,Maryland
1994,5.6,5.5,5.4,5.3,5.3,5.2,5.2,5.1,5.1,5.0,4.9,4.8,Maryland
1995,4.8,4.8,4.8,4.9,5.0,5.0,5.0,5.1,5.1,5.1,5.1,5.1,Maryland
1996,5.2,5.1,5.1,5.1,5.0,4.9,4.8,4.8,4.8,4.8,4.8,4.8,Maryland
1997,4.9,4.9,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.7,Maryland
1998,4.6,4.5,4.5,4.4,4.4,4.3,4.3,4.2,4.1,4.0,3.9,3.7,Maryland
1999,3.7,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.3,Maryland
2000,3.3,3.3,3.4,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,Maryland
2001,3.6,3.7,3.7,3.8,3.9,4.0,4.2,4.4,4.6,4.7,4.9,5.0,Maryland
2002,5.0,5.0,5.0,4.9,4.9,4.8,4.7,4.6,4.6,4.6,4.6,4.6,Maryland
2003,4.7,4.8,4.8,4.9,4.9,4.9,4.9,4.8,4.8,4.7,4.7,4.7,Maryland
2004,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.7,4.7,Maryland
2005,4.7,4.7,4.7,4.7,4.6,4.5,4.4,4.4,4.4,4.3,4.2,4.1,Maryland
2006,4.1,4.0,4.0,4.1,4.2,4.3,4.3,4.3,4.3,4.2,4.2,4.1,Maryland
2007,4.0,3.9,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,Maryland
2008,3.6,3.6,3.7,3.8,4.0,4.2,4.5,4.7,5.0,5.3,5.7,6.2,Maryland
2009,6.6,7.0,7.3,7.5,7.6,7.7,7.7,7.7,7.8,7.8,7.9,8.0,Maryland
2010,8.1,8.1,8.0,7.9,7.9,7.8,7.7,7.7,7.7,7.7,7.7,7.6,Maryland
2011,7.5,7.4,7.4,7.3,7.4,7.4,7.4,7.4,7.3,7.2,7.1,7.0,Maryland
2012,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.8,6.8,6.8,6.8,Maryland
2013,6.8,6.8,6.7,6.7,6.6,6.6,6.5,6.5,6.4,6.3,6.2,6.1,Maryland
2014,6.1,6.0,5.9,5.9,5.8,5.8,5.7,5.6,5.6,5.5,5.5,5.4,Maryland
2015,5.4,5.3,5.3,5.2,5.1,5.0,4.9,4.9,4.8,4.7,4.7,4.6,Maryland
2016,4.5,4.4,4.3,4.3,4.3,4.3,4.2,4.2,4.3,4.3,4.2,4.2,Maryland
2017,4.1,4.0,4.0,3.9,3.9,3.9,4.0,4.0,4.0,4.1,4.1,4.0,Maryland
2018,4.1,4.0,4.0,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,Maryland
2019,3.6,3.5,3.5,3.4,3.4,3.3,3.4,3.4,3.3,3.3,3.2,3.2,Maryland
2020,3.3,3.4,3.4,9.0,8.8,8.1,7.8,7.1,7.0,6.6,6.5,6.6,Maryland
2021,6.3,6.2,6.1,5.9,5.7,5.7,5.3,5.1,4.6,4.3,3.9,3.6,Maryland
2022,3.5,3.3,3.1,3.0,3.0,3.0,3.0,3.0,2.9,2.8,2.7,2.5,Maryland
2023,2.4,2.2,2.0,1.9,1.9,1.9,1.9,2.1,2.2,2.3,2.2,2.2,Maryland
