,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,8.2,8.0,7.8,7.6,7.4,7.3,7.2,7.0,6.9,6.8,6.7,6.7,Massachusetts
1994,6.6,6.6,6.5,6.4,6.3,6.3,6.2,6.1,6.1,6.0,5.9,5.8,Massachusetts
1995,5.7,5.6,5.6,5.6,5.6,5.6,5.5,5.4,5.3,5.3,5.2,5.1,Massachusetts
1996,5.0,4.9,4.9,4.8,4.7,4.6,4.5,4.4,4.4,4.4,4.4,4.4,Massachusetts
1997,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4.0,3.9,3.8,3.7,3.7,Massachusetts
1998,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,Massachusetts
1999,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,Massachusetts
2000,3.1,3.0,2.9,2.9,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.8,Massachusetts
2001,2.9,3.1,3.2,3.4,3.5,3.6,3.8,4.0,4.2,4.4,4.6,4.7,Massachusetts
2002,4.9,5.0,5.0,5.1,5.2,5.2,5.2,5.3,5.3,5.4,5.5,5.5,Massachusetts
2003,5.6,5.7,5.7,5.8,5.8,5.9,5.9,5.8,5.8,5.7,5.6,5.5,Massachusetts
2004,5.4,5.4,5.3,5.2,5.2,5.1,5.1,5.0,4.9,4.9,4.9,4.9,Massachusetts
2005,4.9,4.9,4.8,4.8,4.8,4.7,4.7,4.8,4.8,4.8,4.8,4.8,Massachusetts
2006,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,Massachusetts
2007,4.6,4.6,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,Massachusetts
2008,4.5,4.6,4.6,4.8,4.9,5.1,5.3,5.5,5.7,6.0,6.3,6.7,Massachusetts
2009,7.0,7.4,7.7,7.9,8.1,8.2,8.3,8.4,8.4,8.5,8.5,8.5,Massachusetts
2010,8.5,8.4,8.4,8.3,8.1,8.0,7.9,7.9,7.9,7.8,7.8,7.7,Massachusetts
2011,7.6,7.5,7.4,7.4,7.3,7.3,7.2,7.2,7.1,7.0,6.9,6.8,Massachusetts
2012,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,Massachusetts
2013,6.7,6.8,6.8,6.8,6.7,6.7,6.7,6.7,6.6,6.5,6.4,6.3,Massachusetts
2014,6.2,6.1,6.0,5.9,5.9,5.8,5.7,5.6,5.6,5.5,5.4,5.2,Massachusetts
2015,5.2,5.1,5.0,5.0,4.9,4.8,4.7,4.7,4.6,4.6,4.5,4.4,Massachusetts
2016,4.4,4.3,4.2,4.1,4.1,4.0,3.9,3.9,3.9,3.9,3.9,3.9,Massachusetts
2017,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,Massachusetts
2018,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.3,Massachusetts
2019,3.2,3.2,3.1,3.1,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,Massachusetts
2020,3.0,3.0,3.0,17.4,14.9,14.5,12.6,10.4,9.7,8.5,7.9,7.6,Massachusetts
2021,6.9,6.5,6.2,6.1,5.7,5.7,5.3,5.1,4.7,4.5,4.2,3.9,Massachusetts
2022,3.9,3.8,3.6,3.6,3.7,3.6,3.6,3.7,3.6,3.7,3.6,3.5,Massachusetts
2023,3.5,3.6,3.5,3.2,3.3,3.3,3.2,3.3,3.3,3.4,3.3,3.2,Massachusetts
