,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,7.6,7.5,7.4,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,Michigan
1994,7.2,7.0,6.7,6.5,6.2,6.0,5.9,5.8,5.7,5.5,5.3,5.2,Michigan
1995,5.2,5.3,5.4,5.6,5.6,5.6,5.5,5.3,5.2,5.1,5.0,5.0,Michigan
1996,4.9,4.9,5.0,5.0,5.0,5.0,4.9,4.9,4.8,4.8,4.8,4.7,Michigan
1997,4.7,4.6,4.4,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,Michigan
1998,4.0,3.9,3.8,3.8,3.8,3.8,4.7,3.9,4.0,4.0,4.0,4.0,Michigan
1999,4.0,4.0,4.0,3.9,3.8,3.7,3.7,3.7,3.6,3.6,3.5,3.4,Michigan
2000,3.3,3.2,3.3,3.4,3.5,3.7,3.8,3.9,3.9,4.0,4.1,4.2,Michigan
2001,4.4,4.6,4.7,4.8,4.8,4.9,5.0,5.2,5.5,5.8,6.0,6.2,Michigan
2002,6.3,6.3,6.3,6.3,6.3,6.2,6.1,6.0,6.0,6.0,6.2,6.3,Michigan
2003,6.5,6.8,7.0,7.2,7.3,7.4,7.4,7.4,7.3,7.1,6.9,6.8,Michigan
2004,6.7,6.7,6.7,6.8,6.9,6.9,7.0,7.0,7.1,7.2,7.2,7.2,Michigan
2005,7.2,7.1,7.0,6.9,6.8,6.7,6.6,6.6,6.6,6.6,6.7,6.7,Michigan
2006,6.8,6.9,6.9,7.0,7.0,7.1,7.1,7.1,7.2,7.2,7.1,7.0,Michigan
2007,7.0,6.9,6.9,6.9,6.9,7.0,7.1,7.2,7.3,7.3,7.3,7.2,Michigan
2008,7.2,7.2,7.3,7.4,7.6,7.9,8.1,8.4,8.7,9.1,9.6,10.1,Michigan
2009,10.9,11.8,12.5,13.1,13.6,14.0,14.0,13.8,13.7,13.5,13.4,13.3,Michigan
2010,13.2,13.1,12.9,12.7,12.5,12.4,12.3,12.0,11.7,11.5,11.2,10.8,Michigan
2011,10.5,10.4,9.9,10.0,10.1,10.2,10.2,10.1,9.9,9.8,9.6,9.4,Michigan
2012,9.2,9.1,9.1,9.1,9.1,9.1,9.0,9.0,9.0,9.0,9.0,9.0,Michigan
2013,9.0,9.0,8.9,8.9,8.8,8.8,8.8,8.8,8.6,8.5,8.4,8.2,Michigan
2014,8.1,8.0,7.9,7.7,7.5,7.4,7.2,7.0,6.8,6.6,6.4,6.2,Michigan
2015,6.0,5.9,5.8,5.7,5.6,5.5,5.4,5.2,5.1,5.0,5.0,4.9,Michigan
2016,4.9,4.9,5.0,5.0,5.0,5.0,5.0,5.0,5.1,5.1,5.1,5.0,Michigan
2017,4.8,4.7,4.5,4.3,4.3,4.4,4.5,4.6,4.7,4.8,4.7,4.6,Michigan
2018,4.5,4.4,4.3,4.1,4.0,4.0,4.0,4.0,4.1,4.1,4.2,4.2,Michigan
2019,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.0,3.9,3.8,3.7,Michigan
2020,3.7,3.7,3.7,22.6,19.2,14.5,12.5,10.0,8.9,7.7,7.1,7.0,Michigan
2021,6.5,6.3,6.2,6.2,6.2,6.2,6.0,5.8,5.4,5.1,4.8,4.5,Michigan
2022,4.4,4.3,4.2,4.1,4.0,4.0,4.0,4.0,4.1,4.2,4.2,4.1,Michigan
2023,4.0,3.8,3.7,3.6,3.6,3.7,3.8,4.0,4.1,4.2,4.1,4.1,Michigan
