,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,5.0,5.0,5.0,5.0,5.0,4.9,4.9,4.8,4.7,4.6,4.6,4.6,Minnesota
1994,4.5,4.4,4.3,4.1,4.0,3.9,3.9,3.9,3.9,3.8,3.8,3.7,Minnesota
1995,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.7,3.7,Minnesota
1996,3.8,3.8,3.9,3.9,3.9,3.9,3.8,3.8,3.7,3.7,3.6,3.6,Minnesota
1997,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.1,3.1,3.0,3.0,2.9,Minnesota
1998,2.8,2.8,2.7,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.6,Minnesota
1999,2.6,2.5,2.5,2.6,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,Minnesota
2000,2.9,2.9,2.9,2.9,2.9,3.0,3.0,3.1,3.2,3.2,3.2,3.2,Minnesota
2001,3.3,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.3,4.4,Minnesota
2002,4.6,4.6,4.6,4.6,4.6,4.5,4.4,4.3,4.3,4.3,4.4,4.4,Minnesota
2003,4.5,4.5,4.6,4.7,4.8,4.9,4.9,5.0,4.9,4.9,4.9,4.8,Minnesota
2004,4.8,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.5,4.4,4.4,4.3,Minnesota
2005,4.3,4.2,4.2,4.1,4.1,4.0,4.0,4.0,4.0,4.1,4.1,4.1,Minnesota
2006,4.1,4.1,4.0,3.9,3.9,3.9,3.9,4.0,4.1,4.2,4.3,4.3,Minnesota
2007,4.4,4.4,4.4,4.4,4.5,4.6,4.6,4.7,4.7,4.8,4.8,4.7,Minnesota
2008,4.7,4.7,4.8,4.9,5.1,5.3,5.4,5.6,5.7,6.0,6.3,6.7,Minnesota
2009,7.2,7.6,7.9,8.1,8.2,8.2,8.1,8.0,8.0,7.9,7.9,7.8,Minnesota
2010,7.8,7.7,7.6,7.5,7.4,7.3,7.2,7.3,7.3,7.3,7.2,7.1,Minnesota
2011,6.9,6.8,6.7,6.7,6.7,6.7,6.7,6.6,6.4,6.2,6.0,5.9,Minnesota
2012,5.8,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.6,5.6,5.5,5.4,Minnesota
2013,5.4,5.3,5.2,5.2,5.1,5.1,5.0,5.0,4.9,4.8,4.8,4.7,Minnesota
2014,4.7,4.6,4.6,4.5,4.4,4.3,4.2,4.1,4.0,4.0,3.9,3.9,Minnesota
2015,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.8,3.8,Minnesota
2016,3.8,3.8,3.8,3.8,3.8,3.8,3.9,3.9,4.0,4.0,4.0,3.9,Minnesota
2017,3.8,3.7,3.6,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.3,3.3,Minnesota
2018,3.1,3.1,3.0,3.0,2.9,2.9,2.9,2.9,3.0,3.1,3.2,3.2,Minnesota
2019,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.4,Minnesota
2020,3.4,3.5,3.6,8.9,11.2,8.9,7.9,6.7,6.1,5.4,5.0,4.8,Minnesota
2021,4.4,4.2,4.1,4.0,3.9,3.8,3.7,3.6,3.4,3.3,3.1,2.9,Minnesota
2022,2.7,2.5,2.4,2.3,2.3,2.3,2.4,2.5,2.7,2.7,2.8,2.8,Minnesota
2023,2.8,2.8,2.8,2.8,2.9,2.9,3.0,2.9,2.8,2.8,2.7,2.7,Minnesota
