,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,7.2,7.1,7.0,6.9,6.8,6.7,6.6,6.5,6.5,6.5,6.5,6.5,Mississippi
1994,6.5,6.5,6.5,6.5,6.4,6.3,6.2,6.2,6.2,6.1,6.1,6.0,Mississippi
1995,6.0,6.0,6.0,6.1,6.2,6.3,6.3,6.4,6.3,6.3,6.3,6.2,Mississippi
1996,6.2,6.2,6.2,6.2,6.1,6.0,5.9,5.8,5.8,5.8,5.8,5.9,Mississippi
1997,5.9,5.8,5.8,5.7,5.7,5.7,5.7,5.7,5.7,5.6,5.6,5.5,Mississippi
1998,5.4,5.3,5.3,5.3,5.3,5.3,5.3,5.2,5.2,5.2,5.1,5.0,Mississippi
1999,5.0,4.9,4.9,4.9,5.0,5.1,5.1,5.2,5.2,5.3,5.3,5.4,Mississippi
2000,5.4,5.5,5.5,5.5,5.5,5.5,5.4,5.3,5.2,5.1,5.0,5.0,Mississippi
2001,5.0,5.1,5.1,5.1,5.1,5.2,5.3,5.5,5.8,6.0,6.3,6.4,Mississippi
2002,6.5,6.6,6.6,6.5,6.5,6.4,6.3,6.3,6.3,6.3,6.4,6.4,Mississippi
2003,6.4,6.4,6.4,6.4,6.4,6.3,6.2,6.1,5.9,5.8,5.7,5.7,Mississippi
2004,5.7,5.7,5.8,5.9,6.0,6.1,6.2,6.3,6.4,6.5,6.6,6.7,Mississippi
2005,6.8,6.9,7.0,7.0,7.1,7.1,7.2,7.2,9.8,9.0,8.6,7.5,Mississippi
2006,6.9,6.6,6.3,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.4,Mississippi
2007,6.4,6.4,6.3,6.3,6.2,6.1,6.1,6.0,6.0,6.0,6.0,6.0,Mississippi
2008,6.0,6.1,6.1,6.3,6.4,6.6,6.8,6.9,7.0,7.2,7.4,7.7,Mississippi
2009,8.1,8.5,8.8,9.0,9.2,9.3,9.4,9.6,9.8,10.0,10.2,10.4,Mississippi
2010,10.5,10.5,10.4,10.4,10.3,9.9,9.8,9.8,9.8,9.8,9.9,9.9,Mississippi
2011,9.9,9.8,9.8,9.9,9.9,9.9,9.9,9.9,9.8,9.7,9.5,9.3,Mississippi
2012,9.1,9.0,8.9,8.9,8.9,8.9,8.8,8.8,8.7,8.7,8.6,8.6,Mississippi
2013,8.7,8.7,8.7,8.7,8.6,8.5,8.5,8.5,8.4,8.3,8.2,8.1,Mississippi
2014,8.1,8.0,7.9,7.9,7.8,7.7,7.6,7.5,7.4,7.2,7.1,6.9,Mississippi
2015,6.8,6.7,6.7,6.6,6.5,6.4,6.3,6.3,6.3,6.4,6.4,6.4,Mississippi
2016,6.3,6.2,6.1,6.0,6.0,5.9,5.9,5.9,5.9,5.9,5.8,5.7,Mississippi
2017,5.6,5.5,5.4,5.4,5.3,5.3,5.2,5.2,5.1,5.0,4.9,4.9,Mississippi
2018,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,4.9,5.1,5.2,5.3,Mississippi
2019,5.4,5.4,5.4,5.4,5.4,5.5,5.6,5.7,5.6,5.6,5.5,5.5,Mississippi
2020,5.6,5.8,5.9,15.6,11.2,9.4,8.3,7.4,7.1,6.8,6.7,6.6,Mississippi
2021,6.5,6.3,6.2,6.1,5.9,5.7,5.5,5.2,4.9,4.6,4.4,4.2,Mississippi
2022,4.1,3.9,3.8,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.6,Mississippi
2023,3.5,3.3,3.2,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,Mississippi
