,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,6.2,6.3,6.3,6.4,6.4,6.3,6.3,6.3,6.2,6.1,6.0,5.9,Missouri
1994,5.7,5.6,5.4,5.3,5.1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Missouri
1995,5.0,5.0,5.0,5.0,5.0,4.9,4.9,4.8,4.7,4.6,4.5,4.5,Missouri
1996,4.5,4.6,4.7,4.7,4.8,4.7,4.7,4.7,4.7,4.8,4.8,4.8,Missouri
1997,4.7,4.6,4.4,4.3,4.2,4.2,4.2,4.3,4.3,4.3,4.3,4.4,Missouri
1998,4.4,4.4,4.3,4.3,4.3,4.2,4.1,4.0,3.8,3.7,3.5,3.4,Missouri
1999,3.3,3.2,3.3,3.3,3.4,3.4,3.3,3.3,3.2,3.1,3.0,3.0,Missouri
2000,3.0,3.0,3.1,3.1,3.2,3.3,3.4,3.5,3.6,3.8,3.9,4.1,Missouri
2001,4.2,4.2,4.2,4.2,4.2,4.3,4.4,4.5,4.7,4.9,5.0,5.1,Missouri
2002,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,Missouri
2003,5.4,5.5,5.5,5.6,5.7,5.8,5.9,5.8,5.8,5.7,5.6,5.6,Missouri
2004,5.6,5.6,5.7,5.8,5.9,5.9,6.0,6.0,6.0,6.0,6.0,6.0,Missouri
2005,6.0,5.9,5.8,5.7,5.5,5.4,5.2,5.1,5.1,5.1,5.0,5.0,Missouri
2006,4.9,4.9,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.9,4.9,4.9,Missouri
2007,4.8,4.8,4.8,4.9,4.9,5.0,5.1,5.2,5.3,5.4,5.4,5.4,Missouri
2008,5.4,5.4,5.5,5.6,5.8,6.0,6.2,6.4,6.6,6.9,7.2,7.6,Missouri
2009,8.0,8.3,8.6,8.9,9.0,9.1,9.2,9.3,9.4,9.4,9.5,9.6,Missouri
2010,9.7,9.7,9.6,9.6,9.5,9.4,9.4,9.4,9.4,9.5,9.5,9.4,Missouri
2011,9.3,9.2,9.0,8.9,8.8,8.8,8.7,8.6,8.4,8.2,8.0,7.8,Missouri
2012,7.6,7.5,7.4,7.3,7.2,7.2,7.1,7.0,7.0,7.0,7.0,7.0,Missouri
2013,6.9,6.9,6.9,6.9,6.8,6.8,6.8,6.8,6.7,6.6,6.6,6.6,Missouri
2014,6.6,6.6,6.5,6.4,6.3,6.2,6.1,6.0,5.9,5.8,5.7,5.7,Missouri
2015,5.6,5.6,5.6,5.5,5.3,5.2,5.0,4.9,4.8,4.7,4.6,4.5,Missouri
2016,4.5,4.4,4.4,4.5,4.6,4.7,4.7,4.7,4.7,4.6,4.5,4.3,Missouri
2017,4.2,4.1,3.9,3.8,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.5,Missouri
2018,3.6,3.5,3.4,3.3,3.2,3.1,3.1,3.0,3.1,3.1,3.2,3.3,Missouri
2019,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3.2,3.3,3.4,3.4,3.4,Missouri
2020,3.4,3.4,3.5,11.6,9.6,8.0,7.2,6.4,5.9,5.4,5.2,5.0,Missouri
2021,4.9,4.8,4.8,4.7,4.5,4.3,4.1,3.9,3.7,3.5,3.3,3.2,Missouri
2022,3.0,2.7,2.5,2.4,2.3,2.3,2.4,2.5,2.7,2.8,2.8,2.8,Missouri
2023,2.8,2.8,2.8,2.9,2.9,3.0,3.1,3.2,3.3,3.3,3.3,3.3,Missouri
