,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,6.4,6.3,6.3,6.3,6.2,6.2,6.2,6.1,6.0,5.9,5.8,5.7,Montana
1994,5.7,5.6,5.5,5.5,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5,Montana
1995,5.5,5.5,5.6,5.6,5.7,5.8,5.8,5.8,5.8,5.8,5.8,5.8,Montana
1996,5.8,5.8,5.7,5.7,5.6,5.5,5.5,5.4,5.4,5.4,5.4,5.5,Montana
1997,5.5,5.6,5.6,5.6,5.5,5.5,5.5,5.4,5.4,5.4,5.5,5.5,Montana
1998,5.5,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.7,5.7,5.6,5.6,Montana
1999,5.5,5.5,5.4,5.4,5.4,5.4,5.3,5.3,5.2,5.2,5.1,5.0,Montana
2000,5.0,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.7,4.7,4.6,Montana
2001,4.6,4.6,4.6,4.6,4.6,4.5,4.6,4.6,4.6,4.6,4.7,4.7,Montana
2002,4.7,4.7,4.7,4.7,4.6,4.5,4.5,4.4,4.4,4.4,4.5,4.5,Montana
2003,4.6,4.6,4.7,4.7,4.7,4.8,4.8,4.8,4.8,4.8,4.8,4.8,Montana
2004,4.7,4.7,4.6,4.6,4.6,4.5,4.5,4.4,4.4,4.4,4.4,4.3,Montana
2005,4.3,4.3,4.3,4.2,4.1,4.1,4.1,4.0,4.0,3.9,3.8,3.7,Montana
2006,3.6,3.5,3.5,3.4,3.4,3.4,3.4,3.3,3.3,3.2,3.1,3.0,Montana
2007,2.9,2.8,2.9,3.0,3.2,3.3,3.5,3.6,3.7,3.8,3.8,3.8,Montana
2008,3.8,3.9,4.0,4.1,4.3,4.5,4.7,4.9,5.1,5.4,5.8,6.2,Montana
2009,6.6,6.9,7.1,7.2,7.2,7.2,7.1,7.1,7.1,7.2,7.3,7.4,Montana
2010,7.5,7.5,7.4,7.4,7.2,7.1,7.0,7.0,7.0,7.0,7.1,7.0,Montana
2011,7.0,6.9,6.8,6.8,6.7,6.7,6.7,6.6,6.5,6.4,6.3,6.1,Montana
2012,6.0,5.9,5.9,5.9,5.9,5.9,5.9,5.8,5.7,5.6,5.6,5.5,Montana
2013,5.5,5.5,5.5,5.5,5.4,5.4,5.4,5.3,5.3,5.2,5.1,5.0,Montana
2014,5.0,4.9,4.8,4.7,4.7,4.7,4.6,4.6,4.6,4.5,4.5,4.4,Montana
2015,4.3,4.3,4.3,4.2,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,Montana
2016,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.2,4.2,Montana
2017,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.0,4.0,Montana
2018,4.0,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,Montana
2019,3.6,3.6,3.5,3.5,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,Montana
2020,3.6,3.5,3.5,12.0,9.2,7.6,6.7,5.6,5.2,4.6,4.4,4.2,Montana
2021,4.0,3.9,3.8,3.7,3.6,3.5,3.4,3.3,3.1,3.0,2.8,2.7,Montana
2022,2.7,2.6,2.6,2.7,2.7,2.7,2.8,2.8,2.7,2.7,2.6,2.6,Montana
2023,2.5,2.5,2.5,2.6,2.6,2.7,2.8,3.0,3.2,3.3,3.3,3.3,Montana
