,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,2.9,2.9,2.9,2.9,2.9,2.8,2.7,2.7,2.6,2.6,2.6,2.7,Nebraska
1994,2.7,2.7,2.7,2.7,2.6,2.6,2.5,2.6,2.6,2.6,2.6,2.5,Nebraska
1995,2.5,2.5,2.5,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,Nebraska
1996,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,Nebraska
1997,2.6,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,Nebraska
1998,2.3,2.3,2.4,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.7,2.7,Nebraska
1999,2.6,2.6,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.7,2.7,2.7,Nebraska
2000,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,Nebraska
2001,2.9,2.9,3.0,3.0,3.0,3.0,3.1,3.2,3.3,3.4,3.5,3.5,Nebraska
2002,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.7,3.7,3.7,Nebraska
2003,3.8,3.8,3.9,4.0,4.0,4.0,4.1,4.0,4.0,3.9,3.9,3.9,Nebraska
2004,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.0,Nebraska
2005,4.0,4.0,4.0,3.9,3.8,3.8,3.7,3.7,3.7,3.6,3.5,3.4,Nebraska
2006,3.3,3.2,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,Nebraska
2007,2.9,2.8,2.8,2.8,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.0,Nebraska
2008,2.9,2.9,3.0,3.0,3.1,3.2,3.2,3.3,3.4,3.5,3.7,3.9,Nebraska
2009,4.1,4.3,4.5,4.6,4.7,4.7,4.8,4.8,4.8,4.8,4.9,4.9,Nebraska
2010,4.9,4.9,4.9,4.8,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,Nebraska
2011,4.6,4.6,4.5,4.5,4.5,4.4,4.4,4.4,4.3,4.3,4.2,4.1,Nebraska
2012,4.1,4.0,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,Nebraska
2013,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.6,3.5,3.5,3.5,Nebraska
2014,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3.0,3.0,Nebraska
2015,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Nebraska
2016,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.2,3.1,3.1,Nebraska
2017,3.1,3.0,3.0,2.9,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.0,Nebraska
2018,2.9,2.9,2.9,2.9,2.8,2.9,2.9,2.9,2.9,3.0,3.0,3.1,Nebraska
2019,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.1,3.1,Nebraska
2020,3.0,3.0,4.4,8.2,6.4,5.2,4.6,3.9,3.5,3.1,3.0,3.0,Nebraska
2021,2.9,2.9,2.9,2.8,2.7,2.7,2.6,2.5,2.4,2.3,2.2,2.1,Nebraska
2022,2.0,2.0,1.9,1.9,2.0,2.1,2.2,2.3,2.4,2.4,2.3,2.2,Nebraska
2023,2.1,2.1,2.0,2.0,2.1,2.2,2.3,2.4,2.5,2.5,2.5,2.5,Nebraska
