,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,6.9,7.0,7.0,7.0,7.1,7.1,7.0,6.9,6.8,6.7,6.7,6.6,Nevada
1994,6.5,6.5,6.4,6.4,6.3,6.2,6.2,6.2,6.2,6.1,6.0,5.9,Nevada
1995,5.8,5.8,5.7,5.7,5.6,5.6,5.5,5.5,5.5,5.4,5.4,5.3,Nevada
1996,5.3,5.3,5.2,5.2,5.1,5.1,5.0,5.0,4.9,4.9,4.9,4.8,Nevada
1997,4.7,4.6,4.5,4.4,4.4,4.3,4.3,4.3,4.2,4.2,4.3,4.3,Nevada
1998,4.3,4.4,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4.0,3.9,3.9,Nevada
1999,3.8,3.8,3.9,3.9,4.0,4.1,4.1,4.1,4.1,4.0,3.9,3.9,Nevada
2000,3.9,3.9,3.9,4.0,4.0,4.0,4.1,4.2,4.2,4.3,4.4,4.5,Nevada
2001,4.6,4.7,4.8,4.9,4.9,5.0,5.2,5.3,5.5,5.7,5.8,5.9,Nevada
2002,5.9,5.9,5.9,5.8,5.8,5.7,5.6,5.6,5.5,5.5,5.5,5.5,Nevada
2003,5.5,5.4,5.4,5.4,5.4,5.4,5.4,5.3,5.2,5.1,5.0,4.9,Nevada
2004,4.8,4.7,4.6,4.6,4.5,4.4,4.4,4.3,4.3,4.3,4.3,4.3,Nevada
2005,4.3,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.0,4.0,Nevada
2006,4.0,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,Nevada
2007,4.1,4.2,4.2,4.3,4.4,4.5,4.6,4.7,4.8,5.0,5.1,5.2,Nevada
2008,5.3,5.5,5.7,5.9,6.2,6.5,6.8,7.2,7.6,8.1,8.6,9.2,Nevada
2009,9.7,10.2,10.7,11.1,11.4,11.7,12.0,12.3,12.5,12.8,13.0,13.3,Nevada
2010,13.5,13.6,13.7,13.8,13.7,13.7,13.7,13.7,13.8,13.9,13.9,13.8,Nevada
2011,13.7,13.6,13.5,13.5,13.4,13.5,13.4,13.4,13.3,13.1,12.8,12.6,Nevada
2012,12.3,12.2,12.1,12.0,11.9,11.8,11.6,11.4,11.2,11.1,10.9,10.8,Nevada
2013,10.7,10.6,10.5,10.4,10.2,10.1,9.9,9.8,9.6,9.4,9.3,9.1,Nevada
2014,8.9,8.8,8.6,8.5,8.3,8.2,8.1,7.9,7.8,7.7,7.6,7.5,Nevada
2015,7.4,7.3,7.2,7.1,7.0,6.9,6.8,6.7,6.6,6.5,6.4,6.3,Nevada
2016,6.2,6.2,6.1,6.0,5.9,5.8,5.7,5.7,5.6,5.6,5.5,5.4,Nevada
2017,5.4,5.3,5.2,5.1,5.0,4.9,4.8,4.8,4.8,4.8,4.8,4.9,Nevada
2018,4.7,4.6,4.6,4.5,4.4,4.3,4.2,4.2,4.2,4.3,4.3,4.3,Nevada
2019,4.3,4.3,4.2,4.2,4.1,4.1,4.0,4.1,4.1,4.1,4.1,4.2,Nevada
2020,4.2,4.4,7.3,30.6,24.7,18.9,16.7,13.9,12.7,11.2,10.3,9.7,Nevada
2021,8.9,8.5,8.0,7.6,7.2,6.9,6.5,6.2,5.9,5.6,5.4,5.3,Nevada
2022,5.2,5.2,5.1,5.1,5.1,5.1,5.2,5.2,5.3,5.3,5.3,5.3,Nevada
2023,5.2,5.2,5.1,5.0,5.0,5.0,5.0,5.1,5.2,5.3,5.3,5.3,Nevada
