,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,7.2,7.0,6.8,6.5,6.3,6.1,5.9,5.8,5.6,5.5,5.3,5.2,New Hampshire
1994,5.0,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.1,4.1,New Hampshire
1995,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.8,3.7,3.7,3.6,3.6,New Hampshire
1996,3.6,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,New Hampshire
1997,3.6,3.6,3.6,3.5,3.5,3.4,3.4,3.3,3.2,3.2,3.1,3.0,New Hampshire
1998,3.0,2.9,2.9,2.8,2.8,2.7,2.7,2.8,2.8,2.8,2.9,2.9,New Hampshire
1999,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,New Hampshire
2000,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.6,2.5,2.5,2.5,2.6,New Hampshire
2001,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.6,3.7,3.8,3.9,4.0,New Hampshire
2002,4.1,4.2,4.3,4.4,4.5,4.5,4.6,4.6,4.7,4.7,4.7,4.6,New Hampshire
2003,4.6,4.5,4.5,4.4,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.3,New Hampshire
2004,4.2,4.1,4.1,4.0,3.9,3.8,3.7,3.6,3.6,3.5,3.5,3.6,New Hampshire
2005,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.6,3.6,New Hampshire
2006,3.5,3.4,3.4,3.4,3.4,3.5,3.5,3.6,3.6,3.7,3.7,3.7,New Hampshire
2007,3.7,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.4,3.4,3.4,3.4,New Hampshire
2008,3.4,3.4,3.4,3.5,3.5,3.6,3.7,3.8,3.9,4.1,4.3,4.6,New Hampshire
2009,5.0,5.3,5.7,5.9,6.1,6.3,6.4,6.5,6.5,6.6,6.7,6.7,New Hampshire
2010,6.7,6.6,6.5,6.3,6.1,6.0,5.9,5.8,5.8,5.8,5.8,5.7,New Hampshire
2011,5.6,5.5,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.4,5.3,5.3,New Hampshire
2012,5.2,5.2,5.3,5.4,5.4,5.5,5.6,5.6,5.6,5.6,5.6,5.6,New Hampshire
2013,5.6,5.5,5.5,5.4,5.3,5.2,5.2,5.2,5.1,5.1,5.0,4.9,New Hampshire
2014,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.1,4.1,4.0,3.9,New Hampshire
2015,3.8,3.8,3.7,3.6,3.5,3.4,3.3,3.3,3.2,3.1,3.0,3.0,New Hampshire
2016,2.9,2.9,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,New Hampshire
2017,2.9,2.9,2.8,2.8,2.8,2.7,2.8,2.8,2.8,2.8,2.8,2.8,New Hampshire
2018,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.6,2.6,New Hampshire
2019,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6,New Hampshire
2020,2.6,2.6,2.6,16.0,11.8,9.6,8.3,6.7,6.1,5.2,4.8,4.6,New Hampshire
2021,4.2,4.1,4.0,3.9,3.7,3.6,3.4,3.2,3.0,2.8,2.6,2.4,New Hampshire
2022,2.3,2.3,2.2,2.2,2.2,2.2,2.3,2.3,2.4,2.4,2.3,2.2,New Hampshire
2023,2.0,1.9,1.8,1.8,1.8,2.0,2.1,2.3,2.5,2.6,2.6,2.6,New Hampshire
