,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,8.5,8.4,8.3,8.1,8.0,7.8,7.6,7.5,7.4,7.3,7.2,7.2,New Jersey
1994,7.2,7.1,7.1,7.0,6.9,6.9,6.8,6.7,6.7,6.6,6.5,6.4,New Jersey
1995,6.3,6.3,6.3,6.4,6.5,6.5,6.5,6.5,6.5,6.4,6.4,6.4,New Jersey
1996,6.4,6.4,6.4,6.3,6.2,6.1,6.0,6.0,5.9,5.9,5.9,5.9,New Jersey
1997,5.8,5.7,5.6,5.4,5.4,5.3,5.3,5.2,5.1,5.1,5.0,5.0,New Jersey
1998,5.0,4.9,4.8,4.7,4.6,4.5,4.5,4.4,4.4,4.3,4.3,4.3,New Jersey
1999,4.3,4.4,4.5,4.6,4.6,4.7,4.6,4.5,4.4,4.2,4.1,3.9,New Jersey
2000,3.8,3.7,3.6,3.6,3.5,3.6,3.6,3.6,3.7,3.7,3.7,3.7,New Jersey
2001,3.7,3.7,3.7,3.8,3.9,4.0,4.1,4.3,4.6,4.8,5.0,5.2,New Jersey
2002,5.4,5.6,5.7,5.8,5.8,5.8,5.8,5.8,5.8,5.9,5.9,5.9,New Jersey
2003,5.9,5.9,5.9,5.9,6.0,6.0,6.0,5.9,5.8,5.7,5.6,5.5,New Jersey
2004,5.4,5.3,5.2,5.2,5.1,5.0,4.9,4.8,4.7,4.6,4.5,4.4,New Jersey
2005,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.4,4.5,4.6,4.7,4.7,New Jersey
2006,4.7,4.8,4.8,4.8,4.8,4.8,4.7,4.6,4.5,4.4,4.3,4.2,New Jersey
2007,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.2,4.3,4.3,4.4,4.5,New Jersey
2008,4.6,4.6,4.7,4.8,5.0,5.2,5.4,5.6,5.9,6.2,6.5,6.9,New Jersey
2009,7.3,7.8,8.1,8.5,8.7,9.0,9.2,9.4,9.6,9.8,9.9,9.9,New Jersey
2010,10.0,9.9,9.9,9.8,9.7,9.6,9.5,9.5,9.5,9.5,9.5,9.5,New Jersey
2011,9.5,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.3,9.3,9.3,9.3,New Jersey
2012,9.3,9.3,9.4,9.5,9.5,9.5,9.5,9.4,9.4,9.3,9.3,9.2,New Jersey
2013,9.1,9.0,8.9,8.8,8.7,8.5,8.4,8.2,8.0,7.8,7.6,7.5,New Jersey
2014,7.3,7.1,7.0,6.8,6.7,6.7,6.6,6.6,6.6,6.5,6.5,6.4,New Jersey
2015,6.3,6.3,6.2,6.1,6.0,5.8,5.6,5.5,5.3,5.2,5.1,5.0,New Jersey
2016,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.9,4.9,4.8,4.7,New Jersey
2017,4.6,4.5,4.5,4.4,4.5,4.5,4.5,4.6,4.6,4.6,4.6,4.5,New Jersey
2018,4.4,4.4,4.3,4.2,4.1,4.0,4.0,3.9,3.8,3.7,3.7,3.6,New Jersey
2019,3.5,3.4,3.3,3.2,3.2,3.2,3.3,3.4,3.6,3.7,3.8,3.9,New Jersey
2020,4.0,4.1,4.1,15.0,15.4,14.5,14.4,13.3,7.4,7.1,7.2,7.2,New Jersey
2021,7.3,7.3,7.2,7.2,7.0,7.2,6.9,6.8,6.3,6.0,5.7,5.6,New Jersey
2022,5.2,4.7,4.3,4.1,3.8,3.6,3.3,3.1,3.3,3.5,3.7,3.8,New Jersey
2023,3.9,4.0,4.0,4.1,4.2,4.4,4.5,4.7,4.8,4.8,4.8,4.8,New Jersey
