,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,7.3,7.4,7.4,7.5,7.5,7.5,7.4,7.3,7.2,7.1,7.0,6.8,New Mexico
1994,6.7,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.6,6.5,6.5,6.4,New Mexico
1995,6.3,6.3,6.3,6.3,6.4,6.5,6.6,6.7,6.9,7.0,7.2,7.3,New Mexico
1996,7.4,7.5,7.6,7.6,7.6,7.6,7.6,7.5,7.5,7.4,7.3,7.2,New Mexico
1997,7.1,7.0,6.9,6.7,6.5,6.4,6.2,6.1,6.1,6.0,6.1,6.1,New Mexico
1998,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.2,6.1,6.0,New Mexico
1999,5.9,5.8,5.8,5.7,5.7,5.7,5.6,5.6,5.5,5.4,5.3,5.2,New Mexico
2000,5.2,5.1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,New Mexico
2001,5.0,5.0,4.9,4.9,4.8,4.8,4.8,4.8,4.9,5.1,5.2,5.3,New Mexico
2002,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,New Mexico
2003,5.6,5.7,5.7,5.8,5.9,6.0,6.1,6.1,6.1,6.0,5.9,5.9,New Mexico
2004,5.8,5.8,5.7,5.6,5.6,5.5,5.5,5.4,5.4,5.4,5.5,5.5,New Mexico
2005,5.6,5.6,5.5,5.4,5.3,5.2,5.1,5.1,5.0,4.9,4.8,4.7,New Mexico
2006,4.5,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.1,4.0,3.8,New Mexico
2007,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.6,3.7,3.7,New Mexico
2008,3.8,3.8,3.8,3.9,4.0,4.1,4.2,4.4,4.5,4.7,5.0,5.4,New Mexico
2009,5.8,6.2,6.6,6.9,7.1,7.3,7.3,7.4,7.4,7.5,7.5,7.6,New Mexico
2010,7.8,7.8,7.9,7.9,7.9,7.8,7.8,7.8,7.8,7.7,7.6,7.5,New Mexico
2011,7.4,7.2,7.1,7.1,7.1,7.1,7.2,7.3,7.3,7.3,7.3,7.2,New Mexico
2012,7.1,7.0,7.0,7.0,7.0,6.9,6.9,6.9,6.9,6.9,7.0,7.0,New Mexico
2013,7.0,7.0,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.8,New Mexico
2014,6.8,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.5,6.4,6.4,6.4,New Mexico
2015,6.5,6.6,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.5,6.5,6.5,New Mexico
2016,6.5,6.5,6.6,6.6,6.7,6.8,6.9,6.9,6.9,6.9,6.9,6.8,New Mexico
2017,6.7,6.6,6.5,6.4,6.2,6.1,6.0,5.8,5.7,5.6,5.5,5.4,New Mexico
2018,5.2,5.1,4.9,4.8,4.7,4.7,4.7,4.8,4.9,5.0,5.1,5.2,New Mexico
2019,5.1,5.1,5.0,5.0,4.9,4.9,4.9,4.9,4.9,4.9,4.9,5.0,New Mexico
2020,5.1,5.3,5.9,9.0,9.3,9.0,9.0,8.6,8.7,8.4,8.4,8.4,New Mexico
2021,8.2,8.2,8.0,7.9,7.5,7.4,7.1,6.8,6.3,6.0,5.8,5.6,New Mexico
2022,5.4,5.0,4.6,4.4,4.1,3.9,3.6,3.4,3.5,3.6,3.6,3.6,New Mexico
2023,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.8,3.9,4.0,4.0,4.0,New Mexico
