,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,8.4,8.3,8.1,8.0,7.9,7.8,7.8,7.8,7.8,7.8,7.7,7.7,New York
1994,7.6,7.5,7.4,7.3,7.1,7.0,6.8,6.7,6.6,6.5,6.3,6.2,New York
1995,6.2,6.2,6.2,6.3,6.3,6.4,6.4,6.5,6.4,6.4,6.4,6.3,New York
1996,6.3,6.3,6.3,6.3,6.3,6.3,6.2,6.1,6.1,6.2,6.3,6.4,New York
1997,6.5,6.5,6.6,6.5,6.5,6.5,6.5,6.4,6.3,6.2,6.2,6.1,New York
1998,6.0,5.9,5.8,5.7,5.6,5.5,5.5,5.5,5.5,5.4,5.4,5.4,New York
1999,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.2,5.2,5.0,4.9,4.8,New York
2000,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.5,4.4,4.3,4.3,New York
2001,4.2,4.2,4.3,4.3,4.4,4.6,4.8,5.0,5.3,5.6,5.8,6.0,New York
2002,6.2,6.3,6.3,6.3,6.3,6.2,6.1,6.1,6.1,6.1,6.2,6.2,New York
2003,6.3,6.3,6.3,6.4,6.4,6.5,6.5,6.5,6.5,6.4,6.4,6.3,New York
2004,6.3,6.3,6.2,6.1,6.0,5.9,5.7,5.6,5.5,5.4,5.3,5.2,New York
2005,5.1,5.1,5.0,4.9,4.9,4.9,4.9,5.0,5.0,4.9,4.9,4.9,New York
2006,4.8,4.7,4.7,4.7,4.7,4.6,4.5,4.5,4.4,4.3,4.3,4.2,New York
2007,4.2,4.2,4.2,4.3,4.3,4.4,4.5,4.5,4.6,4.6,4.7,4.7,New York
2008,4.7,4.8,4.8,4.9,5.0,5.2,5.3,5.5,5.7,6.0,6.3,6.7,New York
2009,7.1,7.5,7.9,8.1,8.3,8.5,8.6,8.7,8.8,8.9,9.0,9.0,New York
2010,9.0,9.0,8.9,8.8,8.8,8.7,8.6,8.6,8.6,8.6,8.5,8.5,New York
2011,8.4,8.3,8.2,8.2,8.2,8.3,8.3,8.4,8.4,8.5,8.5,8.6,New York
2012,8.6,8.6,8.7,8.8,8.8,8.8,8.7,8.6,8.6,8.5,8.4,8.4,New York
2013,8.3,8.2,8.1,8.0,7.9,7.9,7.8,7.8,7.6,7.5,7.3,7.1,New York
2014,7.0,6.8,6.7,6.5,6.4,6.3,6.2,6.1,6.0,5.9,5.8,5.8,New York
2015,5.7,5.6,5.6,5.5,5.4,5.3,5.2,5.0,4.9,4.9,4.9,4.8,New York
2016,4.8,4.8,4.8,4.8,4.8,4.9,4.9,5.0,5.0,5.0,4.9,4.8,New York
2017,4.7,4.6,4.6,4.6,4.6,4.6,4.7,4.7,4.7,4.7,4.6,4.5,New York
2018,4.5,4.4,4.3,4.2,4.1,4.0,3.9,3.9,3.9,4.0,4.0,4.0,New York
2019,4.0,3.9,3.9,3.8,3.7,3.7,3.8,3.8,3.9,3.9,3.9,4.0,New York
2020,4.1,4.1,4.2,15.6,16.7,13.6,12.5,10.8,10.2,9.2,9.0,8.7,New York
2021,8.6,8.4,8.1,7.9,7.5,7.5,7.0,6.8,6.3,5.9,5.6,5.5,New York
2022,5.2,4.8,4.6,4.4,4.3,4.2,4.0,3.9,4.0,4.1,4.2,4.2,New York
2023,4.1,4.0,4.0,3.9,3.9,4.0,4.1,4.3,4.4,4.6,4.6,4.6,New York
