,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,5.7,5.6,5.5,5.4,5.3,5.2,5.0,4.9,4.8,4.7,4.7,4.6,North Carolina
1994,4.6,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.3,4.2,4.1,North Carolina
1995,4.0,4.0,4.1,4.2,4.3,4.4,4.5,4.5,4.5,4.6,4.6,4.6,North Carolina
1996,4.6,4.6,4.6,4.5,4.4,4.4,4.3,4.2,4.2,4.1,4.1,4.1,North Carolina
1997,4.0,4.0,3.9,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.7,3.8,North Carolina
1998,3.8,3.8,3.7,3.7,3.6,3.5,3.5,3.5,3.4,3.4,3.3,3.2,North Carolina
1999,3.2,3.1,3.1,3.2,3.2,3.3,3.3,3.4,3.4,3.4,3.4,3.4,North Carolina
2000,3.4,3.4,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.1,4.2,North Carolina
2001,4.4,4.6,4.8,5.0,5.2,5.4,5.6,5.9,6.2,6.5,6.8,7.1,North Carolina
2002,7.2,7.2,7.2,7.1,7.0,6.9,6.8,6.7,6.7,6.7,6.8,6.8,North Carolina
2003,6.8,6.8,6.8,6.8,6.9,6.9,6.9,6.8,6.7,6.5,6.4,6.3,North Carolina
2004,6.2,6.1,6.1,6.0,5.9,5.8,5.7,5.7,5.7,5.7,5.7,5.7,North Carolina
2005,5.8,5.7,5.7,5.7,5.7,5.6,5.6,5.6,5.6,5.5,5.4,5.3,North Carolina
2006,5.2,5.0,5.0,5.0,5.0,5.1,5.2,5.2,5.3,5.3,5.2,5.1,North Carolina
2007,5.0,4.9,4.9,4.9,4.9,5.0,5.1,5.2,5.3,5.3,5.3,5.3,North Carolina
2008,5.2,5.2,5.2,5.3,5.5,5.7,5.8,6.0,6.1,6.3,8.6,9.6,North Carolina
2009,10.2,10.8,11.2,11.4,11.4,11.3,11.2,11.0,10.9,10.9,11.0,11.1,North Carolina
2010,11.2,11.2,11.2,11.0,10.8,10.6,10.4,10.4,10.4,10.4,10.5,10.5,North Carolina
2011,10.4,10.3,10.2,10.2,10.2,10.3,10.3,10.4,10.3,10.2,10.1,9.9,North Carolina
2012,9.7,9.6,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.4,North Carolina
2013,9.4,9.1,8.8,8.5,8.2,7.8,7.5,7.3,6.7,6.6,6.5,6.4,North Carolina
2014,6.4,6.3,6.3,6.3,6.2,6.2,6.1,6.1,6.0,5.9,5.8,5.7,North Carolina
2015,5.7,5.7,5.8,5.8,5.8,5.8,5.7,5.7,5.6,5.5,5.4,5.4,North Carolina
2016,5.3,5.2,5.2,5.1,5.1,5.0,5.0,5.1,5.1,5.1,5.0,5.0,North Carolina
2017,4.9,4.7,4.6,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.3,North Carolina
2018,4.2,4.1,4.0,4.0,3.9,3.9,3.9,3.9,4.0,4.0,4.0,4.0,North Carolina
2019,4.0,4.0,3.9,3.9,3.8,3.9,3.9,3.9,3.9,3.8,3.8,3.8,North Carolina
2020,3.8,3.8,4.0,14.2,11.6,9.7,8.7,7.3,6.7,6.0,5.8,5.8,North Carolina
2021,5.6,5.5,5.4,5.3,5.2,5.1,4.9,4.8,4.5,4.3,4.1,3.9,North Carolina
2022,3.7,3.6,3.5,3.5,3.6,3.6,3.7,3.8,3.9,3.8,3.8,3.7,North Carolina
2023,3.5,3.4,3.3,3.3,3.3,3.4,3.4,3.5,3.6,3.6,3.6,3.6,North Carolina
