,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,4.5,4.4,4.4,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.1,4.1,North Dakota
1994,4.1,4.0,3.9,3.8,3.7,3.6,3.6,3.6,3.6,3.6,3.5,3.5,North Dakota
1995,3.5,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,North Dakota
1996,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,North Dakota
1997,3.1,3.1,3.1,3.1,3.1,3.1,3.0,2.9,2.8,2.7,2.7,2.7,North Dakota
1998,2.7,2.7,2.8,2.8,2.8,2.9,3.0,3.0,3.1,3.2,3.2,3.2,North Dakota
1999,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.0,3.0,North Dakota
2000,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,North Dakota
2001,2.8,2.8,2.7,2.7,2.7,2.7,2.8,2.8,2.9,3.0,3.0,3.1,North Dakota
2002,3.2,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,North Dakota
2003,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.4,North Dakota
2004,3.4,3.4,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,North Dakota
2005,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.2,3.2,North Dakota
2006,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,North Dakota
2007,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.0,3.0,3.0,North Dakota
2008,2.9,2.8,2.8,2.9,3.0,3.1,3.1,3.2,3.2,3.3,3.4,3.6,North Dakota
2009,3.8,3.9,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,North Dakota
2010,3.9,3.9,3.9,3.8,3.7,3.7,3.6,3.6,3.6,3.6,3.5,3.5,North Dakota
2011,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.2,3.1,North Dakota
2012,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.0,3.0,3.0,North Dakota
2013,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,North Dakota
2014,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,North Dakota
2015,2.6,2.6,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,3.0,North Dakota
2016,3.1,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.0,3.0,3.0,2.9,North Dakota
2017,2.9,2.8,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,North Dakota
2018,2.6,2.6,2.6,2.5,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.4,North Dakota
2019,2.3,2.3,2.3,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,North Dakota
2020,2.0,2.2,2.4,8.7,7.3,6.4,6.1,5.5,5.2,4.8,4.5,4.3,North Dakota
2021,4.0,3.8,3.6,3.4,3.2,3.0,2.8,2.7,2.5,2.4,2.3,2.3,North Dakota
2022,2.2,2.1,2.0,2.0,1.9,1.9,1.9,2.0,2.0,2.0,2.0,2.0,North Dakota
2023,2.0,2.0,1.9,1.9,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,North Dakota
