,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,7.2,7.1,6.9,6.8,6.7,6.6,6.5,6.5,6.5,6.5,6.4,6.4,Ohio
1994,6.4,6.3,6.3,6.2,6.0,5.9,5.7,5.5,5.3,5.0,4.8,4.6,Ohio
1995,4.5,4.5,4.5,4.7,4.8,4.9,5.0,5.1,5.1,5.1,5.1,5.1,Ohio
1996,5.1,5.0,5.0,5.0,5.0,5.0,4.9,4.9,4.9,5.0,5.0,5.1,Ohio
1997,5.1,5.0,4.9,4.7,4.6,4.5,4.4,4.4,4.4,4.5,4.5,4.5,Ohio
1998,4.4,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.4,4.4,4.3,Ohio
1999,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.2,Ohio
2000,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.0,3.9,3.9,Ohio
2001,3.8,3.8,3.8,3.9,4.0,4.1,4.3,4.5,4.7,5.0,5.2,5.4,Ohio
2002,5.6,5.7,5.8,5.8,5.9,5.8,5.8,5.8,5.8,5.8,5.8,5.9,Ohio
2003,6.0,6.2,6.3,6.3,6.4,6.4,6.3,6.2,6.2,6.1,6.1,6.1,Ohio
2004,6.1,6.1,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.3,6.4,6.4,Ohio
2005,6.3,6.3,6.2,6.1,6.0,5.9,5.8,5.8,5.8,5.7,5.7,5.6,Ohio
2006,5.5,5.4,5.3,5.3,5.3,5.4,5.4,5.5,5.5,5.5,5.5,5.4,Ohio
2007,5.4,5.5,5.5,5.5,5.6,5.6,5.7,5.7,5.7,5.7,5.7,5.7,Ohio
2008,5.6,5.6,5.7,5.9,6.2,6.4,6.7,6.9,7.1,7.3,7.7,8.1,Ohio
2009,8.6,9.1,9.5,9.9,10.1,10.2,10.4,10.5,10.6,10.8,10.9,11.1,Ohio
2010,11.1,11.1,10.9,10.7,10.4,10.2,10.0,9.9,9.9,9.8,9.7,9.5,Ohio
2011,9.3,9.1,9.0,9.0,9.0,9.0,9.0,8.9,8.7,8.5,8.3,8.0,Ohio
2012,7.8,7.7,7.6,7.5,7.4,7.3,7.3,7.2,7.2,7.2,7.3,7.4,Ohio
2013,7.5,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.5,7.3,7.1,6.9,Ohio
2014,6.6,6.4,6.2,6.0,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2,Ohio
2015,5.2,5.2,5.2,5.1,5.0,4.9,4.8,4.8,4.7,4.8,4.8,4.9,Ohio
2016,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.1,5.2,5.3,5.3,Ohio
2017,5.3,5.2,5.1,5.1,5.0,5.0,5.0,4.9,4.9,4.8,4.7,4.6,Ohio
2018,4.6,4.6,4.6,4.5,4.5,4.5,4.4,4.4,4.4,4.5,4.5,4.5,Ohio
2019,4.4,4.2,4.1,4.0,4.0,4.0,4.1,4.2,4.2,4.3,4.3,4.3,Ohio
2020,4.4,4.6,4.8,16.5,12.8,10.9,9.8,8.3,7.6,6.8,6.4,6.3,Ohio
2021,6.0,5.9,5.8,5.7,5.5,5.3,5.1,4.9,4.7,4.5,4.3,4.2,Ohio
2022,4.1,4.0,3.9,3.9,3.9,3.9,4.0,4.1,4.1,4.1,4.0,3.9,Ohio
2023,3.8,3.7,3.5,3.4,3.3,3.3,3.4,3.5,3.6,3.6,3.6,3.6,Ohio
