,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,5.5,5.5,5.6,5.7,5.7,5.8,5.8,5.7,5.7,5.6,5.6,5.6,Oklahoma
1994,5.7,5.6,5.6,5.6,5.5,5.4,5.3,5.2,5.1,5.0,4.9,4.7,Oklahoma
1995,4.6,4.5,4.5,4.4,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.3,Oklahoma
1996,4.3,4.2,4.2,4.1,4.0,3.9,3.8,3.8,3.8,3.9,4.0,4.0,Oklahoma
1997,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.8,3.8,Oklahoma
1998,3.8,3.8,3.9,4.0,4.1,4.2,4.3,4.3,4.2,4.2,4.1,4.0,Oklahoma
1999,3.9,3.8,3.7,3.6,3.5,3.4,3.4,3.3,3.3,3.3,3.2,3.2,Oklahoma
2000,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,Oklahoma
2001,3.0,3.0,3.1,3.2,3.3,3.4,3.6,3.8,4.0,4.2,4.4,4.5,Oklahoma
2002,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.6,4.7,4.8,4.9,Oklahoma
2003,5.1,5.2,5.4,5.5,5.6,5.7,5.7,5.6,5.5,5.3,5.2,5.1,Oklahoma
2004,5.1,5.0,4.9,4.9,4.8,4.7,4.6,4.5,4.5,4.5,4.5,4.5,Oklahoma
2005,4.5,4.5,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.1,Oklahoma
2006,4.0,3.9,3.8,3.8,3.8,3.9,3.9,3.9,3.9,4.0,4.0,4.1,Oklahoma
2007,4.1,4.1,4.1,4.1,4.1,4.0,4.0,4.0,3.9,3.9,3.7,3.6,Oklahoma
2008,3.4,3.3,3.2,3.2,3.3,3.4,3.5,3.6,3.7,3.9,4.2,4.7,Oklahoma
2009,5.2,5.7,6.1,6.5,6.7,6.9,6.9,6.9,6.9,6.9,7.0,7.0,Oklahoma
2010,7.0,6.9,6.8,6.7,6.6,6.4,6.4,6.3,6.3,6.3,6.2,6.1,Oklahoma
2011,5.9,5.8,5.6,5.6,5.5,5.5,5.6,5.6,5.6,5.5,5.5,5.4,Oklahoma
2012,5.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,Oklahoma
2013,5.2,5.2,5.2,5.2,5.1,5.1,5.1,5.1,5.1,5.1,5.0,5.0,Oklahoma
2014,4.9,4.7,4.6,4.5,4.4,4.3,4.2,4.2,4.1,4.1,4.0,4.0,Oklahoma
2015,4.0,4.1,4.2,4.3,4.4,4.4,4.4,4.3,4.3,4.3,4.4,4.4,Oklahoma
2016,4.5,4.5,4.6,4.7,4.7,4.8,4.8,4.8,4.7,4.7,4.6,4.5,Oklahoma
2017,4.4,4.3,4.2,4.1,4.0,4.0,4.0,4.0,3.9,3.9,3.8,3.8,Oklahoma
2018,3.7,3.6,3.5,3.4,3.3,3.2,3.1,3.1,3.1,3.1,3.2,3.2,Oklahoma
2019,3.2,3.2,3.1,3.1,3.0,3.0,3.1,3.2,3.2,3.2,3.1,3.1,Oklahoma
2020,3.1,3.2,3.2,12.5,9.8,8.2,7.4,6.3,6.0,5.5,5.3,5.2,Oklahoma
2021,5.0,4.9,4.8,4.7,4.5,4.3,4.0,3.7,3.4,3.2,3.0,2.9,Oklahoma
2022,2.9,2.9,2.9,2.9,2.9,3.0,3.1,3.2,3.2,3.2,3.2,3.1,Oklahoma
2023,3.1,3.0,3.0,2.9,3.0,3.1,3.2,3.3,3.5,3.5,3.5,3.5,Oklahoma
