,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.0,6.9,6.7,6.5,6.3,Oregon
1994,6.2,6.0,5.8,5.7,5.5,5.3,5.2,5.0,4.9,4.8,4.7,4.6,Oregon
1995,4.5,4.5,4.6,4.7,4.7,4.8,4.8,4.8,4.8,4.9,5.0,5.1,Oregon
1996,5.2,5.4,5.5,5.5,5.5,5.5,5.5,5.6,5.6,5.7,5.8,5.9,Oregon
1997,5.9,5.9,5.8,5.7,5.6,5.5,5.4,5.4,5.4,5.4,5.3,5.3,Oregon
1998,5.3,5.4,5.4,5.5,5.6,5.7,5.7,5.8,5.8,5.9,5.8,5.8,Oregon
1999,5.7,5.6,5.6,5.5,5.5,5.6,5.6,5.5,5.4,5.3,5.2,5.1,Oregon
2000,5.0,5.0,5.1,5.1,5.2,5.3,5.3,5.3,5.3,5.3,5.2,5.2,Oregon
2001,5.3,5.4,5.6,5.8,5.9,6.1,6.3,6.5,6.9,7.3,7.6,7.8,Oregon
2002,7.9,7.9,7.8,7.6,7.4,7.3,7.2,7.2,7.2,7.3,7.4,7.5,Oregon
2003,7.6,7.8,8.0,8.2,8.3,8.4,8.3,8.2,8.0,7.9,7.8,7.7,Oregon
2004,7.7,7.7,7.6,7.6,7.5,7.4,7.3,7.3,7.2,7.1,6.9,6.8,Oregon
2005,6.6,6.5,6.4,6.3,6.2,6.2,6.2,6.1,6.1,6.0,5.9,5.8,Oregon
2006,5.6,5.5,5.4,5.4,5.3,5.4,5.4,5.4,5.4,5.4,5.3,5.2,Oregon
2007,5.1,5.0,5.0,5.0,5.0,5.1,5.2,5.3,5.3,5.4,5.3,5.2,Oregon
2008,5.1,5.1,5.1,5.2,5.4,5.7,6.0,6.4,6.9,7.4,8.1,8.9,Oregon
2009,9.7,10.5,11.0,11.3,11.3,11.2,11.0,10.8,10.7,10.6,10.7,10.7,Oregon
2010,10.8,10.9,10.9,10.9,10.8,10.7,10.7,10.6,10.6,10.6,10.5,10.3,Oregon
2011,10.1,9.8,9.7,9.6,9.6,9.7,9.7,9.6,9.6,9.4,9.3,9.2,Oregon
2012,9.1,9.0,9.0,8.9,8.9,8.9,8.8,8.7,8.7,8.6,8.6,8.5,Oregon
2013,8.4,8.3,8.2,8.0,7.9,7.8,7.7,7.6,7.4,7.3,7.2,7.2,Oregon
2014,7.2,7.1,7.0,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.2,6.0,Oregon
2015,5.8,5.8,5.7,5.7,5.6,5.5,5.5,5.4,5.3,5.2,5.1,5.0,Oregon
2016,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.7,4.5,4.4,4.3,Oregon
2017,4.1,4.0,3.9,3.9,4.0,4.0,4.1,4.1,4.2,4.2,4.1,4.1,Oregon
2018,4.1,4.0,4.0,3.9,3.9,3.8,3.9,4.0,4.1,4.2,4.3,4.3,Oregon
2019,4.2,4.1,4.0,3.9,3.8,3.7,3.7,3.6,3.5,3.4,3.4,3.4,Oregon
2020,3.5,3.6,3.7,13.7,11.8,10.2,9.2,8.0,7.5,6.8,6.6,6.6,Oregon
2021,6.4,6.2,6.1,5.9,5.6,5.4,5.0,4.7,4.4,4.2,4.0,3.9,Oregon
2022,3.9,3.7,3.7,3.7,3.7,3.8,3.9,4.0,4.2,4.2,4.2,4.0,Oregon
2023,3.8,3.6,3.5,3.4,3.4,3.5,3.6,3.8,3.9,4.0,4.0,4.0,Oregon
