,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,7.2,7.1,7.0,7.0,7.0,7.0,7.0,6.9,6.8,6.8,6.7,6.7,Pennsylvania
1994,6.7,6.6,6.6,6.5,6.5,6.4,6.3,6.2,6.2,6.1,5.9,5.8,Pennsylvania
1995,5.7,5.7,5.8,5.9,5.9,6.0,6.0,5.9,5.9,5.9,5.9,5.9,Pennsylvania
1996,5.9,5.9,5.8,5.7,5.6,5.4,5.3,5.3,5.2,5.2,5.3,5.3,Pennsylvania
1997,5.3,5.3,5.3,5.3,5.2,5.2,5.2,5.1,5.0,5.0,4.9,4.9,Pennsylvania
1998,4.8,4.8,4.7,4.7,4.7,4.6,4.7,4.7,4.7,4.7,4.6,4.6,Pennsylvania
1999,4.5,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.5,4.5,4.4,4.3,Pennsylvania
2000,4.2,4.1,4.1,4.1,4.2,4.2,4.3,4.3,4.3,4.3,4.3,4.3,Pennsylvania
2001,4.3,4.4,4.5,4.5,4.6,4.7,4.8,4.9,5.0,5.2,5.3,5.5,Pennsylvania
2002,5.5,5.6,5.6,5.6,5.5,5.5,5.4,5.4,5.5,5.5,5.6,5.7,Pennsylvania
2003,5.8,5.8,5.8,5.8,5.8,5.8,5.7,5.7,5.6,5.6,5.5,5.5,Pennsylvania
2004,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.3,5.2,Pennsylvania
2005,5.2,5.2,5.1,5.1,5.0,4.9,4.9,4.9,4.9,4.9,4.9,4.8,Pennsylvania
2006,4.8,4.7,4.7,4.7,4.7,4.8,4.8,4.8,4.7,4.7,4.6,4.5,Pennsylvania
2007,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.6,4.7,4.8,4.8,4.8,Pennsylvania
2008,4.8,4.8,4.9,4.9,5.0,5.1,5.2,5.4,5.5,5.8,6.2,6.6,Pennsylvania
2009,7.0,7.4,7.7,8.0,8.1,8.2,8.2,8.2,8.2,8.2,8.2,8.3,Pennsylvania
2010,8.4,8.5,8.5,8.4,8.3,8.1,8.0,8.0,8.0,8.0,7.9,7.9,Pennsylvania
2011,7.8,7.7,7.6,7.6,7.7,7.8,7.8,7.9,7.9,7.8,7.7,7.6,Pennsylvania
2012,7.5,7.5,7.5,7.6,7.7,7.7,7.8,7.8,7.7,7.7,7.7,7.7,Pennsylvania
2013,7.6,7.5,7.4,7.3,7.2,7.1,7.1,7.0,6.9,6.8,6.7,6.6,Pennsylvania
2014,6.5,6.4,6.3,6.2,6.1,6.0,5.8,5.7,5.6,5.6,5.5,5.5,Pennsylvania
2015,5.5,5.5,5.5,5.5,5.5,5.4,5.4,5.3,5.3,5.3,5.2,5.3,Pennsylvania
2016,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.2,Pennsylvania
2017,5.2,5.1,5.1,5.0,5.0,4.9,4.9,4.9,4.9,4.9,4.9,4.9,Pennsylvania
2018,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.3,4.2,4.3,4.3,4.3,Pennsylvania
2019,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.3,4.3,4.4,4.4,4.4,Pennsylvania
2020,4.5,4.7,4.9,16.1,12.9,11.3,10.4,9.3,8.8,8.1,7.9,7.6,Pennsylvania
2021,7.4,7.1,6.8,6.6,6.3,6.1,5.9,5.6,5.2,4.9,4.7,4.5,Pennsylvania
2022,4.3,4.2,4.2,4.1,4.1,4.1,4.0,4.0,4.0,3.9,3.9,3.8,Pennsylvania
2023,3.8,3.7,3.5,3.4,3.3,3.2,3.2,3.3,3.3,3.4,3.4,3.4,Pennsylvania
