,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,8.1,8.0,7.9,7.7,7.6,7.5,7.3,7.3,7.2,7.3,7.3,7.3,Rhode Island
1994,7.2,7.0,6.9,6.7,6.6,6.6,6.6,6.5,6.5,6.4,6.3,6.3,Rhode Island
1995,6.3,6.3,6.4,6.6,6.6,6.6,6.6,6.4,6.3,6.1,5.9,5.7,Rhode Island
1996,5.6,5.5,5.3,5.2,5.1,5.0,5.0,5.0,5.1,5.2,5.3,5.4,Rhode Island
1997,5.5,5.5,5.5,5.5,5.5,5.4,5.4,5.3,5.2,5.1,5.0,5.0,Rhode Island
1998,4.9,4.9,4.8,4.7,4.6,4.5,4.4,4.4,4.4,4.4,4.3,4.2,Rhode Island
1999,4.1,4.0,3.9,4.0,4.0,4.2,4.3,4.4,4.4,4.4,4.4,4.3,Rhode Island
2000,4.2,4.2,4.1,4.1,4.0,4.0,4.0,4.0,3.9,3.8,3.8,3.9,Rhode Island
2001,4.0,4.1,4.3,4.4,4.5,4.5,4.5,4.5,4.5,4.6,4.7,4.7,Rhode Island
2002,4.8,4.8,4.8,4.8,4.8,4.9,5.0,5.2,5.4,5.5,5.6,5.7,Rhode Island
2003,5.7,5.7,5.7,5.7,5.6,5.6,5.6,5.5,5.5,5.4,5.4,5.5,Rhode Island
2004,5.5,5.6,5.6,5.6,5.6,5.4,5.3,5.1,4.9,4.8,4.8,4.8,Rhode Island
2005,4.8,4.8,4.9,4.9,4.9,5.0,5.1,5.3,5.4,5.4,5.4,5.4,Rhode Island
2006,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.2,5.1,5.0,4.9,Rhode Island
2007,4.8,4.7,4.7,4.7,4.8,4.9,5.0,5.2,5.4,5.5,5.7,5.9,Rhode Island
2008,6.0,6.2,6.4,6.6,7.0,7.3,7.7,8.0,8.4,8.7,9.2,9.7,Rhode Island
2009,10.2,10.7,11.2,11.4,11.6,11.6,11.6,11.6,11.6,11.7,11.7,11.8,Rhode Island
2010,11.8,11.9,11.8,11.8,11.7,11.6,11.5,11.5,11.5,11.5,11.5,11.4,Rhode Island
2011,11.2,11.1,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.9,Rhode Island
2012,10.7,10.6,10.5,10.5,10.4,10.4,10.3,10.1,10.0,9.8,9.7,9.6,Rhode Island
2013,9.6,9.5,9.5,9.5,9.5,9.6,9.6,9.6,9.5,9.4,9.3,9.1,Rhode Island
2014,8.9,8.7,8.5,8.3,8.0,7.8,7.6,7.4,7.3,7.1,6.9,6.7,Rhode Island
2015,6.6,6.5,6.4,6.3,6.2,6.0,5.9,5.8,5.7,5.7,5.6,5.6,Rhode Island
2016,5.6,5.5,5.4,5.4,5.4,5.3,5.3,5.2,5.1,5.0,4.9,4.8,Rhode Island
2017,4.6,4.5,4.5,4.4,4.4,4.4,4.5,4.5,4.6,4.6,4.6,4.5,Rhode Island
2018,4.5,4.4,4.2,4.1,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.8,Rhode Island
2019,3.8,3.7,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.5,Rhode Island
2020,3.6,3.7,3.7,17.9,15.4,13.3,12.2,10.3,9.9,7.0,7.0,6.9,Rhode Island
2021,6.6,6.4,6.2,6.2,6.0,6.0,5.8,5.5,5.1,4.6,4.1,3.7,Rhode Island
2022,3.5,3.3,3.1,3.0,3.0,3.1,3.2,3.3,3.2,3.2,3.1,3.0,Rhode Island
2023,2.9,2.8,2.7,2.7,2.6,2.6,2.7,2.9,3.2,3.4,3.4,3.4,Rhode Island
