,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,3.6,3.6,3.6,3.6,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.3,South Dakota
1994,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.1,South Dakota
1995,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,South Dakota
1996,3.3,3.4,3.4,3.4,3.4,3.3,3.3,3.2,3.2,3.2,3.2,3.2,South Dakota
1997,3.1,3.1,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,South Dakota
1998,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,South Dakota
1999,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.6,2.6,2.5,South Dakota
2000,2.5,2.4,2.4,2.4,2.5,2.5,2.5,2.6,2.6,2.6,2.7,2.7,South Dakota
2001,2.7,2.8,2.8,2.9,2.9,2.9,3.0,3.0,3.1,3.2,3.3,3.4,South Dakota
2002,3.4,3.4,3.4,3.3,3.3,3.2,3.1,3.1,3.1,3.1,3.2,3.2,South Dakota
2003,3.3,3.3,3.4,3.4,3.5,3.5,3.6,3.6,3.6,3.5,3.5,3.5,South Dakota
2004,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,South Dakota
2005,3.7,3.8,3.8,3.7,3.7,3.6,3.5,3.5,3.4,3.4,3.3,3.2,South Dakota
2006,3.2,3.0,3.0,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,South Dakota
2007,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.8,2.8,2.7,South Dakota
2008,2.6,2.6,2.6,2.7,2.8,2.9,3.1,3.2,3.4,3.5,3.7,3.9,South Dakota
2009,4.1,4.4,4.5,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.7,4.8,South Dakota
2010,4.8,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,5.0,5.0,South Dakota
2011,5.0,4.9,4.9,4.8,4.7,4.6,4.5,4.5,4.4,4.4,4.3,4.2,South Dakota
2012,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.0,4.0,3.9,3.9,South Dakota
2013,3.9,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.5,3.5,South Dakota
2014,3.5,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.2,3.2,South Dakota
2015,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.0,3.0,2.9,2.9,2.8,South Dakota
2016,2.8,2.8,2.8,2.9,2.9,3.0,3.1,3.1,3.2,3.2,3.2,3.2,South Dakota
2017,3.1,3.1,3.1,3.0,3.0,3.0,3.1,3.1,3.1,3.0,3.0,3.0,South Dakota
2018,3.0,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.8,South Dakota
2019,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.6,South Dakota
2020,2.6,2.5,2.4,8.8,6.6,5.3,4.7,4.0,3.7,3.3,3.2,3.1,South Dakota
2021,2.9,2.9,2.8,2.8,2.8,2.8,2.7,2.6,2.5,2.3,2.2,2.1,South Dakota
2022,2.0,1.9,1.9,1.9,1.9,2.0,2.0,2.1,2.1,2.1,2.0,2.0,South Dakota
2023,2.0,1.9,1.9,1.9,1.9,2.0,2.0,2.0,2.1,2.1,2.1,2.1,South Dakota
