,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,6.3,6.3,6.2,6.2,6.1,6.0,5.9,5.7,5.6,5.4,5.3,5.2,Tennessee
1994,5.2,5.1,5.0,4.9,4.8,4.8,4.7,4.7,4.7,4.6,4.6,4.6,Tennessee
1995,4.6,4.8,4.9,5.1,5.3,5.4,5.4,5.4,5.3,5.3,5.2,5.2,Tennessee
1996,5.2,5.1,5.1,5.1,5.0,5.0,5.0,5.1,5.2,5.3,5.4,5.5,Tennessee
1997,5.5,5.5,5.5,5.5,5.4,5.4,5.4,5.3,5.2,5.0,4.8,4.7,Tennessee
1998,4.6,4.5,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.2,Tennessee
1999,4.2,4.1,4.1,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,Tennessee
2000,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,Tennessee
2001,3.9,4.0,4.0,4.1,4.2,4.3,4.5,4.6,4.8,5.1,5.3,5.4,Tennessee
2002,5.5,5.5,5.5,5.3,5.2,5.1,5.0,4.9,4.8,4.8,4.9,5.0,Tennessee
2003,5.1,5.2,5.3,5.5,5.6,5.7,5.7,5.8,5.7,5.6,5.5,5.4,Tennessee
2004,5.3,5.2,5.1,5.1,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.7,Tennessee
2005,5.8,5.8,5.7,5.7,5.6,5.4,5.4,5.3,5.4,5.4,5.4,5.4,Tennessee
2006,5.4,5.4,5.5,5.5,5.5,5.5,5.4,5.3,5.2,5.0,4.9,4.7,Tennessee
2007,4.6,4.5,4.4,4.3,4.3,4.3,4.5,4.6,4.8,5.0,5.1,5.2,Tennessee
2008,5.3,5.4,5.6,5.8,6.1,6.4,6.6,6.8,7.0,7.3,7.7,8.2,Tennessee
2009,8.7,9.2,9.7,10.1,10.3,10.4,10.5,10.5,10.5,10.5,10.5,10.5,Tennessee
2010,10.5,10.4,10.2,10.0,9.8,9.6,9.5,9.5,9.5,9.6,9.7,9.6,Tennessee
2011,9.6,9.5,9.4,9.3,9.3,9.2,9.2,9.1,8.9,8.8,8.6,8.4,Tennessee
2012,8.2,8.1,8.0,8.0,8.0,8.0,8.0,7.9,7.8,7.8,7.8,7.9,Tennessee
2013,8.0,8.0,8.0,8.0,7.9,7.9,7.8,7.7,7.6,7.4,7.3,7.1,Tennessee
2014,6.9,6.8,6.8,6.7,6.7,6.7,6.6,6.6,6.5,6.4,6.3,6.2,Tennessee
2015,6.1,6.1,6.0,5.9,5.8,5.7,5.5,5.4,5.3,5.1,5.0,4.9,Tennessee
2016,4.8,4.7,4.7,4.6,4.7,4.7,4.8,4.8,4.9,4.9,4.8,4.7,Tennessee
2017,4.6,4.4,4.2,3.9,3.7,3.6,3.5,3.4,3.4,3.4,3.4,3.5,Tennessee
2018,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,Tennessee
2019,3.5,3.4,3.4,3.4,3.3,3.2,3.2,3.2,3.3,3.3,3.4,3.4,Tennessee
2020,3.5,3.5,3.5,15.8,12.1,10.2,9.0,7.6,7.1,6.3,5.9,5.6,Tennessee
2021,5.4,5.2,5.1,5.0,4.8,4.7,4.4,4.2,3.9,3.8,3.6,3.5,Tennessee
2022,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.5,3.5,3.5,Tennessee
2023,3.4,3.3,3.2,3.1,3.1,3.1,3.2,3.3,3.4,3.5,3.5,3.4,Tennessee
