,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,7.6,7.5,7.4,7.3,7.2,7.2,7.1,7.1,7.1,7.1,7.0,7.0,Texas
1994,7.0,7.0,6.9,6.9,6.8,6.7,6.6,6.4,6.3,6.2,6.1,5.9,Texas
1995,5.9,5.9,5.9,6.0,6.1,6.2,6.2,6.3,6.3,6.2,6.2,6.2,Texas
1996,6.1,6.1,6.0,5.9,5.8,5.7,5.6,5.5,5.5,5.5,5.6,5.7,Texas
1997,5.7,5.7,5.7,5.6,5.5,5.5,5.4,5.3,5.2,5.1,5.0,5.0,Texas
1998,4.9,4.9,4.9,4.9,5.0,5.0,5.1,5.1,5.1,5.0,4.9,4.8,Texas
1999,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.8,Texas
2000,4.7,4.7,4.6,4.5,4.5,4.4,4.3,4.3,4.2,4.2,4.1,4.1,Texas
2001,4.1,4.2,4.3,4.5,4.6,4.8,5.0,5.2,5.4,5.6,5.8,6.0,Texas
2002,6.1,6.2,6.3,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.5,6.6,Texas
2003,6.7,6.7,6.8,6.9,6.9,6.9,6.9,6.8,6.7,6.6,6.5,6.4,Texas
2004,6.3,6.2,6.2,6.1,6.1,6.0,5.9,5.9,5.9,5.9,5.9,5.8,Texas
2005,5.8,5.7,5.6,5.5,5.4,5.3,5.3,5.4,5.4,5.4,5.4,5.3,Texas
2006,5.3,5.2,5.2,5.2,5.2,5.2,5.1,5.0,4.8,4.7,4.6,4.5,Texas
2007,4.5,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.4,Texas
2008,4.3,4.3,4.3,4.4,4.5,4.7,4.8,5.0,5.2,5.4,5.6,5.9,Texas
2009,6.1,6.3,6.4,6.5,7.5,8.0,8.2,8.3,8.3,8.3,8.3,8.3,Texas
2010,8.3,8.3,8.3,8.2,8.2,8.1,8.1,8.1,8.1,8.2,8.2,8.2,Texas
2011,8.2,8.2,8.1,8.1,8.2,8.3,8.3,8.2,8.0,7.8,7.5,7.3,Texas
2012,7.1,7.0,6.7,6.8,6.8,6.8,6.7,6.6,6.5,6.5,6.5,6.5,Texas
2013,6.5,6.6,6.5,6.5,6.4,6.4,6.3,6.3,6.2,6.1,6.0,5.8,Texas
2014,5.7,5.6,5.5,5.4,5.3,5.2,5.2,5.1,5.0,4.9,4.8,4.6,Texas
2015,4.6,4.5,4.5,4.5,4.4,4.4,4.4,4.5,4.5,4.5,4.5,4.5,Texas
2016,4.5,4.4,4.5,4.5,4.6,4.7,4.7,4.7,4.8,4.8,4.8,4.8,Texas
2017,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.2,4.1,4.1,4.1,4.1,Texas
2018,4.1,4.0,4.0,4.0,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,Texas
2019,3.7,3.7,3.6,3.5,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,Texas
2020,3.5,3.6,5.0,12.8,11.6,10.1,9.3,8.1,7.7,7.1,7.0,6.9,Texas
2021,6.7,6.6,6.4,6.2,6.0,5.8,5.6,5.3,5.1,4.9,4.6,4.5,Texas
2022,4.3,4.1,3.9,3.8,3.8,3.8,3.8,3.8,3.9,4.0,4.0,4.1,Texas
2023,4.1,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,Texas
