,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,4.5,4.4,4.3,4.2,4.2,4.1,4.0,3.9,3.8,3.8,3.7,3.7,Utah
1994,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.7,Utah
1995,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.3,3.3,3.3,Utah
1996,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.4,3.4,3.4,3.4,Utah
1997,3.3,3.3,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.3,Utah
1998,3.4,3.4,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,Utah
1999,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.4,3.3,3.2,Utah
2000,3.1,3.1,3.1,3.2,3.2,3.3,3.3,3.4,3.4,3.5,3.6,3.7,Utah
2001,3.8,3.9,3.9,4.0,4.1,4.2,4.4,4.5,4.7,4.8,5.0,5.1,Utah
2002,5.2,5.4,5.5,5.6,5.6,5.7,5.8,5.8,5.8,5.9,5.9,5.8,Utah
2003,5.8,5.8,5.7,5.6,5.6,5.6,5.6,5.5,5.5,5.4,5.4,5.3,Utah
2004,5.3,5.3,5.3,5.2,5.2,5.1,5.0,4.9,4.8,4.7,4.7,4.6,Utah
2005,4.5,4.5,4.4,4.3,4.2,4.1,4.0,3.9,3.8,3.7,3.6,3.5,Utah
2006,3.4,3.3,3.2,3.1,3.0,2.9,2.8,2.7,2.6,2.5,2.5,2.4,Utah
2007,2.4,2.4,2.4,2.4,2.5,2.5,2.6,2.6,2.6,2.7,2.8,2.8,Utah
2008,2.8,2.9,2.9,3.0,3.1,3.2,3.2,3.3,3.4,3.5,3.6,5.2,Utah
2009,6.1,6.5,6.8,7.0,7.1,7.3,7.4,7.6,7.7,7.8,7.9,7.9,Utah
2010,8.0,8.0,8.0,8.0,8.0,7.9,7.9,7.9,7.9,7.9,7.9,7.8,Utah
2011,7.8,7.7,7.7,7.7,7.7,7.7,7.4,7.0,6.6,6.2,5.8,5.4,Utah
2012,5.3,4.7,4.8,4.8,4.9,4.8,4.8,4.7,4.7,4.6,4.6,4.6,Utah
2013,4.5,4.4,4.4,4.3,4.3,4.2,4.2,4.2,4.1,4.0,4.0,3.9,Utah
2014,3.8,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,Utah
2015,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,Utah
2016,3.5,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.2,Utah
2017,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,Utah
2018,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,Utah
2019,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.4,Utah
2020,2.5,2.5,2.5,10.0,7.7,6.4,5.7,4.9,4.5,4.0,3.8,3.6,Utah
2021,3.4,3.2,3.1,3.0,2.9,2.8,2.7,2.6,2.5,2.4,2.3,2.2,Utah
2022,2.2,2.2,2.2,2.3,2.3,2.3,2.4,2.4,2.5,2.5,2.5,2.5,Utah
2023,2.5,2.5,2.5,2.5,2.5,2.6,2.7,2.7,2.8,2.8,2.8,2.8,Utah
