,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,6.0,5.9,5.7,5.6,5.4,5.2,5.1,4.9,4.8,4.7,4.6,4.6,Vermont
1994,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.5,4.4,4.4,4.3,4.2,Vermont
1995,4.2,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,Vermont
1996,4.1,4.2,4.2,4.2,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.4,Vermont
1997,4.4,4.3,4.2,4.1,4.0,3.9,3.8,3.8,3.7,3.7,3.7,3.7,Vermont
1998,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.2,Vermont
1999,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.0,3.0,3.0,2.9,2.9,Vermont
2000,2.8,2.7,2.7,2.7,2.7,2.8,2.8,2.9,2.9,2.9,2.9,2.9,Vermont
2001,3.0,3.1,3.2,3.2,3.3,3.3,3.3,3.3,3.4,3.4,3.5,3.5,Vermont
2002,3.5,3.6,3.6,3.6,3.7,3.7,3.8,3.9,4.0,4.1,4.2,4.3,Vermont
2003,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.4,4.3,4.3,4.2,4.1,Vermont
2004,4.0,4.0,3.9,3.8,3.8,3.7,3.6,3.5,3.5,3.5,3.4,3.4,Vermont
2005,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,Vermont
2006,3.5,3.5,3.5,3.6,3.6,3.7,3.8,3.8,3.9,3.9,3.9,3.9,Vermont
2007,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.0,4.0,4.0,4.0,4.0,Vermont
2008,4.0,4.1,4.2,4.2,4.4,4.5,4.6,4.7,4.8,4.9,5.1,5.3,Vermont
2009,5.5,5.7,5.9,6.1,6.1,6.2,6.2,6.3,6.4,6.5,6.5,6.6,Vermont
2010,6.7,6.6,6.6,6.5,6.4,6.3,6.2,6.1,6.1,6.1,6.1,6.1,Vermont
2011,6.0,5.9,5.9,5.8,5.7,5.7,5.6,5.5,5.4,5.2,5.1,5.0,Vermont
2012,4.9,4.9,4.8,4.9,4.9,4.9,4.9,4.8,4.8,4.7,4.7,4.6,Vermont
2013,4.6,4.6,4.6,4.5,4.5,4.5,4.4,4.4,4.3,4.3,4.2,4.1,Vermont
2014,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.9,3.9,Vermont
2015,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.4,3.3,Vermont
2016,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,Vermont
2017,3.1,3.1,3.1,3.1,3.0,3.0,2.9,2.9,2.9,3.0,3.0,3.0,Vermont
2018,2.8,2.7,2.7,2.6,2.5,2.4,2.4,2.3,2.3,2.4,2.4,2.3,Vermont
2019,2.3,2.2,2.1,2.0,2.0,1.9,2.0,2.0,2.1,2.1,2.1,2.0,Vermont
2020,2.0,2.1,2.4,14.1,9.5,7.8,6.7,5.5,4.9,4.4,4.2,4.3,Vermont
2021,4.4,4.4,4.4,4.2,3.9,3.7,3.4,3.2,3.1,2.9,2.8,2.6,Vermont
2022,2.4,2.3,2.2,2.2,2.2,2.2,2.3,2.4,2.5,2.5,2.4,2.3,Vermont
2023,2.1,1.9,1.8,1.7,1.7,1.8,1.9,2.1,2.2,2.3,2.3,2.3,Vermont
