,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,5.6,5.5,5.4,5.3,5.2,5.2,5.1,5.1,5.0,5.0,5.0,5.0,Virginia
1994,5.0,5.0,5.0,5.0,4.9,4.9,4.8,4.8,4.7,4.6,4.5,4.4,Virginia
1995,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.5,4.4,Virginia
1996,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.4,Virginia
1997,4.4,4.3,4.3,4.1,4.0,3.8,3.7,3.5,3.3,3.1,3.0,2.9,Virginia
1998,2.9,2.8,2.8,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.7,Virginia
1999,2.7,2.6,2.6,2.7,2.7,2.7,2.7,2.8,2.8,2.7,2.7,2.7,Virginia
2000,2.6,2.5,2.4,2.4,2.3,2.3,2.2,2.2,2.1,2.1,2.1,2.2,Virginia
2001,2.3,2.5,2.6,2.8,2.9,3.1,3.3,3.6,3.8,4.0,4.2,4.3,Virginia
2002,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.3,Virginia
2003,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.2,4.2,Virginia
2004,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.0,4.0,4.0,3.9,3.9,Virginia
2005,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.7,3.7,3.6,Virginia
2006,3.5,3.4,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.3,3.3,3.2,Virginia
2007,3.2,3.2,3.1,3.1,3.1,3.2,3.2,3.3,3.4,3.5,3.5,3.6,Virginia
2008,3.6,3.7,3.7,3.9,4.0,4.1,4.3,4.4,4.5,4.7,5.0,5.4,Virginia
2009,5.7,6.1,6.4,6.6,6.8,6.9,7.0,7.1,7.2,7.3,7.4,7.5,Virginia
2010,7.6,7.6,7.6,7.5,7.4,7.3,7.2,7.2,7.1,7.1,7.0,6.9,Virginia
2011,6.7,6.6,6.6,6.5,6.5,6.6,6.6,6.6,6.6,6.5,6.4,6.3,Virginia
2012,6.2,6.2,6.1,6.1,6.1,6.0,5.9,5.9,5.8,5.7,5.7,5.7,Virginia
2013,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.5,5.5,5.4,5.4,Virginia
2014,5.3,5.3,5.3,5.3,5.2,5.2,5.1,5.1,5.0,4.9,4.9,4.8,Virginia
2015,4.8,4.7,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.1,4.0,4.0,Virginia
2016,4.0,3.9,3.9,3.9,3.9,4.0,4.0,4.1,4.1,4.1,4.1,4.0,Virginia
2017,4.0,4.0,3.9,3.8,3.7,3.7,3.6,3.5,3.5,3.5,3.4,3.4,Virginia
2018,3.4,3.3,3.2,3.1,2.9,2.8,2.8,2.8,2.8,2.9,3.0,3.1,Virginia
2019,3.1,3.1,3.0,2.8,2.7,2.5,2.5,2.5,2.6,2.7,2.8,2.8,Virginia
2020,2.8,2.9,3.2,12.0,10.0,8.9,8.2,7.2,6.6,5.8,5.3,5.0,Virginia
2021,4.8,4.7,4.5,4.4,4.2,4.0,3.8,3.5,3.3,3.1,3.0,2.9,Virginia
2022,2.8,2.7,2.7,2.6,2.5,2.5,2.6,2.7,2.8,3.0,3.1,3.1,Virginia
2023,3.1,3.0,2.9,2.7,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.0,Virginia
