,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,7.6,7.6,7.5,7.5,7.4,7.4,7.3,7.2,7.1,7.0,6.9,6.8,Washington
1994,6.7,6.7,6.6,6.5,6.4,6.3,6.2,6.1,6.0,6.0,6.0,6.0,Washington
1995,6.0,6.0,6.1,6.2,6.3,6.3,6.3,6.4,6.3,6.3,6.3,6.2,Washington
1996,6.2,6.2,6.2,6.1,6.1,6.0,5.9,5.8,5.7,5.6,5.6,5.5,Washington
1997,5.4,5.3,5.2,5.1,5.0,4.9,4.8,4.8,4.7,4.7,4.7,4.7,Washington
1998,4.7,4.7,4.7,4.7,4.7,4.8,4.9,4.9,5.0,5.0,5.0,4.9,Washington
1999,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.9,4.8,4.8,4.8,4.8,Washington
2000,4.8,4.9,4.9,5.0,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.3,Washington
2001,5.4,5.5,5.6,5.7,5.7,5.8,5.9,6.1,6.3,6.5,6.7,6.9,Washington
2002,7.0,7.1,7.1,7.1,7.1,7.1,7.0,7.0,7.0,7.1,7.1,7.2,Washington
2003,7.2,7.3,7.3,7.3,7.4,7.4,7.4,7.3,7.2,7.1,7.0,6.9,Washington
2004,6.8,6.7,6.6,6.5,6.4,6.3,6.2,6.1,6.1,6.0,6.0,5.9,Washington
2005,5.9,5.9,5.8,5.7,5.6,5.6,5.6,5.6,5.5,5.4,5.3,5.2,Washington
2006,5.1,5.0,5.0,5.0,5.0,5.1,5.1,5.0,5.0,5.0,4.9,4.8,Washington
2007,4.7,4.6,4.5,4.5,4.5,4.5,4.6,4.6,4.7,4.7,4.7,4.6,Washington
2008,4.6,4.6,4.7,4.8,5.0,5.2,5.3,5.4,5.6,5.8,6.1,6.4,Washington
2009,6.8,7.2,7.5,7.8,8.1,8.3,8.5,8.7,9.0,9.0,9.1,9.2,Washington
2010,9.3,9.3,9.3,9.2,9.1,9.0,9.0,9.1,9.1,9.1,9.1,9.0,Washington
2011,8.9,8.8,8.8,8.7,8.6,8.6,8.6,8.5,8.4,8.3,8.1,8.0,Washington
2012,8.0,7.9,7.9,7.9,8.0,8.0,7.8,7.6,7.4,7.2,7.1,6.9,Washington
2013,6.9,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.6,6.5,6.4,6.3,Washington
2014,6.2,6.1,6.1,6.0,6.0,5.9,5.9,5.9,5.8,5.8,5.7,5.7,Washington
2015,5.6,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,Washington
2016,5.4,5.4,5.4,5.3,5.3,5.3,5.3,5.2,5.1,5.1,5.0,4.9,Washington
2017,4.8,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.7,4.7,4.6,4.6,Washington
2018,4.6,4.6,4.5,4.4,4.3,4.3,4.3,4.3,4.3,4.4,4.5,4.6,Washington
2019,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.1,4.0,3.9,3.8,3.7,Washington
2020,3.7,3.8,5.2,16.7,13.4,11.5,10.4,8.8,8.1,7.2,6.9,6.7,Washington
2021,6.4,6.2,6.0,5.7,5.5,5.4,5.2,5.0,4.7,4.5,4.2,4.1,Washington
2022,4.0,4.0,3.9,3.9,3.9,4.0,4.0,4.1,4.2,4.3,4.3,4.2,Washington
2023,4.1,4.0,3.9,3.8,3.8,3.8,3.9,4.1,4.3,4.4,4.4,4.4,Washington
