,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,10.7,10.7,10.6,10.6,10.5,10.5,10.3,10.2,10.0,9.9,9.9,9.8,West Virginia
1994,9.8,9.7,9.5,9.3,9.1,8.9,8.7,8.5,8.3,8.2,8.0,7.8,West Virginia
1995,7.7,7.7,7.7,7.8,8.0,8.1,8.1,8.1,8.1,8.1,8.1,8.1,West Virginia
1996,8.1,8.1,8.0,7.8,7.7,7.5,7.4,7.4,7.4,7.4,7.5,7.5,West Virginia
1997,7.4,7.3,7.2,7.1,7.0,6.9,6.9,6.8,6.8,6.8,6.8,6.8,West Virginia
1998,6.8,6.8,6.8,6.8,6.7,6.7,6.7,6.7,6.6,6.6,6.5,6.5,West Virginia
1999,6.5,6.6,6.6,6.6,6.6,6.6,6.5,6.5,6.4,6.3,6.2,6.0,West Virginia
2000,5.8,5.7,5.6,5.6,5.6,5.6,5.6,5.6,5.5,5.5,5.4,5.4,West Virginia
2001,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.3,5.5,5.6,5.8,5.9,West Virginia
2002,6.1,6.3,6.4,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.6,6.6,West Virginia
2003,6.7,6.7,6.7,6.8,6.8,6.7,6.7,6.6,6.5,6.3,6.2,6.1,West Virginia
2004,6.1,6.0,6.0,5.9,5.8,5.7,5.7,5.6,5.6,5.6,5.6,5.6,West Virginia
2005,5.6,5.6,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.4,5.3,5.2,West Virginia
2006,5.1,5.0,5.0,5.1,5.2,5.3,5.4,5.4,5.3,5.3,5.2,5.1,West Virginia
2007,5.0,4.9,4.8,4.8,4.7,4.7,4.8,4.8,4.9,4.9,4.8,4.8,West Virginia
2008,4.7,4.6,4.5,4.4,4.4,4.4,4.5,4.5,4.7,5.0,5.4,5.9,West Virginia
2009,6.5,7.1,7.7,8.1,8.5,8.7,8.8,8.8,8.8,8.8,8.9,8.9,West Virginia
2010,9.0,8.9,8.8,8.7,8.5,8.5,8.4,8.5,8.6,8.6,8.6,8.5,West Virginia
2011,8.4,8.3,8.1,8.0,7.9,7.8,7.8,7.8,7.7,7.5,7.4,7.2,West Virginia
2012,7.1,7.0,7.1,7.2,7.3,7.4,7.4,7.4,7.4,7.3,7.3,7.2,West Virginia
2013,7.1,6.9,6.8,6.7,6.6,6.6,6.6,6.6,6.6,6.7,6.7,6.7,West Virginia
2014,6.7,6.7,6.7,6.6,6.5,6.5,6.4,6.4,6.4,6.4,6.3,6.4,West Virginia
2015,6.4,6.5,6.7,6.8,6.8,6.8,6.7,6.6,6.5,6.4,6.4,6.4,West Virginia
2016,6.4,6.3,6.3,6.2,6.2,6.2,6.1,6.1,6.0,5.9,5.8,5.6,West Virginia
2017,5.4,5.2,5.1,5.0,5.0,5.1,5.1,5.2,5.3,5.3,5.4,5.4,West Virginia
2018,5.4,5.4,5.3,5.3,5.2,5.1,5.1,5.0,5.0,5.0,5.1,5.1,West Virginia
2019,5.0,4.9,4.8,4.8,4.7,4.8,4.8,4.9,5.0,5.1,5.1,5.2,West Virginia
2020,5.3,5.3,5.4,15.8,12.4,10.5,9.4,8.1,7.5,6.9,6.5,6.3,West Virginia
2021,6.1,6.0,5.9,5.7,5.5,5.4,5.1,4.9,4.6,4.4,4.2,4.0,West Virginia
2022,3.9,3.8,3.8,3.8,3.8,3.9,4.0,4.0,4.0,4.0,3.8,3.7,West Virginia
2023,3.6,3.5,3.5,3.5,3.6,3.8,4.0,4.2,4.3,4.3,4.3,4.3,West Virginia
