,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,4.6,4.5,4.4,4.3,4.4,4.2,4.3,4.3,4.3,4.3,4.4,4.5,Wisconsin
1994,4.5,4.5,4.5,4.4,4.3,4.3,4.2,4.1,4.1,4.0,3.8,3.7,Wisconsin
1995,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,Wisconsin
1996,3.8,3.8,3.7,3.7,3.7,3.6,3.5,3.5,3.4,3.5,3.5,3.6,Wisconsin
1997,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.4,3.3,3.3,Wisconsin
1998,3.2,3.2,3.1,3.1,3.2,3.2,3.3,3.4,3.5,3.5,3.4,3.3,Wisconsin
1999,3.2,3.1,3.1,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,Wisconsin
2000,3.1,3.1,3.1,3.2,3.3,3.4,3.5,3.5,3.6,3.6,3.6,3.7,Wisconsin
2001,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.7,4.9,5.1,5.3,Wisconsin
2002,5.4,5.4,5.5,5.4,5.4,5.3,5.2,5.2,5.2,5.2,5.3,5.4,Wisconsin
2003,5.5,5.6,5.7,5.7,5.8,5.8,5.8,5.7,5.6,5.5,5.4,5.3,Wisconsin
2004,5.2,5.2,5.1,5.1,5.0,5.0,4.9,4.9,4.9,4.8,4.8,4.8,Wisconsin
2005,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.8,4.8,4.7,Wisconsin
2006,4.7,4.6,4.5,4.5,4.6,4.6,4.7,4.7,4.8,4.8,4.8,4.8,Wisconsin
2007,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.8,4.7,Wisconsin
2008,4.5,4.4,4.3,4.4,4.4,4.6,4.7,4.9,5.2,5.6,6.1,6.7,Wisconsin
2009,7.4,8.1,8.6,9.0,9.3,9.4,9.3,9.3,9.3,9.2,9.3,9.3,Wisconsin
2010,9.3,9.2,9.0,8.8,8.6,8.4,8.3,8.2,8.2,8.1,8.0,7.9,Wisconsin
2011,7.8,7.7,7.6,7.6,7.6,7.6,7.6,7.6,7.5,7.4,7.3,7.1,Wisconsin
2012,7.0,6.9,6.9,7.0,7.0,7.0,7.0,6.9,6.9,6.8,6.8,6.9,Wisconsin
2013,6.9,6.9,6.9,6.9,6.8,6.7,6.7,6.6,6.5,6.4,6.3,6.1,Wisconsin
2014,6.0,5.9,5.7,5.6,5.5,5.4,5.3,5.1,5.0,5.0,4.9,4.8,Wisconsin
2015,4.7,4.7,4.6,4.6,4.5,4.4,4.4,4.3,4.3,4.2,4.2,4.2,Wisconsin
2016,4.1,4.1,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.8,3.7,3.6,Wisconsin
2017,3.5,3.4,3.3,3.3,3.2,3.3,3.3,3.3,3.2,3.2,3.1,3.0,Wisconsin
2018,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Wisconsin
2019,3.1,3.1,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.2,3.2,Wisconsin
2020,3.1,3.1,3.0,14.0,10.6,8.7,7.7,6.4,5.8,5.2,5.0,4.9,Wisconsin
2021,4.7,4.6,4.4,4.3,4.1,4.0,3.8,3.6,3.4,3.3,3.1,3.0,Wisconsin
2022,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.0,2.9,2.8,2.7,Wisconsin
2023,2.7,2.6,2.6,2.7,2.9,3.0,3.2,3.3,3.4,3.4,3.4,3.4,Wisconsin
