,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
1993,5.2,5.2,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.3,Wyoming
1994,5.3,5.3,5.2,5.1,5.0,4.9,4.8,4.7,4.7,4.6,4.5,4.5,Wyoming
1995,4.5,4.6,4.7,4.7,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.9,Wyoming
1996,4.9,4.9,4.9,4.9,5.0,5.0,5.0,5.0,5.0,5.1,5.1,5.2,Wyoming
1997,5.2,5.1,5.1,5.0,4.9,4.8,4.7,4.6,4.5,4.5,4.5,4.5,Wyoming
1998,4.6,4.6,4.7,4.7,4.8,4.8,4.9,4.9,4.9,4.9,4.9,4.8,Wyoming
1999,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.7,4.6,4.5,4.4,4.2,Wyoming
2000,4.0,3.9,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,Wyoming
2001,3.7,3.7,3.7,3.7,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,Wyoming
2002,3.9,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,4.0,4.2,4.3,Wyoming
2003,4.4,4.5,4.5,4.5,4.4,4.4,4.3,4.3,4.2,4.2,4.1,4.1,Wyoming
2004,4.1,4.0,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,Wyoming
2005,3.6,3.6,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.5,3.5,3.4,Wyoming
2006,3.2,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.0,2.9,2.8,Wyoming
2007,2.7,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.8,2.7,2.7,2.6,Wyoming
2008,2.6,2.6,2.6,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.4,3.7,Wyoming
2009,4.2,4.8,5.4,5.9,6.3,6.5,6.6,6.7,6.8,7.1,7.3,7.5,Wyoming
2010,7.6,7.6,7.5,7.2,7.0,6.8,6.6,6.6,6.6,6.6,6.6,6.6,Wyoming
2011,6.6,6.5,6.3,6.2,6.1,6.0,6.0,6.0,6.0,6.0,6.0,5.9,Wyoming
2012,5.8,5.7,5.6,5.6,5.6,5.6,5.5,5.5,5.4,5.3,5.2,5.2,Wyoming
2013,5.1,5.0,4.9,4.8,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.6,Wyoming
2014,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.1,4.0,Wyoming
2015,3.9,3.9,4.0,4.1,4.2,4.2,4.2,4.2,4.3,4.3,4.5,4.7,Wyoming
2016,5.0,5.3,5.5,5.7,5.7,5.6,5.4,5.3,5.2,5.2,5.1,5.0,Wyoming
2017,4.8,4.6,4.4,4.2,4.1,4.1,4.2,4.3,4.3,4.3,4.3,4.3,Wyoming
2018,4.2,4.2,4.1,4.0,4.0,4.0,4.0,4.1,4.1,4.1,4.0,3.9,Wyoming
2019,3.7,3.6,3.5,3.5,3.5,3.5,3.6,3.7,3.8,3.9,4.0,4.2,Wyoming
2020,4.4,4.6,4.8,5.1,8.7,7.3,6.8,6.2,5.9,5.6,5.5,5.4,Wyoming
2021,5.3,5.3,5.2,5.0,4.9,4.7,4.5,4.3,4.1,3.9,3.7,3.6,Wyoming
2022,3.5,3.4,3.3,3.3,3.3,3.4,3.4,3.5,3.5,3.5,3.5,3.4,Wyoming
2023,3.3,3.1,3.0,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,Wyoming
